Serial Number,English Word,Part of Speech,Tamil Translation,Hindi Translation,English Example,Tamil Example,Hindi Example,Synonyms,Tamil Meaning
119,Sanctimonious,Adjective,பக்தியை வெளிப்படுத்தும்,पाखंडी (Paakhandi),His sanctimonious attitude annoyed everyone.,அவரது பக்தியை வெளிப்படுத்தும் அணுகுமுறை அனைவரையும் எரிச்சலூட்டியது.,उनके पाखंडी रवैये ने सभी को परेशान किया।,"Hypocritical, Self-righteous",போலியான பக்தியுள்ள
120,Terse,Adjective,சுருக்கமான,रूखा (Rookha),She gave a terse response.,அவள் ஒரு சுருக்கமான பதிலைக் கொடுத்தாள்.,उसने एक रूखा जवाब दिया।,"Brief, Concise, Short",சுருக்கமான
121,Ubiquity,Noun,எங்கும் இருக்கும் தன்மை,सर्वव्यापकता (Sarvavyaapakta),The ubiquity of mobile phones is evident.,மொபைல் போன்களின் எங்கும் இருக்கும் தன்மை தெளிவாகிறது.,मोबाइल फोन की सर्वव्यापकता स्पष्ट है।,"Omnipresence, Pervasiveness",எங்கும் நிறைந்திருக்கும் தன்மை
122,Veracity,Noun,உண்மைத்தன்மை,सत्यता (Satyata),We must question the veracity of the claim.,கூற்றின் உண்மைத்தன்மையை நாம் கேள்வி கேட்க வேண்டும்.,हमें दावे की सत्यता पर सवाल उठाना चाहिए।,"Truthfulness, Accuracy, Honesty",உண்மைத்தன்மை
123,Waffle,Verb,உளறு / நேரத்தை வீணடி,बकवास करना (Bakvaas Karna),Stop waffling and get to the point.,உளறுவதை நிறுத்திவிட்டு விஷயத்திற்கு வாருங்கள்.,बकवास करना बंद करो और मुद्दे पर आओ।,"Prattle, Jabber, Babble",வீண் பேச்சு
124,Yield,Verb,விளைச்சல் கொடு,उपज देना (Upaj Dena),The land will yield a good harvest.,நிலம் நல்ல விளைச்சல் கொடுக்கும்.,भूमि अच्छी उपज देगी।,"Produce, Give, Surrender",விளைச்சல் / விட்டுக்கொடுத்தல்
125,Zany,Adjective,விசித்திரமான / நகைச்சுவையான,सनकी (Sanaki),He had a zany sense of humor.,அவர் ஒரு விசித்திரமான நகைச்சுவை உணர்வைக் கொண்டிருந்தார்.,उसके पास सनकी हास्यबोध था।,"Eccentric, Wacky, Clownish",கோமாளித்தனமான
126,Aghast,Adjective,அதிர்ச்சியடைந்த,चकित (Chakit),They were aghast at the terrible news.,பயங்கரமான செய்தியைக் கேட்டு அவர்கள் அதிர்ச்சியடைந்தனர்.,वे भयानक खबर सुनकर चकित थे।,"Horrified, Shocked, Appalled",திடுக்கிட்ட / அதிர்ச்சியடைந்த
127,Burgeon,Verb,வேகமாக வளரு,तेजी से बढ़ना (Tezi Se Badhna),The market is beginning to burgeon.,சந்தை வேகமாக வளரத் தொடங்குகிறது.,बाजार तेजी से बढ़ना शुरू कर रहा है।,"Bloom, Flourish, Grow",தழைத்தோங்குதல்
128,Cajole,Verb,கெஞ்சு,फुसलाना (Phuslaana),She tried to cajole him into agreeing.,அவள் அவரை சம்மதிக்க கெஞ்ச முயன்றாள்.,उसने उसे सहमत होने के लिए फुसलाने की कोशिश की।,"Coax, Persuade, Wheedle",நயமாகப் பேசி ஏமாற்று
129,Decimate,Verb,பெருமளவு அழி,भारी संख्या में नष्ट करना (Bhaari Sankhya Mein Nasht Karna),The fire could decimate the forest.,அந்தத் தீ காட்டை பெருமளவு அழிக்க முடியும்.,आग जंगल को भारी संख्या में नष्ट कर सकती है।,"Destroy, Annihilate, Ruin",பேரழிவை ஏற்படுத்து
130,Elicit,Verb,வெளிக்கொணரு,निकालना (Nikaalna),We tried to elicit a response from him.,அவரிடமிருந்து ஒரு பதிலைத் வெளிக்கொணர முயன்றோம்.,हमने उससे प्रतिक्रिया निकालने की कोशिश की।,"Evoke, Extract, Obtain",வரவழைத்தல்
131,Finesse,Noun,நேர்த்தியான செயல்,कुशलता (Kushalata),He handled the situation with great finesse.,அவர் சூழ்நிலையை மிகுந்த நேர்த்தியான செயலுடன் கையாண்டார்.,उन्होंने बड़ी कुशलता से स्थिति को संभाला।,"Skill, Flair, Expertise",திறமை
132,Glib,Adjective,மேலோட்டமாகப் பேசும்,चिकनी-चुपड़ी बातें करने वाला (Chikni-Chupdi Baatein Karne Wala),Don't trust his glib promises.,அவரது மேலோட்டமாகப் பேசும் வாக்குறுதிகளை நம்ப வேண்டாம்.,उसके चिकनी-चुपड़ी वादों पर भरोसा मत करो।,"Fluent, Superficial, Slick",சரளமான (ஆனால் ஆழமற்ற)
133,Hubris,Noun,ஆணவம்,घमंड (Ghamand),His downfall was caused by his hubris.,அவரது வீழ்ச்சி அவரது ஆணவத்தால் ஏற்பட்டது.,उनकी हार उनके घमंड के कारण हुई।,"Arrogance, Pride, Conceit",அகங்காரம்
134,Impetuous,Adjective,அவசரமான,जल्दबाज (Jaldbaz),He regretted his impetuous decision.,அவர் தனது அவசரமான முடிவுக்கு வருந்தினார்.,उन्हें अपने जल्दबाज फैसले पर पछतावा हुआ।,"Impulsive, Rash, Hasty",அவசரமான / முன்கோபமுள்ள
135,Jubilee,Noun,பொன் விழா,जयंती (Jayanti),The Queen celebrated her Silver Jubilee.,ராணி தனது வெள்ளி பொன் விழாவைக் கொண்டாடினார்.,रानी ने अपनी रजत जयंती मनाई।,"Celebration, Anniversary",பொன்விழா / கொண்டாட்டம்
136,Kindred,Adjective,ஒத்த / தொடர்புடைய,समान (Samaan),They shared a kindred spirit.,அவர்கள் ஒரு ஒத்த உணர்வைப் பகிர்ந்து கொண்டனர்.,उन्होंने एक समान भावना साझा की।,"Related, Similar, Akin",உறவினர்கள் / ஒரே போன்ற
137,Lurid,Adjective,அதிர்ச்சி தரும்,भयावह (Bhayaavah),The newspaper printed lurid details.,செய்தித்தாள் அதிர்ச்சி தரும் விவரங்களை வெளியிட்டது.,अखबार ने भयावह विवरण प्रकाशित किए।,"Shocking, Sensational, Vivid",திடுக்கிட வைக்கும்
138,Miasma,Noun,துர்நாற்றம் / மோசமான சூழல்,दुर्गंध (Durgandh),The office was filled with a miasma of suspicion.,அலுவலகம் சந்தேகத்தின் மோசமான சூழலால் நிரப்பப்பட்டது.,कार्यालय संदेह की दुर्गंध से भरा हुआ था।,"Cloud, Mist, Odor",நச்சுப்புகை
139,Nostalgia,Noun,கடந்தகால ஏக்கம்,पुरानी यादें (Puraani Yaadein),The song filled me with nostalgia.,அந்தப் பாடல் எனக்குள் கடந்தகால ஏக்கத்தை நிரப்பியது.,उस गाने ने मुझे पुरानी यादों से भर दिया।,"Reminiscence, Longing",கடந்த கால நினைவு
140,Overt,Adjective,வெளிப்படையான,खुला (Khula),The threat was overt and clear.,அச்சுறுத்தல் வெளிப்படையானதாகவும் தெளிவாகவும் இருந்தது.,धमकी खुली और स्पष्ट थी।,"Obvious, Clear, Apparent",பகிரங்கமான
141,Pervade,Verb,பரவி இரு,व्याप्त होना (Vyaapt Hona),A sense of calm began to pervade the room.,அமைதி உணர்வு அறையில் பரவி இருக்கத் தொடங்கியது.,कमरे में शांति की भावना व्याप्त होने लगी।,"Spread, Permeate, Fill",பரவுதல்
142,Quip,Noun,நகைச்சுவைப் பேச்சு,मज़ाकिया बात (Mazaakiya Baat),He delivered a witty quip.,அவர் ஒரு புத்திசாலித்தனமான நகைச்சுவைப் பேச்சை வழங்கினார்.,उन्होंने एक मजाकिया मज़ाकिया बात कही।,"Joke, Witty remark, Jest",நையாண்டி
143,Reticent,Adjective,அமைதியான,अल्पभाषी (Alpbhaashi),He was reticent about his past.,அவர் தனது கடந்த காலத்தைப் பற்றி அமைதியாக இருந்தார்.,वह अपने अतीत के बारे में अल्पभाषी थे।,"Reserved, Quiet, Shy",அமைதியான / பேசத் தயங்கும்
144,Sycophant,Noun,சுயநல முகஸ்துதி செய்பவர்,चापलूस (Chaaploos),The boss surrounded himself with sycophants.,முதலாளி தன்னைச் சுயநல முகஸ்துதி செய்பவர்களால் சூழ்ந்து கொண்டார்.,बॉस ने खुद को चापलूसों से घेर लिया।,"Flatterer, Toady, Minion",முகஸ்துதி செய்பவர்
145,Trepidation,Noun,திகில் / அச்சம்,घबराहट (Ghabraahat),She faced the interview with trepidation.,அவர் திகிலுடன் நேர்காணலை எதிர்கொண்டார்.,उसने घबराहट के साथ साक्षात्कार का सामना किया।,"Fear, Anxiety, Alarm",நடுக்கம் / கலக்கம்
146,Undulate,Verb,அலை அலையாக செல்,लहरना (Laharana),The field of wheat began to undulate.,கோதுமை வயல் அலை அலையாக செல்லத் தொடங்கியது.,गेहूं का खेत लहरना शुरू हो गया।,"Ripple, Wave, Surge",அலையலையாக அசை
147,Vacillate,Verb,ஊசலாடு,डगमगाना (Dagmagaana),He tends to vacillate between two choices.,அவர் இரண்டு தேர்வுகளுக்கு இடையில் ஊசலாட முனைகிறார்.,वह दो विकल्पों के बीच डगमगाने लगता है।,"Waver, Hesitate, Dither",ஊசலாடுதல் (முடிவெடுக்க முடியாமல்)
148,Warrant,Verb,உத்தரவாதம் செய்,वारंट देना (Vaarant Dena),This error does not warrant a dismissal.,இந்தத் தவறு ஒரு பணி நீக்கத்தை உத்தரவாதம் செய்யவில்லை.,यह त्रुटि बर्खास्तगी का वारंट नहीं देती है।,"Justify, Sanction, Permit",ஆணை / உத்தரவாதம்
149,Yearn,Verb,ஏங்கு,तरसना (Tarasna),He began to yearn for his homeland.,அவர் தனது தாய்நாட்டிற்காக ஏங்க ஆரம்பித்தார்.,वह अपनी मातृभूमि के लिए तरसने लगा।,"Long, Desire, Crave",ஏங்குதல்
150,Zenith,Noun,உச்ச புள்ளி,शीर्ष (Sheersh),The company reached its zenith in the 90s.,நிறுவனம் 90 களில் அதன் உச்ச புள்ளியை அடைந்தது.,कंपनी 90 के दशक में अपने शीर्ष पर पहुंची।,"Peak, Apex, Pinnacle",உச்சநிலை
151,Abject,Adjective,இழிவான,दयनीय (Dayaneeya),They lived in abject poverty.,அவர்கள் இழிவான வறுமையில் வாழ்ந்தார்கள்.,वे दयनीय गरीबी में रहते थे।,"Wretched, Miserable, Hopeless",பரிதாபகரமான
152,Bemoan,Verb,புலம்பு,विलाप करना (Vilaap Karna),She began to bemoan her bad luck.,அவள் தன் துரதிர்ஷ்டத்திற்காகப் புலம்ப ஆரம்பித்தாள்.,उसने अपने बुरे भाग्य पर विलाप करना शुरू कर दिया।,"Lament, Mourn, Complain",புலம்புதல்
153,Chicanery,Noun,தந்திரம்,धोखा (Dhokha),Political chicanery is common.,அரசியல் தந்திரம் பொதுவானது.,राजनीतिक धोखा आम है।,"Deception, Trickery, Fraud",தந்திரம் / ஏமாற்றுவேலை
154,Demure,Adjective,அடக்கமான,शर्मीला (Sharmeela),She gave a demure smile.,அவள் ஒரு அடக்கமான புன்னகையை அளித்தாள்.,उसने एक शर्मीली मुस्कान दी।,"Modest, Reserved, Shy",அடக்கமான
155,Eschew,Verb,தவிர்த்து விடு,त्यागना (Tyaagna),He decided to eschew luxury.,அவர் ஆடம்பரத்தைத் தவிர்த்து விட முடிவு செய்தார்.,उन्होंने विलासिता को त्यागने का फैसला किया।,"Avoid, Shun, Abstain",தவிர்த்தல்
156,Fatuous,Adjective,முட்டாள்தனமான,मूर्खतापूर्ण (Moorkhataapurn),That was a fatuous comment.,அது ஒரு முட்டாள்தனமான கருத்து.,वह एक मूर्खतापूर्ण टिप्पणी थी।,"Silly, Foolish, Stupid",முட்டாள்தனமான
157,Gainsay,Verb,மறுக்க,इनकार करना (Inkaar Karna),No one could gainsay his achievement.,அவரது சாதனையை யாரும் மறுக்க முடியவில்லை.,कोई भी उनकी उपलब्धि से इनकार नहीं कर सकता था।,"Deny, Contradict, Dispute",மறுத்துக் கூறுதல்
158,Halcyon,Adjective,அமைதியான (கடந்த காலம்),शांत (Shaant),They remembered their halcyon days.,அவர்கள் தங்கள் அமைதியான நாட்களை நினைவில் வைத்திருந்தார்கள்.,उन्हें अपने शांत दिन याद थे।,"Peaceful, Calm, Happy",அமைதியான / மகிழ்ச்சியான
159,Imbibe,Verb,உறிஞ்சு / உள்வாங்கு,सोखना (Sokhna),He tried to imbibe the new knowledge.,அவர் புதிய அறிவை உள்வாங்க முயன்றார்.,उन्होंने नए ज्ञान को सोखने की कोशिश की।,"Drink, Consume, Absorb",உட்கொள்ளுதல்
160,Jocular,Adjective,கேலியான,हँसमुख (Hansmukh),He was in a jocular mood.,அவர் ஒரு கேலியான மனநிலையில் இருந்தார்.,वह हँसमुख मूड में थे।,"Humorous, Funny, Witty",நகைச்சுவையான
161,Knack,Noun,திறமை,हुनर (Hunar),She has a knack for gardening.,அவளுக்குத் தோட்டக்கலையில் ஒரு திறமை உள்ளது.,उसके पास बागवानी का हुनर है।,"Talent, Skill, Ability",சாமர்த்தியம்
162,Languid,Adjective,மந்தமான,आलसी (Aalasi),A languid afternoon nap was refreshing.,ஒரு மந்தமான மதிய உறக்கம் புத்துணர்ச்சி அளித்தது.,एक आलसी दोपहर की झपकी ताजगी भरी थी।,"Weak, Faint, Sluggish",சோர்வான
163,Misanthrope,Noun,மனித வெறுப்பாளர்,मानवद्वेषी (Maanavdveshi),He became a lonely misanthrope.,அவர் ஒரு தனிமையான மனித வெறுப்பாளராக ஆனார்.,वह एक अकेला मानवद्वेषी बन गया।,"Cynic, Hater of people",மனித வெறுப்பாளர்
164,Noxious,Adjective,நச்சுத்தன்மையுள்ள,हानिकारक (Haanikaarak),Avoid inhaling the noxious fumes.,நச்சுத்தன்மையுள்ள புகையை சுவாசிப்பதைத் தவிர்க்கவும்.,हानिकारक धुएं को सूंघने से बचें।,"Harmful, Toxic, Poisonous",நச்சுத்தன்மையுள்ள
165,Onerous,Adjective,கடினமான / பாரமான,भारी (Bhaari),He took on the onerous task.,அவர் அந்த கடினமான பணியை மேற்கொண்டார்.,उन्होंने भारी काम संभाला।,"Burdensome, Heavy, Hard",கடினமான / சுமையான
166,Paragon,Noun,சிறந்த உதாரணம்,आदर्श (Aadarsh),He is a paragon of virtue.,அவர் நற்பண்புக்கு ஒரு சிறந்த உதாரணம்.,वह सद्गुण का आदर्श है।,"Model, Ideal, Pattern",முன்மாதிரி
167,Quiescent,Adjective,செயலற்ற,निष्क्रिय (Nishkriya),The volcano remained quiescent.,எரிமலை செயலற்றதாக இருந்தது.,ज्वालामुखी निष्क्रिय रहा।,"Inactive, Quiet, Dormant",அமைதியான / செயலற்ற
168,Repudiate,Verb,மறுத்து ஒதுக்கு,अस्वीकार करना (Asweekaar Karna),He chose to repudiate the allegations.,அவர் குற்றச்சாட்டுகளை மறுத்து ஒதுக்கத் தேர்ந்தெடுத்தார்.,उन्होंने आरोपों को अस्वीकार करने का फैसला किया।,"Reject, Deny, Disown",நிராகரித்தல்
169,Spurious,Adjective,போலியான,नकली (Nakli),The documents were found to be spurious.,ஆவணங்கள் போலியானவை என்று கண்டறியப்பட்டது.,दस्तावेज़ नकली पाए गए।,"Fake, False, Counterfeit",போலியான
170,Tantamount,Adjective,சமமான,बराबर (Baraabar),His silence was tantamount to an admission.,அவரது மௌனம் ஒப்புதலுக்குச் சமமானதாக இருந்தது.,उनकी चुप्पी एक स्वीकृति के बराबर थी।,"Equivalent, Equal, Same",சமமான
171,Undermine,Verb,பலவீனப்படுத்து,कमजोर करना (Kamzor Karna),Criticism can undermine confidence.,விமர்சனம் நம்பிக்கையை பலவீனப்படுத்த முடியும்.,आलोचना आत्मविश्वास को कमजोर कर सकती है।,"Weaken, Sabotage, Erode",வலுவிழக்கச் செய்
172,Vex,Verb,எரிச்சலூட்டு,परेशान करना (Pareshaan Karna),The noise began to vex him.,சத்தம் அவரை எரிச்சலூட்ட ஆரம்பித்தது.,शोर ने उसे परेशान करना शुरू कर दिया।,"Annoy, Irritate, Bother",தொந்தரவு செய்
173,Wry,Adjective,ஏளனமான,व्यंग्यपूर्ण (Vyangyapurn),He gave a wry smile.,அவர் ஒரு ஏளனமான புன்னகையை அளித்தார்.,उन्होंने एक व्यंग्यपूर्ण मुस्कान दी।,"Sarcastic, Dry, Twisted",கிண்டலான / கோணலான
174,Yoke,Verb,இணை,जोड़ना (Jodna),We must yoke theory with practice.,நாம் கோட்பாட்டையும் நடைமுறையையும் இணைக்க வேண்டும்.,हमें सिद्धांत को अभ्यास के साथ जोड़ना चाहिए।,"Bond, Burden, Tie",பிணைப்பு / அடிமைத்தனம்
175,Zest,Noun,ஆர்வம்,उत्साह (Utsaah),She approached the task with great zest.,அவள் மிகுந்த ஆர்வத்துடன் பணியை அணுகினாள்.,उसने बड़े उत्साह के साथ कार्य को संभाला।,"Enthusiasm, Energy, Gusto",ஆர்வம் / சுவை
176,Admonish,Verb,எச்சரி,चेतावनी देना (Chetavani Dena),The teacher had to admonish the student.,ஆசிரியர் மாணவனை எச்சரிக்க வேண்டியிருந்தது.,शिक्षक को छात्र को चेतावनी देनी पड़ी।,"Reprimand, Scold, Warn",கண்டித்தல் / எச்சரித்தல்
177,Bilious,Adjective,எரிச்சலூட்டும்,चिड़चिड़ा (Chirchira),He was in a bilious mood all morning.,அவர் காலை முழுவதும் எரிச்சலூட்டும் மனநிலையில் இருந்தார்.,वह पूरी सुबह चिड़चिड़े मूड में था।,"Sickly, Irritable, Nauseous",எரிச்சலூட்டும்
178,Circumvent,Verb,தவிர்த்துச் செல்,चकमा देना (Chakma Dena),They tried to circumvent the rules.,அவர்கள் விதிகளைத் தவிர்த்துச் செல்ல முயன்றனர்.,उन्होंने नियमों को चकमा देने की कोशिश की।,"Avoid, Bypass, Evade",தவிர்த்தல் / ஏமாற்றுதல்
179,Debacle,Noun,படுதோல்வி,बड़ी विफलता (Badi Viphalta),The economic plan was a complete debacle.,பொருளாதாரத் திட்டம் ஒரு முழுமையான படுதோல்வியாக இருந்தது.,आर्थिक योजना एक पूर्ण बड़ी विफलता थी।,"Fiasco, Failure, Disaster",பெரும் தோல்வி
180,Epitome,Noun,சரியான உதாரணம்,आदर्श उदाहरण (Aadarsh Udaaharan),She is the epitome of grace.,அவள் கருணைக்கு ஒரு சரியான உதாரணம்.,वह अनुग्रह का आदर्श उदाहरण है।,"Essence, Embodiment",மிகச்சிறந்த எடுத்துக்காட்டு
181,Fervent,Adjective,தீவிரமான,जोशीला (Joshila),He gave a fervent speech.,அவர் ஒரு தீவிரமான உரையை நிகழ்த்தினார்.,उन्होंने एक जोशीला भाषण दिया।,"Passionate, Intense, Eager",தீவிரமான
182,Gerrymander,Verb,கள்ளத்தனமாகப் பிரிக்க,अवैध रूप से क्षेत्र विभाजित करना (Avaidh Roop Se Kshetra Vibhajit Karna),They accused the party of gerrymandering.,அவர்கள் கட்சியை கள்ளத்தனமாகப் பிரிக்க குற்றம் சாட்டினர்.,उन्होंने पार्टी पर अवैध रूप से क्षेत्र विभाजित करने का आरोप लगाया।,"Manipulate, Fix, Rig",தொகுதி மாற்றச் சதி
183,Hiatus,Noun,இடைவெளி,अंतराल (Antaraal),The band took a two-year hiatus.,இசைக்குழு இரண்டு வருட இடைவெளி எடுத்துக் கொண்டது.,बैंड ने दो साल का अंतराल लिया।,"Pause, Break, Gap",இடைவேளை
184,Impassive,Adjective,உணர்ச்சியற்ற,भावहीन (Bhaavheen),He remained impassive despite the news.,செய்தி இருந்தபோதிலும் அவர் உணர்ச்சியற்றவராக இருந்தார்.,खबर के बावजूद वह भावहीन रहे।,"Expressionless, Calm",உணர்ச்சியற்ற
185,Jingoism,Noun,தீவிர நாட்டுப்பற்று,अंधराष्ट्रीयता (Andhrashtriyata),His speech was full of aggressive jingoism.,அவரது பேச்சு தீவிர நாட்டுப்பற்றால் நிறைந்தது.,उनका भाषण आक्रामक अंधराष्ट्रीयता से भरा था।,"Nationalism, Patriotism",தீவிர தேசபற்று
186,Kismet,Noun,தலைவிதி,भाग्य (Bhaagya),It must have been kismet that they met.,அவர்கள் சந்தித்தது தலைவிதியாக இருந்திருக்க வேண்டும்.,उनका मिलना भाग्य में रहा होगा।,"Fate, Destiny, Fortune",தலைவிதி
187,Lithe,Adjective,வளைந்து கொடுக்கும்,लचीला (Lacheela),The dancer was incredibly lithe.,நடனக் கலைஞர் நம்பமுடியாத அளவிற்கு வளைந்து கொடுக்கும் தன்மையுடையவர்.,नर्तकी अविश्वसनीय रूप से लचीली थी।,"Flexible, Supple, Agile",நெகிழ்வான
188,Moratorium,Noun,தடைக்காலம்,रोक (Rok),They placed a moratorium on new construction.,அவர்கள் புதிய கட்டுமானத்திற்கு ஒரு தடைக்காலம் விதித்தனர்.,उन्होंने नए निर्माण पर रोक लगा दी।,"Ban, Suspension, Delay",தற்காலிக தடை
189,Nugatory,Adjective,முக்கியமற்ற,महत्वहीन (Mahatvaheen),His advice proved to be nugatory.,அவரது ஆலோசனை முக்கியமற்றதாக நிரூபிக்கப்பட்டது.,उनकी सलाह महत्वहीन साबित हुई।,"Worthless, Useless, Vain",மதிப்பற்ற / பயனற்ற
190,Ossify,Verb,நிலைப்படுத்து / எலும்பாக மாற்று,कठोर बनाना (Kathor Banaana),Old ideas can ossify thinking.,பழைய யோசனைகள் சிந்தனையை நிலைப்படுத்த முடியும்.,पुराने विचार सोच को कठोर बना सकते हैं।,"Harden, Rigidify, Stiffen",எலும்பாக மாறு / இறுகுதல்
191,Pauper,Noun,ஏழை,कंगाल (Kangaal),He died a pauper.,அவர் ஒரு ஏழையாக இறந்தார்.,वह एक कंगाल के रूप में मर गए।,"Beggar, Indigent",பராரி / ஏழை
192,Quell,Verb,அடக்கு,शांत करना (Shaant Karna),The soldiers were called to quell the riot.,கலவரத்தை அடக்க வீரர்கள் அழைக்கப்பட்டனர்.,सैनिकों को दंगे को शांत करने के लिए बुलाया गया था।,"Suppress, Subdue, Crush",அடக்குதல்
193,Rend,Verb,கிழி,फाड़ना (Phaadna),The paper began to rend easily.,காகிதம் எளிதில் கிழிக்க ஆரம்பித்தது.,कागज आसानी से फाड़ना शुरू हो गया।,"Tear, Split, Rip",கிழித்தல்
194,Stolid,Adjective,உணர்ச்சியற்ற,भावहीन (Bhaavheen),He maintained a stolid expression.,அவர் ஒரு உணர்ச்சியற்ற வெளிப்பாட்டைப் பராமரித்தார்.,उन्होंने एक भावहीन अभिव्यक्ति बनाए रखी।,"Calm, Dull, Unemotional",உணர்ச்சிகளால் பாதிக்கப்படாத
195,Tirade,Noun,கடுமையான பேச்சு,लंबी आलोचना (Lambhi Aalochana),The boss launched into a furious tirade.,முதலாளி ஒரு கோபமான கடுமையான பேச்சை ஆரம்பித்தார்.,बॉस ने एक भयंकर लंबी आलोचना शुरू कर दी।,"Rant, Attack, Outburst",நீண்ட கண்டன உரை
196,Unkempt,Adjective,அலங்கோலமான,अस्त-व्यस्त (Ast-Vyast),His clothes were unkempt.,அவரது உடைகள் அலங்கோலமானதாக இருந்தன.,उसके कपड़े अस्त-व्यस्त थे।,"Messy, Untidy, Disheveled",கலைந்துபோன / அழுக்கான
197,Vagary,Noun,எதிர்பாராத மாற்றம்,मनमौजी परिवर्तन (Manmauji Parivartan),The vagaries of the weather surprised them.,வானிலையின் எதிர்பாராத மாற்றம் அவர்களை ஆச்சரியப்படுத்தியது.,मौसम के मनमौजी परिवर्तन ने उन्हें चौंका दिया।,"Whim, Caprice, Change",விசித்திரமான மாற்றம்
198,Wistful,Adjective,ஏக்கத்துடன்,उदासी भरा (Udaasi Bhara),He looked at the old photos with a wistful air.,அவர் பழைய புகைப்படங்களை ஏக்கத்துடன் பார்த்தார்.,उन्होंने पुरानी तस्वीरों को उदासी भरे अंदाज़ में देखा।,"Regretful, Longing",ஏக்கம் கலந்த நினைவு
199,Yuppie,Noun,இளம் தொழில்முறை,युवा पेशेवर (Yuva Peshwar),The city center is full of trendy yuppies.,நகர மையம் நாகரீகமான இளம் தொழில்முறைகளால் நிறைந்துள்ளது.,शहर का केंद्र फैशनेबल युवा पेशेवरों से भरा है।,"Professional, Middle-class",இளவயது நகர்ப்புற தொழிலதிபர்
200,Zither,Noun,தந்தி வாத்தியம்,सितार जैसा वाद्य यंत्र (Sitaar Jaisa Vaadya Yantra),She played a folk tune on the zither.,அவள் தந்தி வாத்தியத்தில் ஒரு நாட்டுப்புறப் பாடலை வாசித்தாள்.,उसने सितार जैसे वाद्य यंत्र पर एक लोक धुन बजाई।,Stringed instrument,சித்தார் போன்ற இசைக்கருவி
201,Abridge,Verb,சுருக்க,संक्षिप्त करना (Sankshipt Karna),Please abridge the long report.,தயவுசெய்து நீண்ட அறிக்கையைச் சுருக்கவும்.,कृपया लंबी रिपोर्ट को संक्षिप्त करें।,"Shorten, Condense, Truncate",சுருக்குதல்
202,Beguile,Verb,ஏமாற்று,मोहित करना (Mohit Karna),He tried to beguile her with false promises.,அவர் பொய்யான வாக்குறுதிகளால் அவளை ஏமாற்ற முயன்றார்.,उसने झूठे वादों से उसे मोहित करने की कोशिश की।,"Charm, Enchant, Deceive",வசியப்படுத்து / ஏமாற்று
203,Contrite,Adjective,வருத்தப்பட்ட,पछताया हुआ (Pachhtaaya Hua),The boy was contrite for his mistake.,அந்தச் சிறுவன் தனது தவறுக்காக வருத்தப்பட்டான்.,लड़का अपनी गलती के लिए पछताया हुआ था।,"Remorseful, Penitent, Sorry",வருந்துகிற / மனஸ்தாபமுள்ள
204,Defunct,Adjective,செயல்படாத,बंद (Band),The old company is now defunct.,பழைய நிறுவனம் இப்போது செயல்படாதது.,पुरानी कंपनी अब बंद हो चुकी है।,"Dead, Extinct, Disused",மறைந்த / பயன்பாட்டில் இல்லாத
205,Ephemeral,Adjective,குறுகிய கால,क्षणिक (Kshanik),Fame is often ephemeral.,புகழ் பெரும்பாலும் குறுகிய காலது.,प्रसिद्धि अक्सर क्षणिक होती है।,"Fleeting, Short-lived, Brief",தற்காலிகமான
206,Fiasco,Noun,தோல்வி,पूर्ण असफलता (Purna Asafalta),The launch turned into a complete fiasco.,இந்த வெளியீடு ஒரு முழுமையான தோல்வியாக மாறியது.,प्रक्षेपण एक पूर्ण असफलता में बदल गया।,"Failure, Disaster, Debacle",பெரும் தோல்வி
207,Gist,Noun,சுருக்கம்,सार (Saar),What is the gist of the conversation?,உரையாடலின் சுருக்கம் என்ன?,बातचीत का सार क्या है?,"Essence, Core, Substance",மையக்கருத்து
208,Harbinger,Noun,முன்னோடி,अग्रदूत (Agradoot),The robin is a harbinger of spring.,ராபின் வசந்த காலத்தின் முன்னோடி.,रॉबिन वसंत का अग्रदूत है।,"Herald, Indicator, Signal",முன்னோடி / அறிகுறி
209,Invective,Noun,வசவு,गाली-गलौज (Gaali-Galauj),He shouted invective at the referee.,அவர் நடுவரைப் பார்த்து வசவு கூச்சலிட்டார்.,उन्होंने रेफरी पर गाली-गलौज चिल्लाया।,"Abuse, Insults, Vitriol",வசைச்சொல்
210,Jettison,Verb,தூக்கி எறி,त्यागना (Tyaagna),They had to jettison the heavy load.,அவர்கள் கனமான சுமையை தூக்கி எறிய வேண்டியிருந்தது.,उन्हें भारी भार त्यागना पड़ा।,"Discard, Abandon, Eject",கைவிடுதல்
211,Kowtow,Verb,அடிபணி,झुकना (Jhukna),He refused to kowtow to the management.,அவர் நிர்வாகத்திற்கு அடிபணிய மறுத்துவிட்டார்.,उन्होंने प्रबंधन के सामने झुकने से इनकार कर दिया।,"Grovel, Bow, Subservience",அடிபணிதல்
212,Lament,Verb,வருந்து,शोक करना (Shok Karna),She began to lament the lost opportunity.,இழந்த வாய்ப்பிற்காக அவள் வருந்த ஆரம்பித்தாள்.,वह खोए हुए अवसर पर शोक करना शुरू कर दिया।,"Mourn, Grieve, Bemoan",புலம்புதல் / வருந்துதல்
213,Maelstrom,Noun,குழப்பம்,अराजकता (Araajakata),The city was in a maelstrom after the riot.,கலவரத்திற்குப் பிறகு நகரம் ஒரு குழப்பத்தில் இருந்தது.,दंगे के बाद शहर अराजकता में था।,"Whirlpool, Turmoil, Vortex",சுழல் / கொந்தளிப்பு
