Exercise_ID,Level,Writing_Focus,Task_Type,Input_Example,Correct_Output,Tamil Translation,Hindi Translation
W247,Advanced,Intermediate (B1),Correction,"She liked the cake, and he liked it too.","She liked the cake, and so did he.","அவளுக்குக் கேக் பிடித்திருந்தது, அவனுக்கும் தான்.","उसे केक पसंद आया, और उसे भी।"
W248,Advanced,Intermediate (B1),Selection,"___ the heat, we ran.","Despite the heat, we ran.","வெப்பம் இருந்தபோதிலும், நாங்கள் ஓடினோம்.",गर्मी के बावजूद हम दौड़े।
W249,Advanced,Intermediate (B1),Completion,He failed—or so it seemed.,He failed**—or so it seemed.**,அவர் தோல்வியடைந்தார்—அல்லது அப்படித் தோன்றியது.,वह असफल रहा—या ऐसा लग रहा था।
W250,Advanced,Intermediate (B1),Correction,Please except my apology.,Please accept my apology.,எனது மன்னிப்பை ஏற்றுக்கொள்.,कृपया मेरी माफी स्वीकार करें।
W251,Beginner,Intermediate (B1),Spelling,I have 12 apples.,I have twelve apples.,என்னிடம் பன்னிரண்டு ஆப்பிள்கள் உள்ளன.,मेरे पास बारह सेब हैं।
W252,Beginner,Intermediate (B1),Fill in Blank,We ___ (watch) TV now.,We are watching TV now.,நாங்கள் இப்போது தொலைக்காட்சி பார்த்துக் கொண்டிருக்கிறோம்.,हम अभी टीवी देख रहे हैं।
W253,Beginner,Intermediate (B1),Selection,The book is ___ (on/in) the bag.,The book is in the bag.,புத்தகம் பையினுள் இருக்கிறது.,किताब बैग में है।
W254,Beginner,Intermediate (B1),Transformation,You like tea.,Do you like tea?,உனக்குத் தேநீர் பிடிக்குமா?,क्या तुम्हें चाय पसंद है?
W255,Beginner,Intermediate (B1),Correction,This is a small house big.,This is a big small house.,இது ஒரு பெரிய சிறிய வீடு.,यह एक बड़ा छोटा घर है।
W256,Intermediate,Intermediate (B1),Transformation,Fix the problem.,Resolve the issue.,சிக்கலைத் தீர்க்கவும்.,समस्या का समाधान करें।
W257,Intermediate,Intermediate (B1),Selection,You ___ (need to/can) sign here.,You need to sign here.,நீங்கள் இங்கே கையெழுத்திட வேண்டும்.,आपको यहाँ हस्ताक्षर करने की आवश्यकता है।
W258,Intermediate,Intermediate (B1),Placement,He goes often there.,He often goes there.,அவர் அடிக்கடி அங்கு செல்கிறார்.,वह अक्सर वहां जाता है।
W259,Intermediate,Intermediate (B1),Completion,He was tired ___ he stayed up.,He was tired yet he stayed up.,அவர் சோர்வாக இருந்தபோதிலும் விழித்திருந்தார்.,वह थका हुआ था फिर भी जागा रहा।
W260,Intermediate,Intermediate (B1),Transformation,People speak English here.,English is spoken here.,இங்கு ஆங்கிலம் பேசப்படுகிறது.,यहाँ अंग्रेजी बोली जाती है।
W261,Intermediate,Intermediate (B1),Fill in Blank,Never ___ (give) on your dreams.,Never give up on your dreams.,உங்கள் கனவுகளை ஒருபோதும் விட்டுவிடாதீர்கள்.,अपने सपनों को कभी मत छोड़ो।
W262,Intermediate,Intermediate (B1),Completion,"If he had run, he ___ (catch) it.","If he had run, he would have caught it.","அவர் ஓடியிருந்தால், அதைப் பிடித்திருப்பார்.","अगर वह दौड़ता, तो उसे पकड़ लेता।"
W263,Intermediate,Intermediate (B1),Completion,"They won't come, ___?","They won't come, will they?","அவர்கள் வரமாட்டார்கள், அல்லவா?","वे नहीं आएंगे, है ना?"
W264,Intermediate,Intermediate (B1),Selection,I need some ___ (advice/advise).,I need some advice.,எனக்குச் சில ஆலோசனைகள் தேவை.,मुझे कुछ सलाह चाहिए।
W265,Intermediate,Intermediate (B1),Fill in Blank,___ (exercise) is good for health.,Exercising is good for health.,உடற்பயிற்சி செய்வது ஆரோக்கியத்திற்கு நல்லது.,व्यायाम करना स्वास्थ्य के लिए अच्छा है।
W266,Advanced,Intermediate (B1),Transformation,We decided to cancel the plan.,The cancellation of the plan was necessary.,திட்டத்தை ரத்து செய்வது அவசியமாக இருந்தது.,योजना को रद्द करना आवश्यक था।
W267,Advanced,Intermediate (B1),Correction,She likes to sing and dancing.,She likes singing and dancing.,அவளுக்குப் பாடுவதும் ஆடுவதும் பிடிக்கும்.,उसे गाना और नाचना पसंद है।
W268,Advanced,Intermediate (B1),Correction,I wish I was taller.,I wish I were taller.,நான் இன்னும் உயரமாக இருக்க விரும்புகிறேன்.,काश मैं और लंबा होता।
W269,Advanced,Intermediate (B1),Selection,The view was ___ (breathless/breathtaking).,The view was breathtaking.,அந்த காட்சி மூச்சடைக்கக் கூடியதாக இருந்தது.,दृश्य मनमोहक था।
W270,Advanced,Intermediate (B1),Transformation,You should not do this under any circumstances.,Under no circumstances should you do this.,எந்தச் சூழ்நிலையிலும் நீங்கள் இதைச் செய்யக்கூடாது.,किसी भी परिस्थिति में आपको ऐसा नहीं करना चाहिए।
W271,Beginner,Intermediate (B1),Selection,___ Sun is hot.,The Sun is hot.,சூரியன் வெப்பமாக இருக்கிறது.,सूरज गर्म है।
W272,Beginner,Intermediate (B1),Selection,___ (That/Those) stars are bright.,Those stars are bright.,அந்த நட்சத்திரங்கள் பிரகாசமாக உள்ளன.,वे तारे चमक रहे हैं।
W273,Beginner,Intermediate (B1),Fill in Blank,This is my sister. ___ is 10.,She is 10.,இவள் என் சகோதரி. அவளுக்கு வயது 10.,यह मेरी बहन है। वह 10 साल की है।
W274,Beginner,Intermediate (B1),Correction,good nite.,Good night.,இனிய இரவு வணக்கம்.,शुभ रात्रि।
W275,Beginner,Intermediate (B1),Fill in Blank,Birds ___ (fly).,Birds fly.,பறவைகள் பறக்கின்றன.,पक्षी उड़ते हैं।
W276,Intermediate,Intermediate (B1),Transformation,I fixed my car.,I had my car fixed.,நான் என் காரை பழுது பார்த்தேன்.,मैंने अपनी कार ठीक करवाई।
W277,Intermediate,Intermediate (B1),Completion,"By 2030, I ___ (graduate).","By 2030, I will have graduated.",2030-க்குள் நான் பட்டம் பெற்றிருப்பேன்.,"2030 तक, मैं स्नातक हो चुका हूँगा।"
W278,Intermediate,Intermediate (B1),Punctuation,It's cold I'll wear a coat.,It's cold**;** I'll wear a coat.,குளிர்ச்சியாக இருக்கிறது; நான் ஒரு கோட் அணிவேன்.,ठंड है; मैं कोट पहनूंगा।
W279,Intermediate,Intermediate (B1),Selection,He is a ___ (slow/slowly) driver.,He is a slow driver.,அவர் மெதுவாக வாகனம் ஓட்டுபவர்.,वह एक धीमा ड्राइवर है।
W280,Intermediate,Intermediate (B1),Completion,I ___ (should/must) have studied more.,I should have studied more.,நான் இன்னும் அதிகமாகப் படித்திருக்க வேண்டும்.,मुझे और अधिक पढ़ाई करनी चाहिए थी।
W281,Advanced,Intermediate (B1),Transformation,"Everyone likes it, so it's good.",Just because it is popular does not mean it is good.,அது பிரபலமாக இருப்பதால் மட்டும் அது நல்லது என்று அர்த்தமல்ல.,"सिर्फ इसलिए कि वह लोकप्रिय है, इसका मतलब यह नहीं है कि वह अच्छा है।"
W282,Advanced,Intermediate (B1),Transformation,He is a man who has a lot of courage.,He is a courageous man.,அவர் ஒரு தைரியமான மனிதர்.,वह एक साहसी व्यक्ति है।
W283,Advanced,Intermediate (B1),Fill in Blank,"If I had won, I ___ (be) happy now.","If I had won, I would be happy now.","நான் வெற்றி பெற்றிருந்தால், இப்போது மகிழ்ச்சியாக இருந்திருப்பேன்.","अगर मैं जीत जाता, तो मैं अब खुश होता।"
W284,Advanced,Intermediate (B1),Selection,"___ the rain, we played.","Despite the rain, we played.","மழை பெய்த போதிலும், நாங்கள் விளையாடினோம்.",बारिश के बावजूद हम खेले।
W285,Advanced,Intermediate (B1),Correction,The car was stationary.,The car was stationary.,கார் நிலையாக (ஒரே இடத்தில்) இருந்தது.,कार स्थिर थी।
W286,Beginner,Intermediate (B1),Correction,He don't know.,He doesn't know.,அவருக்குத் தெரியாது.,उसे नहीं पता।
W287,Beginner,Intermediate (B1),Fill in Blank,See you ___ 5 PM.,See you at 5 PM.,மாலை 5 மணிக்குச் சந்திப்போம்.,आपसे शाम 5 बजे मिलते हैं।
W288,Beginner,Intermediate (B1),Completion,___ brothers do you have?,How many brothers do you have?,உனக்கு எத்தனை சகோதரர்கள் உள்ளனர்?,आपके कितने भाई हैं?
W289,Beginner,Intermediate (B1),Correction,Becuse it's late.,Because it's late.,தாமதமாகிவிட்டதால்.,क्योंकि देर हो गई है।
W290,Beginner,Intermediate (B1),Fill in Blank,Five ___ (fish).,Five fish/fishes.,ஐந்து மீன்கள்.,पाँच मछलियाँ।
W291,Intermediate,Intermediate (B1),Transformation,"""Go away!"" he said.",He told me to go away.,என்னை அங்கிருந்து போகுமாறு அவர் கூறினார்.,उसने मुझे चले जाने को कहा।
W292,Intermediate,Intermediate (B1),Selection,The girl ___ lives next door is nice.,The girl who lives next door is nice.,பக்கத்து வீட்டில் வசிக்கும் பெண் நல்லவர்.,जो लड़की बगल में रहती है वह अच्छी है।
W293,Intermediate,Intermediate (B1),Fill in Blank,I'm good ___ math.,I'm good at math.,நான் கணிதத்தில் வல்லவன்.,मैं गणित में अच्छा हूँ।
W294,Intermediate,Intermediate (B1),Selection,You ___ (mustn't/don't have to) park here.,You mustn't park here.,நீங்கள் இங்கே வாகனத்தை நிறுத்தக்கூடாது.,आपको यहाँ पार्क नहीं करना चाहिए।
W295,Intermediate,Intermediate (B1),Fill in Blank,What ___ you (do) yesterday?,What were you doing yesterday?,நேற்று நீங்கள் என்ன செய்து கொண்டிருந்தீர்கள்?,कल आप क्या कर रहे थे?
W296,Advanced,Intermediate (B1),Transformation,I need more time.,What I need is more time.,எனக்குத் தேவையானது கூடுதல் நேரம்.,मुझे जिसकी ज़रूरत है वह है और समय।
W297,Advanced,Intermediate (B1),Transformation,People assume he is lying.,It is assumed that he is lying.,அவர் பொய் சொல்கிறார் என்று கருதப்படுகிறது.,यह माना जाता है कि वह झूठ बोल रहा है।
W298,Advanced,Intermediate (B1),Correction,Bread and butter are my breakfast.,Bread and butter is my breakfast.,ரொட்டியும் வெண்ணெயும் எனது காலை உணவு.,ब्रेड और मक्खन मेरा नाश्ता है।
W299,Advanced,Intermediate (B1),Selection,He is a ___ (notorious/famous) criminal.,He is a notorious criminal.,அவர் ஒரு மோசமான (அறியப்பட்ட) குற்றவாளி.,वह एक कुख्यात अपराधी है।
W300,Advanced,Intermediate (B1),Transformation,Finish the task.,Ensure the task is completed.,பணி முடிக்கப்பட்டதை உறுதி செய்யவும்.,सुनिश्चित करें कि कार्य पूरा हो गया है।
W301,Beginner,Intermediate (B1),Correction,"hi mr smith,","Dear Mr. Smith,","மதிப்பிற்குரிய திரு. ஸ்மித் அவர்களுக்கு,","प्रिय श्री स्मिथ,"
W302,Beginner,Intermediate (B1),Format,8 in the morning.,8:00 AM,காலை 8:00 மணி.,सुबह के 8:00 बजे।
W303,Beginner,Intermediate (B1),Selection,The dog ___ (bark/barks).,The dog barks.,அந்த நாய் குரைக்கிறது.,कुत्ता भौंकता है।
W304,Beginner,Intermediate (B1),Capitalization,the weather is nice.,The weather is nice.,வானிலை நன்றாக இருக்கிறது.,मौसम अच्छा है।
W305,Beginner,Intermediate (B1),Punctuation,I like milk bread eggs.,"I like milk, bread, and eggs.","எனக்குப் பால், ரொட்டி மற்றும் முட்டை பிடிக்கும்.","मुझे दूध, ब्रेड और अंडे पसंद हैं।"
W306,Intermediate,Intermediate (B1),Transformation,This is the reason.,This appears to be the reason.,இதுதான் காரணமாகத் தோன்றுகிறது.,यह कारण प्रतीत होता है।
W307,Intermediate,Intermediate (B1),Fill in Blank,I ___ (live) here since 2010.,I have lived here since 2010.,நான் 2010 முதல் இங்கு வசித்து வருகிறேன்.,मैं 2010 से यहाँ रह रहा हूँ।
W308,Intermediate,Intermediate (B1),Selection,He ___ (raised/rose) his hand.,He raised his hand.,அவர் கையை உயர்த்தினார்.,उसने अपना हाथ उठाया।
W309,Intermediate,Intermediate (B1),Transformation,The food was very good.,The food was delicious/exquisite.,உணவு மிகவும் சுவையாக இருந்தது.,खाना बहुत स्वादिष्ट था।
W310,Intermediate,Intermediate (B1),Transformation,You know the way.,Do you know the way?,உங்களுக்கு வழி தெரியுமா?,क्या आप रास्ता जानते हैं?
W311,Intermediate,Intermediate (B1),Selection,Make a ___ (decision/choice).,Make a decision.,ஒரு முடிவு எடுங்கள்.,एक निर्णय लें।
W312,Intermediate,Intermediate (B1),Selection,It was late; ___ we left.,"It was late; therefore, we left.","நேரமாகிவிட்டது; எனவே, நாங்கள் கிளம்பினோம்.","देर हो चुकी थी; इसलिए, हम चले गए।"
W313,Intermediate,Intermediate (B1),Transformation,He is happy.,His happiness is visible.,அவருடைய மகிழ்ச்சி தெளிவாகத் தெரிகிறது.,उसकी खुशी दिखाई दे रही है।
W314,Intermediate,Intermediate (B1),Fill in Blank,This task is ___ (easy) than that.,This task is easier than that.,இந்தப் பணி அதை விட எளிதானது.,यह कार्य उस कार्य से आसान है।
W315,Intermediate,Intermediate (B1),Fill in Blank,Don't ___ (wait) for me.,Don't wait up for me.,எனக்காகக் காத்திருக்க வேண்டாம்.,मेरा इंतज़ार मत करो।
W316,Advanced,Intermediate (B1),Correction,"Reading is easy, but to write is hard.","Reading is easy, but writing is hard.","படிப்பது எளிது, ஆனால் எழுதுவது கடினம்.","पढ़ना आसान है, लेकिन लिखना कठिन है।"
W317,Advanced,Intermediate (B1),Transformation,It's not bad.,It is quite good.,அது மிகவும் நன்றாக உள்ளது.,यह काफी अच्छा है।
W318,Advanced,Intermediate (B1),Correction,"Covered in rust, he sold the car.","He sold the car, which was covered in rust.",துருப்பிடித்த அந்த காரை அவர் விற்றார்.,"उसने वह कार बेच दी, जो जंग से ढकी हुई थी।"
W319,Advanced,Intermediate (B1),Selection,___ (Go/Begone) from here!,Begone from here!,இங்கிருந்து வெளியேறு!,यहाँ से चले जाओ!
W320,Advanced,Intermediate (B1),Correction,I wish he comes.,I wish he would come.,அவர் வர வேண்டும் என்று நான் விரும்புகிறேன்.,काश वह आ पाता।
W321,Beginner,Intermediate (B1),Selection,___ is that?,Who is that?,அது யார்?,वह कौन है?
W322,Beginner,Intermediate (B1),Correction,A man old.,An old man.,ஒரு முதியவர்.,एक बूढ़ा आदमी।
W323,Beginner,Intermediate (B1),Fill in Blank,Many ___ (woman).,Many women.,பல பெண்கள்.,कई महिलाएँ।
W324,Beginner,Intermediate (B1),Transformation,I saw it.,I did not see it.,நான் அதைப் பார்க்கவில்லை.,मैंने उसे नहीं देखा।
W325,Beginner,Intermediate (B1),Preposition,Turn ___ the left.,Turn to the left.,இடது பக்கம் திரும்பவும்.,बाईं ओर मुड़ें।
W326,Intermediate,Intermediate (B1),Transformation,"""Sit down,"" the teacher said.",The teacher ordered me to sit down.,ஆசிரியர் என்னை உட்காரச் சொன்னார்.,शिक्षक ने मुझे बैठने का आदेश दिया।
W327,Intermediate,Intermediate (B1),Transformation,We will build the house.,The house will be built.,அந்த வீடு கட்டப்படும்.,घर बनाया जाएगा।
W328,Intermediate,Intermediate (B1),Completion,That is the house ___ I live.,That is the house where I live.,அதுதான் நான் வசிக்கும் வீடு.,यह वही घर है जहाँ मैं रहता हूँ।
W329,Intermediate,Intermediate (B1),Selection,You ___ (cannot/shouldn't) enter.,You cannot enter.,நீங்கள் நுழைய முடியாது.,आप प्रवेश नहीं कर सकते।
W330,Intermediate,Intermediate (B1),Correction,I have saw him.,I have seen him.,நான் அவரைப் பார்த்திருக்கிறேன்.,मैंने उसे देखा है।
W331,Advanced,Intermediate (B1),Transformation,I had never felt so alone.,Never had I felt so alone.,நான் இவ்வளவு தனிமையாக உணர்ந்ததே இல்லை.,मैंने कभी इतना अकेला महसूस नहीं किया था।
W332,Advanced,Intermediate (B1),Correction,The affect was huge.,The effect was huge.,அதன் விளைவு மிகப்பெரியதாக இருந்தது.,इसका प्रभाव बहुत बड़ा था।
W333,Advanced,Intermediate (B1),Completion,The wind ___.,The wind whispered.,காற்று கிசுகிசுத்தது.,हवा फुसफुसाई।
W334,Advanced,Intermediate (B1),Transformation,He is a person who works hard.,He is a hardworking person.,அவர் ஒரு கடின உழைப்பாளி.,वह एक मेहनती व्यक्ति है।
W335,Advanced,Intermediate (B1),Punctuation,Paris France London UK.,"Paris, France**;** London, UK.","பாரிஸ், பிரான்ஸ்; லண்டன், இங்கிலாந்து.","पेरिस, फ्रांस; लंदन, यूके।"
W336,Beginner,Intermediate (B1),Selection,___ is my bag.,There is my bag.,அங்கே என் பை இருக்கிறது.,वहाँ मेरा बैग है।
W337,Beginner,Intermediate (B1),Fill in Blank,It ___ (rain) today.,It is raining today.,இன்று மழை பெய்து கொண்டிருக்கிறது.,आज बारिश हो रही है।
W338,Beginner,Intermediate (B1),Fill in Blank,I am ___ home.,I am at home.,நான் வீட்டில் இருக்கிறேன்.,मैं घर पर हूँ।
W339,Beginner,Intermediate (B1),Correction,The boys hats.,The boys' hats.,சிறுவர்களின் தொப்பிகள்.,लड़कों की टोपियाँ।
W340,Beginner,Intermediate (B1),Transformation,It is cold.,Is it cold?,குளிர்ச்சியாக இருக்கிறதா?,क्या ठंड है?
W341,Intermediate,Advanced (C1),Completion,"If I knew, I ___ (tell) you.","If I knew, I would tell you.","எனக்குத் தெரிந்திருந்தால், நான் உன்னிடம் சொல்லியிருப்பேன்.","अगर मुझे पता होता, तो मैं तुम्हें बता देता।"
W342,Intermediate,Advanced (C1),Selection,He ran ___ (fastly/at speed).,He ran at high speed.,அவர் அதிவேகத்தில் ஓடினார்.,वह तेज गति से दौड़ा।
W343,Intermediate,Advanced (C1),Transformation,He was a teacher.,He used to be a teacher.,அவர் ஒரு ஆசிரியராக இருந்தார்.,वह एक शिक्षक हुआ करता था।
W344,Intermediate,Advanced (C1),Transformation,I gave a pen to him.,I gave him a pen.,நான் அவருக்கு ஒரு பேனா கொடுத்தேன்.,मैंने उसे एक पेन दिया।
W345,Intermediate,Advanced (C1),Correction,Gold is more heavy than iron.,Gold is heavier than iron.,இரும்பை விட தங்கம் அதிக எடை கொண்டது.,सोना लोहे से भारी होता है।
W346,Advanced,Advanced (C1),Transformation,I think the data is wrong.,The data suggests an inconsistency.,தரவுகள் ஒரு முரண்பாட்டை உணர்த்துகின்றன.,डेटा एक विसंगति का सुझाव देता है।
W347,Advanced,Advanced (C1),Transformation,We need water.,What we need is water.,எங்களுக்குத் தேவையானது தண்ணீர்.,हमें जिसकी ज़रूरत है वह पानी है।
W348,Advanced,Advanced (C1),Correction,"I like tea, and he likes coffee.","I like tea; he, coffee.",எனக்குத் தேநீர் பிடிக்கும்; அவருக்குக் காபி.,मुझे चाय पसंद है; उसे कॉफी।
W349,Advanced,Advanced (C1),Selection,It was an ___ (easy/effortless) win.,It was an effortless win.,அது ஒரு சிரமமில்லாத வெற்றி.,यह एक सहज जीत थी।
W350,Advanced,Advanced (C1),Transformation,Finish it.,Bring it to a conclusion.,அதை ஒரு முடிவுக்குக் கொண்டு வாருங்கள்.,इसे निष्कर्ष पर लाएं।
W301,Beginner,Advanced (C1),Correction,"hi mr smith,","Dear Mr. Smith,","மதிப்பிற்குரிய திரு. ஸ்மித் அவர்களுக்கு,","प्रिय श्री स्मिथ,"
W302,Beginner,Advanced (C1),Format,8 in the morning.,8:00 AM,காலை 8:00 மணி.,सुबह के 8:00 बजे।
W303,Beginner,Advanced (C1),Selection,The dog ___ (bark/barks).,The dog barks.,அந்த நாய் குரைக்கிறது.,कुत्ता भौंकता है।
W304,Beginner,Advanced (C1),Capitalization,the weather is nice.,The weather is nice.,வானிலை நன்றாக இருக்கிறது.,मौसम अच्छा है।
W305,Beginner,Advanced (C1),Punctuation,I like milk bread eggs.,"I like milk, bread, and eggs.","எனக்குப் பால், ரொட்டி மற்றும் முட்டை பிடிக்கும்.","मुझे दूध, ब्रेड और अंडे पसंद हैं।"
W306,Intermediate,Advanced (C1),Transformation,This is the reason.,This appears to be the reason.,இதுதான் காரணமாகத் தோன்றுகிறது.,यह कारण प्रतीत होता है।
W307,Intermediate,Advanced (C1),Fill in Blank,I ___ (live) here since 2010.,I have lived here since 2010.,நான் 2010 முதல் இங்கு வசித்து வருகிறேன்.,मैं 2010 से यहाँ रह रहा हूँ।
W308,Intermediate,Advanced (C1),Selection,He ___ (raised/rose) his hand.,He raised his hand.,அவர் கையை உயர்த்தினார்.,उसने अपना हाथ उठाया।
W309,Intermediate,Advanced (C1),Transformation,The food was very good.,The food was delicious/exquisite.,உணவு மிகவும் சுவையாக இருந்தது.,खाना बहुत स्वादिष्ट था।
W310,Intermediate,Advanced (C1),Transformation,You know the way.,Do you know the way?,உங்களுக்கு வழி தெரியுமா?,क्या आप रास्ता जानते हैं?
W311,Intermediate,Advanced (C1),Selection,Make a ___ (decision/choice).,Make a decision.,ஒரு முடிவு எடுங்கள்.,एक निर्णय लें।
W312,Intermediate,Advanced (C1),Selection,It was late; ___ we left.,"It was late; therefore, we left.","நேரமாகிவிட்டது; எனவே, நாங்கள் கிளம்பினோம்.","देर हो चुकी थी; इसलिए, हम चले गए।"
W313,Intermediate,Advanced (C1),Transformation,He is happy.,His happiness is visible.,அவருடைய மகிழ்ச்சி தெளிவாகத் தெரிகிறது.,उसकी खुशी दिखाई दे रही है।
W314,Intermediate,Advanced (C1),Fill in Blank,This task is ___ (easy) than that.,This task is easier than that.,இந்தப் பணி அதை விட எளிதானது.,यह कार्य उस कार्य से आसान है।
W315,Intermediate,Advanced (C1),Fill in Blank,Don't ___ (wait) for me.,Don't wait up for me.,எனக்காகக் காத்திருக்க வேண்டாம்.,मेरा इंतज़ार मत करो।
W316,Advanced,Advanced (C1),Correction,"Reading is easy, but to write is hard.","Reading is easy, but writing is hard.","படிப்பது எளிது, ஆனால் எழுதுவது கடினம்.","पढ़ना आसान है, लेकिन लिखना कठिन है।"
W317,Advanced,Advanced (C1),Transformation,It's not bad.,It is quite good.,அது மிகவும் நன்றாக உள்ளது.,यह काफी अच्छा है।
W318,Advanced,Advanced (C1),Correction,"Covered in rust, he sold the car.","He sold the car, which was covered in rust.",துருப்பிடித்த அந்த காரை அவர் விற்றார்.,"उसने वह कार बेच दी, जो जंग से ढकी हुई थी।"
W319,Advanced,Advanced (C1),Selection,___ (Go/Begone) from here!,Begone from here!,இங்கிருந்து வெளியேறு!,यहाँ से चले जाओ!
W320,Advanced,Advanced (C1),Correction,I wish he comes.,I wish he would come.,அவர் வர வேண்டும் என்று நான் விரும்புகிறேன்.,काश वह आ पाता।
W321,Beginner,Advanced (C1),Selection,___ is that?,Who is that?,அது யார்?,वह कौन है?
W322,Beginner,Advanced (C1),Correction,A man old.,An old man.,ஒரு முதியவர்.,एक बूढ़ा आदमी।
W323,Beginner,Advanced (C1),Fill in Blank,Many ___ (woman).,Many women.,பல பெண்கள்.,कई महिलाएँ।
W324,Beginner,Advanced (C1),Transformation,I saw it.,I did not see it.,நான் அதைப் பார்க்கவில்லை.,मैंने उसे नहीं देखा।
W325,Beginner,Advanced (C1),Preposition,Turn ___ the left.,Turn to the left.,இடது பக்கம் திரும்பவும்.,बाईं ओर मुड़ें।
W326,Intermediate,Advanced (C1),Transformation,"""Sit down,"" the teacher said.",The teacher ordered me to sit down.,ஆசிரியர் என்னை உட்காரச் சொன்னார்.,शिक्षक ने मुझे बैठने का आदेश दिया।
W327,Intermediate,Advanced (C1),Transformation,We will build the house.,The house will be built.,அந்த வீடு கட்டப்படும்.,घर बनाया जाएगा।
W328,Intermediate,Advanced (C1),Completion,That is the house ___ I live.,That is the house where I live.,அதுதான் நான் வசிக்கும் வீடு.,यह वही घर है जहाँ मैं रहता हूँ।
W329,Intermediate,Advanced (C1),Selection,You ___ (cannot/shouldn't) enter.,You cannot enter.,நீங்கள் நுழைய முடியாது.,आप प्रवेश नहीं कर सकते।
W330,Intermediate,Advanced (C1),Correction,I have saw him.,I have seen him.,நான் அவரைப் பார்த்திருக்கிறேன்.,मैंने उसे देखा है।
W331,Advanced,Advanced (C1),Transformation,I had never felt so alone.,Never had I felt so alone.,நான் இவ்வளவு தனிமையாக உணர்ந்ததே இல்லை.,मैंने कभी इतना अकेला महसूस नहीं किया था।
W332,Advanced,Advanced (C1),Correction,The affect was huge.,The effect was huge.,அதன் விளைவு மிகப்பெரியதாக இருந்தது.,इसका प्रभाव बहुत बड़ा था।
W333,Advanced,Advanced (C1),Completion,The wind ___.,The wind whispered.,காற்று கிசுகிசுத்தது.,हवा फुसफुसाई।
W334,Advanced,Advanced (C1),Transformation,He is a person who works hard.,He is a hardworking person.,அவர் ஒரு கடின உழைப்பாளி.,वह एक मेहनती व्यक्ति है।
W335,Advanced,Advanced (C1),Punctuation,Paris France London UK.,"Paris, France**;** London, UK.","பாரிஸ், பிரான்ஸ்; லண்டன், இங்கிலாந்து.","पेरिस, फ्रांस; लंदन, यूके।"
W336,Beginner,Advanced (C1),Selection,___ is my bag.,There is my bag.,அங்கே என் பை இருக்கிறது.,वहाँ मेरा बैग है।
W337,Beginner,Advanced (C1),Fill in Blank,It ___ (rain) today.,It is raining today.,இன்று மழை பெய்து கொண்டிருக்கிறது.,आज बारिश हो रही है।
W338,Beginner,Advanced (C1),Fill in Blank,I am ___ home.,I am at home.,நான் வீட்டில் இருக்கிறேன்.,मैं घर पर हूँ।
W339,Beginner,Advanced (C1),Correction,The boys hats.,The boys' hats.,சிறுவர்களின் தொப்பிகள்.,लड़कों की टोपियाँ।
W340,Beginner,Advanced (C1),Transformation,It is cold.,Is it cold?,குளிர்ச்சியாக இருக்கிறதா?,क्या ठंड है?
W341,Intermediate,Advanced (C1),Completion,"If I knew, I ___ (tell) you.","If I knew, I would tell you.","எனக்குத் தெரிந்திருந்தால், நான் உன்னிடம் சொல்லியிருப்பேன்.","अगर मुझे पता होता, तो मैं तुम्हें बता देता।"
W342,Intermediate,Advanced (C1),Selection,He ran ___ (fastly/at speed).,He ran at high speed.,அவர் அதிவேகத்தில் ஓடினார்.,वह तेज गति से दौड़ा।
W343,Intermediate,Advanced (C1),Transformation,He was a teacher.,He used to be a teacher.,அவர் ஒரு ஆசிரியராக இருந்தார்.,वह एक शिक्षक हुआ करता था।
W344,Intermediate,Advanced (C1),Transformation,I gave a pen to him.,I gave him a pen.,நான் அவருக்கு ஒரு பேனா கொடுத்தேன்.,मैंने उसे एक पेन दिया।
W345,Intermediate,Advanced (C1),Correction,Gold is more heavy than iron.,Gold is heavier than iron.,இரும்பை விட தங்கம் அதிக எடை கொண்டது.,सोना लोहे से भारी होता है।
W346,Advanced,Advanced (C1),Transformation,I think the data is wrong.,The data suggests an inconsistency.,தரவுகள் ஒரு முரண்பாட்டை உணர்த்துகின்றன.,डेटा एक विसंगति का सुझाव देता है।
W347,Advanced,Advanced (C1),Transformation,We need water.,What we need is water.,எங்களுக்குத் தேவையானது தண்ணீர்.,हमें जिसकी ज़रूरत है वह पानी है।
W348,Advanced,Advanced (C1),Correction,"I like tea, and he likes coffee.","I like tea; he, coffee.",எனக்குத் தேநீர் பிடிக்கும்; அவருக்குக் காபி.,मुझे चाय पसंद है; उसे कॉफी।
W349,Advanced,Advanced (C1),Selection,It was an ___ (easy/effortless) win.,It was an effortless win.,அது ஒரு சிரமமில்லாத வெற்றி.,यह एक सहज जीत थी।
W350,Advanced,Advanced (C1),Transformation,Finish it.,Bring it to a conclusion.,அதை ஒரு முடிவுக்குக் கொண்டு வாருங்கள்.,इसे निष्कर्ष पर लाएं।
