,English (V1/V2/V3),Tamil (Infinitive/Past/Perfect Participle),Hindi (Infinitive/Past/Perfect Participle)
107,Appear / Appeared / Appeared,தோன்று (Tōnṟu) / தோன்றினேன் (Tōnṟinēn) / தோன்றியுள்ளேன் (Tōnṟiyuḷḷēn),दिखाई देना (Dikhāī Denā) / दिखाई दिया (Dikhāī Diyā) / दिखाई दे चुका (Dikhāī De Chukā)
108,Arrange / Arranged / Arranged,ஏற்பாடு செய் (Ērpaaḍu Sey) / ஏற்பாடு செய்தேன் (Ērpaaḍu Seydhēn) / ஏற்பாடு செய்திருக்கிறேன் (Ērpaaḍu Seydhirukkirēn),इंतज़ाम करना (Intazām Karnā) / इंतज़ाम किया (Intazām Kiyā) / इंतज़ाम कर चुका (Intazām Kar Chukā)
109,Arrive / Arrived / Arrived,சேர் (Sēr) / சேர்ந்தேன் (Sērndhēn) / சேர்ந்திருக்கிறேன் (Sērndhirukkirēn),पहुंचना (Pahuñchnā) / पहुंचा (Pahuñchā) / पहुंच चुका (Pahuñch Chukā)
110,Ask / Asked / Asked,கேள் (Kēḷ) / கேட்டேன் (Kēṭṭēn) / கேட்டிருக்கிறேன் (Kēṭṭirukkirēn),पूछना (Pūchnā) / पूछा (Pūchā) / पूछ चुका (Pūch Chukā)
111,Attach / Attached / Attached,இணை (Iṇai) / இணைத்தேன் (Iṇaittēn) / இணைத்திருக்கிறேன் (Iṇaittirukkirēn),जोड़ना (Joṛnā) / जोड़ा (Joṛā) / जोड़ चुका (Joṛ Chukā)
112,Avoid / Avoided / Avoided,தவிர் (Tavir) / தவிர்த்தேன் (Tavirttēn) / தவிர்த்திருக்கிறேன் (Tavirttirukkirēn),बचना (Bachnā) / बचा (Bachā) / बच चुका (Bach Chukā)
113,Bake / Baked / Baked,சுடு (Suḍu) / சுட்டேன் (Suṭṭēn) / சுட்டிருக்கிறேன் (Suṭṭirukkirēn),सेंकना (Sēnknā) / सेंका (Sēnkā) / सेंक चुका (Sēnk Chukā)
114,Behave / Behaved / Behaved,நடந்துகொள் (Naḍandhukoḷ) / நடந்துகொண்டேன் (Naḍandhukoṇḍēn) / நடந்துகொண்டிருக்கிறேன் (Naḍandhukoṇḍirukkirēn),व्यवहार करना (Vyavahār Karnā) / व्यवहार किया (Vyavahār Kiyā) / व्यवहार कर चुका (Vyavahār Kar Chukā)
115,Believe / Believed / Believed,நம்பு (Nambu) / நம்பினேன் (Nambinēn) / நம்பியுள்ளேன் (Nambiyuḷḷēn),विश्वास करना (Viśvās Karnā) / विश्वास किया (Viśvās Kiyā) / विश्वास कर चुका (Viśvās Kar Chukā)
116,Call / Called / Called,அழை (Aḻai) / அழைத்தேன் (Aḻaittēn) / அழைத்திருக்கிறேன் (Aḻaittirukkirēn),बुलाना (Bulānā) / बुलाया (Bulāyā) / बुला चुका (Bulā Chukā)
117,Cancel / Canceled / Canceled,ரத்துசெய் (Raththusey) / ரத்துசெய்தேன் (Raththuseydhēn) / ரத்துசெய்திருக்கிறேன் (Raththuseydhirukkirēn),रद्द करना (Radd Karnā) / रद्द किया (Radd Kiyā) / रद्द कर चुका (Radd Kar Chukā)
118,Carry / Carried / Carried,சுமந்துசெல் (Sumandhusel) / சுமந்துசென்றேன் (Sumandhusenṟēn) / சுமந்துசென்றிருக்கிறேன் (Sumandhusenṟirukkirēn),ले जाना (Le Jānā) / ले गया (Le Gayā) / ले जा चुका (Le Jā Chukā)
119,Change / Changed / Changed,மாற்று (Māṟṟu) / மாற்றினேன் (Māṟṟinēn) / மாற்றியுள்ளேன் (Māṟṟiyuḷḷēn),बदलना (Badalnā) / बदला (Badalā) / बदल चुका (Badal Chukā)
120,Clean / Cleaned / Cleaned,சுத்தப்படுத்து (Sutthappaḍuttu) / சுத்தப்படுத்தினேன் (Sutthappaḍuttinēn) / சுத்தப்படுத்தியுள்ளேன் (Sutthappaḍuttiyuḷḷēn),साफ़ करना (Sāf Karnā) / साफ़ किया (Sāf Kiyā) / साफ़ कर चुका (Sāf Kar Chukā)
121,Close / Closed / Closed,மூடு (Mūḍu) / மூடினேன் (Mūḍinēn) / மூடியுள்ளேன் (Mūḍiyuḷḷēn),बंद करना (Band Karnā) / बंद किया (Band Kiyā) / बंद कर चुका (Band Kar Chukā)
122,Collect / Collected / Collected,சேகரி (Sēgari) / சேகரித்தேன் (Sēgarittēn) / சேகரித்திருக்கிறேன் (Sēgarittirukkirēn),इकट्ठा करना (Ikaṭṭhā Karnā) / इकट्ठा किया (Ikaṭṭhā Kiyā) / इकट्ठा कर चुका (Ikaṭṭhā Kar Chukā)
123,Compare / Compared / Compared,ஒப்பிடு (Oppidḍu) / ஒப்பிட்டேன் (Oppidḍēn) / ஒப்பிட்டிருக்கிறேன் (Oppidḍirukkirēn),तुलना करना (Tulanā Karnā) / तुलना की (Tulanā Kī) / तुलना कर चुका (Tulanā Kar Chukā)
124,Complain / Complained / Complained,புகார் செய் (Pugār Sey) / புகார் செய்தேன் (Pugār Seydhēn) / புகார் செய்திருக்கிறேன் (Pugār Seydhirukkirēn),शिकायत करना (Shikāyat Karnā) / शिकायत की (Shikāyat Kī) / शिकायत कर चुका (Shikāyat Kar Chukā)
125,Complete / Completed / Completed,முழுமையாக்கு (Muḻumaiyākku) / முழுமையாக்கினேன் (Muḻumaiyākkinēn) / முழுமையாக்கியுள்ளேன் (Muḻumaiyākkiyuḷḷēn),पूरा करना (Pūrā Karnā) / पूरा किया (Pūrā Kiyā) / पूरा कर चुका (Pūrā Kar Chukā)
126,Cook / Cooked / Cooked,சமை (Samai) / சமைத்தேன் (Samaittēn) / சமைத்திருக்கிறேன் (Samaittirukkirēn),पकाना (Pakānā) / पकाया (Pakāyā) / पका चुका (Pakā Chukā)
127,Copy / Copied / Copied,நகலெடு (Nagaḷeḍu) / நகலெடுத்தேன் (Nagaḷeḍuttēn) / நகலெடுத்திருக்கிறேன் (Nagaḷeḍuttirukkirēn),नकल करना (Nakal Karnā) / नकल की (Nakal Kī) / नकल कर चुका (Nakal Kar Chukā)
128,Count / Counted / Counted,எண்ணு (Eṇṇu) / எண்ணினேன் (Eṇṇinēn) / எண்ணியுள்ளேன் (Eṇṇiyuḷḷēn),गिनना (Ginnā) / गिना (Ginā) / गिन चुका (Gin Chukā)
129,Damage / Damaged / Damaged,சேதப்படுத்து (Sēdhappaḍuttu) / சேதப்படுத்தினேன் (Sēdhappaḍuttinēn) / சேதப்படுத்தியுள்ளேன் (Sēdhappaḍuttiyuḷḷēn),नुकसान पहुंचाना (Nuksān Pahuñchānā) / नुकसान पहुंचाया (Nuksān Pahuñchāyā) / नुकसान पहुंचा चुका (Nuksān Pahuñchā Chukā)
130,Dance / Danced / Danced,நடனம் ஆடு (Naḍaṉam Āḍu) / நடனம் ஆடினேன் (Naḍaṉam Āḍinēn) / நடனம் ஆடியுள்ளேன் (Naḍaṉam Āḍiyuḷḷēn),नाचना (Nāchnā) / नाचा (Nāchā) / नाच चुका (Nāch Chukā)
131,Decide / Decided / Decided,முடிவெடு (Muḍiveḍu) / முடிவெடுத்தேன் (Muḍiveḍuttēn) / முடிவெடுத்திருக்கிறேன் (Muḍiveḍuttirukkirēn),फैसला करना (Faislā Karnā) / फैसला किया (Faislā Kiyā) / फैसला कर चुका (Faislā Kar Chukā)
132,Deliver / Delivered / Delivered,வழங்கு (Vaḻaṅgu) / வழங்கினேன் (Vaḻaṅginēn) / வழங்கியுள்ளேன் (Vaḻaṅgiyuḷḷēn),पहुंचाना (Pahuñchānā) / पहुंचाया (Pahuñchāyā) / पहुंचा चुका (Pahuñchā Chukā)
133,Depend / Depended / Depended,சார்ந்திரு (Sārndhiru) / சார்ந்திருந்தேன் (Sārndhirundhēn) / சார்ந்திருந்திருக்கிறேன் (Sārndhirundhirukkirēn),निर्भर करना (Nirbhar Karnā) / निर्भर किया (Nirbhar Kiyā) / निर्भर कर चुका (Nirbhar Kar Chukā)
134,Describe / Described / Described,விவரி (Vivari) / விவரித்தேன் (Vivarittēn) / விவரித்திருக்கிறேன் (Vivarittirukkirēn),वर्णन करना (Varṇan Karnā) / वर्णन किया (Varṇan Kiyā) / वर्णन कर चुका (Varṇan Kar Chukā)
135,Develop / Developed / Developed,வளர்ச்சி செய் (Vaḷarcci Sey) / வளர்ச்சி செய்தேன் (Vaḷarcci Seydhēn) / வளர்ச்சி செய்திருக்கிறேன் (Vaḷarcci Seydhirukkirēn),विकसित करना (Viksit Karnā) / विकसित किया (Viksit Kiyā) / विकसित कर चुका (Viksit Kar Chukā)
136,Die / Died / Died,இற (Iṟa) / இறந்தேன் (Iṟandhēn) / இறந்திருக்கிறேன் (Iṟandhirukkirēn),मरना (Marnā) / मरा (Marā) / मर चुका (Mar Chukā)
137,Disappear / Disappeared / Disappeared,மறை (Maṟai) / மறைந்தேன் (Maṟaindhēn) / மறைந்திருக்கிறேன் (Maṟaindhirukkirēn),गायब होना (Gāyab Honā) / गायब हुआ (Gāyab Huā) / गायब हो चुका (Gāyab Ho Chukā)
138,Discover / Discovered / Discovered,கண்டுபிடி (Kaṇḍupiḍi) / கண்டுபிடித்தேன் (Kaṇḍupiḍittēn) / கண்டுபிடித்திருக்கிறேன் (Kaṇḍupiḍittirukkirēn),खोजना (Khojnā) / खोजा (Khojā) / खोज चुका (Khoj Chukā)
139,Disturb / Disturbed / Disturbed,தொந்தரவு செய் (Tondharavu Sey) / தொந்தரவு செய்தேன் (Tondharavu Seydhēn) / தொந்தரவு செய்திருக்கிறேன் (Tondharavu Seydhirukkirēn),परेशान करना (Pareshān Karnā) / परेशान किया (Pareshān Kiyā) / परेशान कर चुका (Pareshān Kar Chukā)
140,Divide / Divided / Divided,பிரி (Piri) / பிரித்தேன் (Pirittēn) / பிரித்திருக்கிறேன் (Pirittirukkirēn),बांटना (Bāṇṭnā) / बांटा (Bāṇṭā) / बांट चुका (Bāṇṭ Chukā)
141,Dream / Dreamed / Dreamed,கனவு காண் (Kaṉavu Kāṇ) / கனவு கண்டேன் (Kaṉavu Kaṇḍēn) / கனவு கண்டிருக்கிறேன் (Kaṉavu Kaṇḍirukkirēn),सपना देखना (Sapnā Dekhnā) / सपना देखा (Sapnā Dekhā) / सपना देख चुका (Sapnā Dekh Chukā)
142,Drop / Dropped / Dropped,விடு (Viḍu) / விட்டேன் (Viṭṭēn) / விட்டிருக்கிறேன் (Viṭṭirukkirēn),गिराना (Girānā) / गिराया (Girāyā) / गिरा चुका (Girā Chukā)
143,Earn / Earned / Earned,சம்பாதி (Sambādhi) / சம்பாதித்தேன் (Sambādhittēn) / சம்பாதித்திருக்கிறேன் (Sambādhittirukkirēn),कमाना (Kamānā) / कमाया (Kamāyā) / कमा चुका (Kamā Chukā)
144,Educate / Educated / Educated,கற்பி (Kaṟpi) / கற்பித்தேன் (Kaṟpittēn) / கற்பித்திருக்கிறேன் (Kaṟpittirukkirēn),शिक्षित करना (Shikshit Karnā) / शिक्षित किया (Shikshit Kiyā) / शिक्षित कर चुका (Shikshit Kar Chukā)
145,Employ / Employed / Employed,வேலைக்கமர்த்து (Vēlaikkamarthu) / வேலைக்கமர்த்தினேன் (Vēlaikkamarthinēn) / வேலைக்கமர்த்தியுள்ளேன் (Vēlaikkamarthiyuḷḷēn),रोजगार देना (Rojgār Denā) / रोजगार दिया (Rojgār Diyā) / रोजगार दे चुका (Rojgār De Chukā)
146,End / Ended / Ended,முடிவு செய் (Muḍivu Sey) / முடிவு செய்தேன் (Muḍivu Seydhēn) / முடிவு செய்திருக்கிறேன் (Muḍivu Seydhirukkirēn),समाप्त करना (Samāpt Karnā) / समाप्त किया (Samāpt Kiyā) / समाप्त कर चुका (Samāpt Kar Chukā)
147,Enjoy / Enjoyed / Enjoyed,மகிழ் (Magiḻ) / மகிழ்ந்தேன் (Magiḻndhēn) / மகிழ்ந்திருக்கிறேன் (Magiḻndhirukkirēn),आनंद लेना (Ānand Lenā) / आनंद लिया (Ānand Liyā) / आनंद ले चुका (Ānand Le Chukā)
148,Enter / Entered / Entered,நுழை (Nuḻai) / நுழைந்தேன் (Nuḻaindhēn) / நுழைந்திருக்கிறேன் (Nuḻaindhirukkirēn),प्रवेश करना (Praveś Karnā) / प्रवेश किया (Praveś Kiyā) / प्रवेश कर चुका (Praveś Kar Chukā)
149,Escape / Escaped / Escaped,தப்பி (Tappi) / தப்பித்தேன் (Tappittēn) / தப்பித்திருக்கிறேன் (Tappittirukkirēn),भाग जाना (Bhāg Jānā) / भाग गया (Bhāg Gayā) / भाग चुका (Bhāg Chukā)
150,Examine / Examined / Examined,ஆய்வுசெய் (Āyvusey) / ஆய்வுசெய்தேன் (Āyvuseydhēn) / ஆய்வுசெய்திருக்கிறேன் (Āyvuseydhirukkirēn),जांच करना (Jānch Karnā) / जांच किया (Jānch Kiyā) / जांच कर चुका (Jānch Kar Chukā)
151,Explain / Explained / Explained,விளக்கு (Viḷakku) / விளக்கினேன் (Viḷakkinēn) / விளக்கியுள்ளேன் (Viḷakkiyuḷḷēn),समझाना (Samjhānā) / समझाया (Samjhāyā) / समझा चुका (Samjhā Chukā)
152,Fail / Failed / Failed,தோல்வி அடை (Tōlvi Aḍai) / தோல்வி அடைந்தேன் (Tōlvi Aḍaindhēn) / தோல்வி அடைந்திருக்கிறேன் (Tōlvi Aḍaindhirukkirēn),असफल होना (Asafal Honā) / असफल हुआ (Asafal Huā) / असफल हो चुका (Asafal Ho Chukā)
153,Fear / Feared / Feared,பயப்படு (Bayappaḍu) / பயந்தேன் (Bayandhēn) / பயந்திருக்கிறேன் (Bayandhirukkirēn),डरना (Ḍarnā) / डरा (Ḍarā) / डर चुका (Ḍar Chukā)
154,Fix / Fixed / Fixed,சரிசெய் (Sarisey) / சரிசெய்தேன் (Sariseydhēn) / சரிசெய்திருக்கிறேன் (Sariseydhirukkirēn),ठीक करना (Ṭhīk Karnā) / ठीक किया (Ṭhīk Kiyā) / ठीक कर चुका (Ṭhīk Kar Chukā)
155,Flow / Flowed / Flowed,பாய் (Pāy) / பாய்ந்தேன் (Pāyndhēn) / பாய்ந்திருக்கிறேன் (Pāyndhirukkirēn),बहना (Bahnā) / बहा (Bahā) / बह चुका (Bah Chukā)
156,Follow / Followed / Followed,பின்பற்று (Piṉpaṟṟu) / பின்பற்றினேன் (Piṉpaṟṟinēn) / பின்பற்றியுள்ளேன் (Piṉpaṟṟiyuḷḷēn),पीछा करना (Pīchhā Karnā) / पीछा किया (Pīchhā Kiyā) / पीछा कर चुका (Pīchhā Kar Chukā)
157,Force / Forced / Forced,கட்டாயப்படுத்து (Kaṭṭāyappaḍuttu) / கட்டாயப்படுத்தினேன் (Kaṭṭāyappaḍuttinēn) / கட்டாயப்படுத்தியுள்ளேன் (Kaṭṭāyappaḍuttiyuḷḷēn),मजबूर करना (Majbūr Karnā) / मजबूर किया (Majbūr Kiyā) / मजबूर कर चुका (Majbūr Kar Chukā)
158,Gather / Gathered / Gathered,ஒன்றுசேர் (Onṟusēr) / ஒன்றுசேர்ந்தேன் (Onṟusērndhēn) / ஒன்றுசேர்ந்திருக்கிறேன் (Onṟusērndhirukkirēn),इकट्ठा करना (Ikaṭṭhā Karnā) / इकट्ठा किया (Ikaṭṭhā Kiyā) / इकट्ठा कर चुका (Ikaṭṭhā Kar Chukā)
159,Guess / Guessed / Guessed,ஊகி (Ūgi) / ஊகித்தேன் (Ūgittēn) / ஊகித்திருக்கிறேன் (Ūgittirukkirēn),अनुमान लगाना (Anumān Lagānā) / अनुमान लगाया (Anumān Lagāyā) / अनुमान लगा चुका (Anumān Lagā Chukā)
160,Happen / Happened / Happened,நட (Naḍa) / நடந்தது (Naḍandhadhu) / நடந்திருக்கிறது (Naḍandhirukkiradhu),होना (Honā) / हुआ (Huā) / हो चुका (Ho Chukā)
161,Help / Helped / Helped,உதவி செய் (Udhvi Sey) / உதவி செய்தேன் (Udhvi Seydhēn) / உதவி செய்திருக்கிறேன் (Udhvi Seydhirukkirēn),मदद करना (Madad Karnā) / मदद की (Madad Kī) / मदद कर चुका (Madad Kar Chukā)
162,Hope / Hoped / Hoped,நம்பு (Nambu) / நம்பினேன் (Nambinēn) / நம்பியுள்ளேன் (Nambiyuḷḷēn),आशा करना (Āśā Karnā) / आशा की (Āśā Kī) / आशा कर चुका (Āśā Kar Chukā)
163,Identify / Identified / Identified,அடையாளம் காண் (Aḍaiyaḷam Kāṇ) / அடையாளம் கண்டேன் (Aḍaiyaḷam Kaṇḍēn) / அடையாளம் கண்டிருக்கிறேன் (Aḍaiyaḷam Kaṇḍirukkirēn),पहचानना (Pahchānnā) / पहचाना (Pahchānā) / पहचान चुका (Pahchān Chukā)
164,Imagine / Imagined / Imagined,கற்பனை செய் (Kaṟpanai Sey) / கற்பனை செய்தேன் (Kaṟpanai Seydhēn) / கற்பனை செய்திருக்கிறேன் (Kaṟpanai Seydhirukkirēn),कल्पना करना (Kalpnā Karnā) / कल्पना की (Kalpnā Kī) / कल्पना कर चुका (Kalpnā Kar Chukā)
165,Improve / Improved / Improved,மேம்படுத்து (Mēmbappaḍuttu) / மேம்படுத்தினேன் (Mēmbappaḍuttinēn) / மேம்படுத்தியுள்ளேன் (Mēmbappaḍuttiyuḷḷēn),सुधारना (Sudhārnā) / सुधारा (Sudhārā) / सुधार चुका (Sudhār Chukā)
166,Increase / Increased / Increased,அதிகரி (Adhikari) / அதிகரித்தேன் (Adhikarittēn) / அதிகரித்திருக்கிறேன் (Adhikarittirukkirēn),बढ़ाना (Baṛhānā) / बढ़ाया (Baṛhāyā) / बढ़ा चुका (Baṛhā Chukā)
167,Inform / Informed / Informed,தகவல் கொடு (Thagaval Koḍu) / தகவல் கொடுத்தேன் (Thagaval Koḍuttēn) / தகவல் கொடுத்திருக்கிறேன் (Thagaval Koḍuttirukkirēn),सूचित करना (Sūchit Karnā) / सूचित किया (Sūchit Kiyā) / सूचित कर चुका (Sūchit Kar Chukā)
168,Insist / Insisted / Insisted,வலியுறுத்து (Valiyuruttu) / வலியுறுத்தினேன் (Valiyuruttinēn) / வலியுறுத்தியுள்ளேன் (Valiyuruttiyuḷḷēn),ज़िद करना (Zid Karnā) / ज़िद की (Zid Kī) / ज़िद कर चुका (Zid Kar Chukā)
169,Introduce / Introduced / Introduced,அறிமுகப்படுத்து (Aṟimugappaḍuttu) / அறிமுகப்படுத்தினேன் (Aṟimugappaḍuttinēn) / அறிமுகப்படுத்தியுள்ளேன் (Aṟimugappaḍuttiyuḷḷēn),परिचय कराना (Parichay Karānā) / परिचय कराया (Parichay Karāyā) / परिचय करा चुका (Parichay Karā Chukā)
170,Invite / Invited / Invited,அழை (Aḻai) / அழைத்தேன் (Aḻaittēn) / அழைத்திருக்கிறேன் (Aḻaittirukkirēn),आमंत्रित करना (Āmantrit Karnā) / आमंत्रित किया (Āmantrit Kiyā) / आमंत्रित कर चुका (Āmantrit Kar Chukā)
171,Join / Joined / Joined,சேர் (Sēr) / சேர்ந்தேன் (Sērndhēn) / சேர்ந்திருக்கிறேன் (Sērndhirukkirēn),शामिल होना (Shāmil Honā) / शामिल हुआ (Shāmil Huā) / शामिल हो चुका (Shāmil Ho Chukā)
172,Jump / Jumped / Jumped,குதி (Kudhi) / குதித்தேன் (Kudhittēn) / குதித்திருக்கிறேன் (Kudhittirukkirēn),कूदना (Kūdnā) / कूदा (Kūdā) / कूद चुका (Kūd Chukā)
173,Kick / Kicked / Kicked,உதை (Uthai) / உதைத்தேன் (Uthaittēn) / உதைத்திருக்கிறேன் (Uthaittirukkirēn),लात मारना (Lāt Māranā) / लात मारी (Lāt Mārī) / लात मार चुका (Lāt Mār Chukā)
174,Laugh / Laughed / Laughed,சிரி (Siri) / சிரித்தேன் (Sirittēn) / சிரித்திருக்கிறேன் (Sirittirukkirēn),हँसना (Hañsnā) / हँसा (Hañsā) / हँस चुका (Hañs Chukā)
175,Lend / Lent / Lent,கடன் கொடு (Kaḍan Koḍu) / கடன் கொடுத்தேன் (Kaḍan Koḍuttēn) / கடன் கொடுத்திருக்கிறேன் (Kaḍan Koḍuttirukkirēn),उधार देना (Udhār Denā) / उधार दिया (Udhār Diyā) / उधार दे चुका (Udhār De Chukā)
176,Light / Lit / Lit,எரி (Eri) / எரித்தேன் (Erittēn) / எரித்திருக்கிறேன் (Erittirukkirēn),जलाना (Jalānā) / जलाया (Jalāyā) / जला चुका (Jalā Chukā)
177,Live / Lived / Lived,வாழ் (Vāḻ) / வாழ்ந்தேன் (Vāḻndhēn) / வாழ்ந்திருக்கிறேன் (Vāḻndhirukkirēn),रहना (Rahnā) / रहा (Rahā) / रह चुका (Rah Chukā)
178,Lock / Locked / Locked,பூட்டு (Pūṭṭu) / பூட்டினேன் (Pūṭṭinēn) / பூட்டியுள்ளேன் (Pūṭṭiyuḷḷēn),ताला लगाना (Tālā Lagānā) / ताला लगाया (Tālā Lagāyā) / ताला लगा चुका (Tālā Lagā Chukā)
179,Look / Looked / Looked,பார் (Pār) / பார்த்தேன் (Pārttēn) / பார்த்திருக்கிறேன் (Pārttirukkirēn),देखना (Dekhnā) / देखा (Dekhā) / देख चुका (Dekh Chukā)
180,Manage / Managed / Managed,நிர்வகி (Nirvagi) / நிர்வகித்தேன் (Nirvagittēn) / நிர்வகித்திருக்கிறேன் (Nirvagittirukkirēn),प्रबंध करना (Prabandh Karnā) / प्रबंध किया (Prabandh Kiyā) / प्रबंध कर चुका (Prabandh Kar Chukā)
181,Measure / Measured / Measured,அளவிடு (Aḷaviḍu) / அளவிட்டேன் (Aḷaviṭṭēn) / அளவிட்டிருக்கிறேன் (Aḷaviṭṭirukkirēn),मापना (Māpnā) / मापा (Māpā) / माप चुका (Māp Chukā)
182,Move / Moved / Moved,நகர் (Nagar) / நகர்ந்தேன் (Nagarndhēn) / நகர்ந்திருக்கிறேன் (Nagarndhirukkirēn),चलना (Chalnā) / चला (Chalā) / चल चुका (Chal Chukā)
183,Need / Needed / Needed,தேவைப்படு (Tēvaippaḍu) / தேவைப்பட்டேன் (Tēvaippaṭṭēn) / தேவைப்பட்டிருக்கிறேன் (Tēvaippaṭṭirukkirēn),आवश्यकता होना (Āvaśyaktā Honā) / आवश्यकता हुई (Āvaśyaktā Huī) / आवश्यकता हो चुका (Āvaśyaktā Ho Chukā)
184,Obey / Obeyed / Obeyed,கீழ்ப்படி (Kīḻppaḍi) / கீழ்ப்படிந்தேன் (Kīḻppaḍindhēn) / கீழ்ப்படிந்திருக்கிறேன் (Kīḻppaḍindhirukkirēn),आज्ञा मानना (Āgyā Mānnā) / आज्ञा मानी (Āgyā Mānī) / आज्ञा मान चुका (Āgyā Mān Chukā)
185,Open / Opened / Opened,திற (Tiṟa) / திறந்தேன் (Tiṟandhēn) / திறந்திருக்கிறேன் (Tiṟandhirukkirēn),खोलना (Kholnā) / खोला (Kholā) / खोल चुका (Khol Chukā)
186,Order / Ordered / Ordered,ஆணையிடு (Āṇaiyiḍu) / ஆணையிட்டேன் (Āṇaiyiṭṭēn) / ஆணையிட்டிருக்கிறேன் (Āṇaiyiṭṭirukkirēn),आदेश देना (Ādeś Denā) / आदेश दिया (Ādeś Diyā) / आदेश दे चुका (Ādeś De Chukā)
187,Own / Owned / Owned,சொந்தமாக இரு (Sondhamāga Iru) / சொந்தமாக இருந்தேன் (Sondhamāga Irundhēn) / சொந்தமாக இருந்திருக்கிறேன் (Sondhamāga Irundhirukkirēn),मालिक होना (Mālik Honā) / मालिक हुआ (Mālik Huā) / मालिक हो चुका (Mālik Ho Chukā)
188,Pack / Packed / Packed,பொதி (Podhi) / பொதிந்தேன் (Podhindhēn) / பொதிந்திருக்கிறேன் (Podhindhirukkirēn),बांधना (Bāndhnā) / बांधा (Bāndhā) / बांध चुका (Bāndh Chukā)
189,Paint / Painted / Painted,வண்ணம் பூசு (Vaṇṇam Pūsu) / வண்ணம் பூசினேன் (Vaṇṇam Pūsinēn) / வண்ணம் பூசியுள்ளேன் (Vaṇṇam Pūsiuḷḷēn),रंगना (Raṅgnā) / रंगा (Raṅgā) / रंग चुका (Raṅg Chukā)
190,Pass / Passed / Passed,கடந்து செல் (Kaḍandhu Sel) / கடந்து சென்றேன் (Kaḍandhu Senṟēn) / கடந்து சென்றிருக்கிறேன் (Kaḍandhu Senṟirukkirēn),गुज़रना (Guzarnā) / गुज़रा (Guzarā) / गुज़र चुका (Guzar Chukā)
191,Perform / Performed / Performed,நிகழ்த்து (Nigaḻttu) / நிகழ்த்தினேன் (Nigaḻttinēn) / நிகழ்த்தியுள்ளேன் (Nigaḻttiyuḷḷēn),प्रदर्शन करना (Pradarśan Karnā) / प्रदर्शन किया (Pradarśan Kiyā) / प्रदर्शन कर चुका (Pradarśan Kar Chukā)
192,Plant / Planted / Planted,நடு (Naḍu) / நட்டேன் (Naṭṭēn) / நட்டிருக்கிறேன் (Naṭṭirukkirēn),पौधा लगाना (Paudhā Lagānā) / पौधा लगाया (Paudhā Lagāyā) / पौधा लगा चुका (Paudhā Lagā Chukā)
193,Play / Played / Played,விளையாடு (Viḷaiyāḍu) / விளையாடினேன் (Viḷaiyāḍinēn) / விளையாடியுள்ளேன் (Viḷaiyāḍiyuḷḷēn),खेलना (Khelnā) / खेला (Khelā) / खेल चुका (Khel Chukā)
194,Print / Printed / Printed,அச்சிடு (Achchiḍu) / அச்சிட்டேன் (Achchiṭṭēn) / அச்சிட்டிருக்கிறேன் (Achchiṭṭirukkirēn),छापना (Chhāpnā) / छापा (Chhāpā) / छाप चुका (Chhāp Chukā)
195,Pull / Pulled / Pulled,இழு (Iḻu) / இழுத்தேன் (Iḻuttēn) / இழுத்திருக்கிறேன் (Iḻuttirukkirēn),खींचना (Khīnchnā) / खींचा (Khīnchā) / खींच चुका (Khīnch Chukā)
196,Push / Pushed / Pushed,தள்ளு (Taḷḷu) / தள்ளினேன் (Taḷḷinēn) / தள்ளியுள்ளேன் (Taḷḷiyuḷḷēn),धकेलना (Dhakelnā) / धकेला (Dhakelā) / धकेल चुका (Dhakel Chukā)
197,Receive / Received / Received,பெற்றுக்கொள் (Peṟṟukkoḷ) / பெற்றுக்கொண்டேன் (Peṟṟukkoṇḍēn) / பெற்றுக்கொண்டிருக்கிறேன் (Peṟṟukkoṇḍirukkirēn),प्राप्त करना (Prāpt Karnā) / प्राप्त किया (Prāpt Kiyā) / प्राप्त कर चुका (Prāpt Kar Chukā)
198,Refuse / Refused / Refused,மறு (Maṟu) / மறுதேன் (Maṟuthēn) / மறுத்திருக்கிறேன் (Maṟuthirukkirēn),मना करना (Manā Karnā) / मना किया (Manā Kiyā) / मना कर चुका (Manā Kar Chukā)
199,Remember / Remembered / Remembered,நினைவில் கொள் (Niṉaivil Koḷ) / நினைவில் கொண்டேன் (Niṉaivil Koṇḍēn) / நினைவில் கொண்டிருக்கிறேன் (Niṉaivil Koṇḍirukkirēn),याद रखना (Yād Rakhnā) / याद रखा (Yād Rakhā) / याद रख चुका (Yād Rakh Chukā)
200,Reply / Replied / Replied,பதிலளி (Padhilali) / பதிலளித்தேன் (Padhilalittēn) / பதிலளித்திருக்கிறேன் (Padhilalittirukkirēn),जवाब देना (Javāb Denā) / जवाब दिया (Javāb Diyā) / जवाब दे चुका (Javāb De Chukā)
201,Report / Reported / Reported,அறிக்கை செய் (Aṟikkai Sey) / அறிக்கை செய்தேன் (Aṟikkai Seydhēn) / அறிக்கை செய்திருக்கிறேன் (Aṟikkai Seydhirukkirēn),रिपोर्ट करना (Ripoṛṭ Karnā) / रिपोर्ट किया (Ripoṛṭ Kiyā) / रिपोर्ट कर चुका (Ripoṛṭ Kar Chukā)
