id,title,passage,q1,a1,q2,a2,level,Tamil Translation (Passage),Hindi Translation (Passage)
R083,Microscopic Life,"Bacteria are tiny living things that exist everywhere. Some bacteria can make you sick, but others are helpful and help us digest our food.",Can you see bacteria with your eyes?,"No, they are too small.",Are all bacteria bad?,"No, some are helpful for digestion.",Beginner (A1),பாக்டீரியாக்கள் எல்லா இடங்களிலும் இருக்கும் மிகச்சிறிய உயிரினங்கள்.,बैक्टीरिया नन्हे जीव हैं जो हर जगह मौजूद हैं। कुछ मददगार होते हैं।
R084,The Steam Engine,"The steam engine used boiling water to create power. This invention led to the creation of trains and factories, starting the Industrial Revolution.",What did the steam engine use for power?,Boiling water.,What did this invention start?,The Industrial Revolution.,Beginner (A1),நீராவி இயந்திரம் கொதிக்கும் நீரைப் பயன்படுத்தி சக்தியை உருவாக்கியது.,भाप इंजन ने शक्ति बनाने के लिए उबलते पानी का इस्तेमाल किया।
R085,Mars Exploration,Robots called rovers are currently exploring Mars. They take pictures and test the soil to help scientists learn if life ever existed on the Red Planet.,What are the robots on Mars called?,Rovers.,Why are they testing the soil?,To see if life ever existed there.,Beginner (A1),ரோவர் எனப்படும் ரோபோக்கள் தற்போது செவ்வாய் கிரகத்தை ஆராய்ந்து வருகின்றன.,रोवर्स नामक रोबोट वर्तमान में मंगल ग्रह की खोज कर रहे हैं।
R086,The Earth's Atmosphere,The atmosphere is a layer of gases that surrounds the Earth. It protects us from the Sun's harmful rays and gives us the air we need to breathe.,What is the atmosphere?,A layer of gases surrounding the Earth.,Name one way it protects us.,It blocks the Sun's harmful rays.,Beginner (A1),வளிமண்டலம் என்பது பூமியைச் சுற்றியுள்ள வாயுக்களின் அடுக்கு ஆகும்.,वायुमंडल गैसों की एक परत है जो पृथ्वी को घेरे हुए है।
R087,Thomas Edison,Thomas Edison was a famous inventor who created the light bulb and the phonograph. He failed many times but never gave up until his inventions worked.,What did Edison invent?,The light bulb and phonograph.,Did he succeed on his first try?,"No, he failed many times.",Beginner (A1),தாமஸ் எடிசன் மின்விளக்கைக் கண்டுபிடித்த பிரபலமான கண்டுபிடிப்பாளர்.,थॉमस एडिसन एक प्रसिद्ध आविष्कारक थे जिन्होंने लाइट बल्ब बनाया था।
R088,The Sahara Desert,The Sahara is the largest hot desert in the world. It covers much of North Africa. Temperatures can be very hot during the day and very cold at night.,Is the Sahara a cold desert?,"No, it is the largest hot desert.",How does the temperature change?,Hot during the day and cold at night.,Beginner (A1),சஹாரா உலகின் மிகப்பெரிய வெப்பமான பாலைவனமாகும்.,सहारा दुनिया का सबसे बड़ा गर्म रेगिस्तान है। यह अफ्रीका में है।
R089,Plant Pollination,"Bees and butterflies help plants grow by carrying pollen from one flower to another. This is called pollination, and it allows plants to make seeds.",How do insects help plants?,By carrying pollen from flower to flower.,What does pollination allow plants to do?,Make seeds.,Beginner (A1),தேனீக்களும் பட்டாம்பூச்சிகளும் மகரந்தச் சேர்க்கைக்கு உதவுகின்றன.,मधुमक्खियाँ और तितलियाँ परागण में मदद करके पौधों को बढ़ने में मदद करती हैं।
R090,The Great Depression,"In the 1930s, many countries faced a severe economic crisis called the Great Depression. Many people lost their jobs and struggled to buy food for their families.",When did the Great Depression happen?,In the 1930s.,What was the main struggle for people?,Lost jobs and struggling to buy food.,Beginner (A1),1930-களில் உலகம் கடுமையான பொருளாதார நெருக்கடியைச் சந்தித்தது.,"1930 के दशक में, दुनिया को एक गंभीर आर्थिक संकट का सामना करना पड़ा।"
R091,Human Rights,"Human rights are basic rights that belong to every person in the world. They include the right to life, freedom of speech, and equal treatment under the law.",Who do human rights belong to?,Every person in the world.,Name two human rights mentioned.,Freedom of speech and equal treatment.,Beginner (A1),மனித உரிமைகள் என்பது உலகில் உள்ள ஒவ்வொருவருக்கும் உரிய அடிப்படை உரிமைகள்.,मानवाधिकार बुनियादी अधिकार हैं जो दुनिया के हर व्यक्ति के हैं।
R092,Quantum Entanglement,"Quantum entanglement is a phenomenon where two particles become linked. If you change one, the other changes instantly, even if it is far away.",What happens to linked particles in entanglement?,Changing one affects the other instantly.,Does distance stop this effect?,"No, it happens even if they are far away.",Beginner (A1),குவாண்டம் சிக்கல் (Quantum Entanglement) என்பது துகள்கள் ஒன்றுடன் ஒன்று இணைந்திருக்கும் ஒரு நிகழ்வு.,क्वांटम उलझाव एक ऐसी घटना है जहाँ दो कण आपस में जुड़ जाते हैं।
R093,Sustainable Development,Sustainable development means growing our economy without destroying the environment. It ensures that future generations will have enough resources to live well.,What is the goal of sustainable development?,Economic growth without destroying the environment.,Who does it protect resources for?,Future generations.,Beginner (A1),நிலையான வளர்ச்சி என்பது சுற்றுச்சூழலை அழிக்காமல் பொருளாதாரத்தை வளர்ப்பதாகும்.,सतत विकास का अर्थ है पर्यावरण को नष्ट किए बिना अपनी अर्थव्यवस्था को बढ़ाना।
R094,The French Revolution,The French Revolution was a time of political change in France. People fought to end the power of kings and create a society based on liberty and equality.,What was the goal of the French Revolution?,To end the power of kings and create equality.,What were the two core values mentioned?,Liberty and equality.,Beginner (A1),பிரெஞ்சு புரட்சி என்பது மன்னர்களின் அதிகாரத்தை முடிவுக்குக் கொண்டுவர நடந்த மாற்றமாகும்.,फ्रांसीसी क्रांति राजाओं की शक्ति को समाप्त करने के लिए एक राजनीतिक बदलाव था।
R095,The Ethics of AI,"As AI becomes more powerful, we must consider the ethics of its use. This includes concerns about privacy, bias in algorithms, and its impact on the future of work.",What should we consider as AI gets stronger?,The ethics of its use.,Name two ethical concerns mentioned.,Privacy and bias in algorithms.,Beginner (A1),"AI வலிமை பெறும்போது, அதன் பயன்பாட்டில் உள்ள அறநெறிகளை நாம் கவனிக்க வேண்டும்.","जैसे-जैसे एआई अधिक शक्तिशाली होता है, हमें इसके उपयोग की नैतिकता पर विचार करना चाहिए।"
R096,Global Trade Dynamics,Global trade allows countries to exchange goods and services. This interdependence creates wealth but can also lead to economic instability during global crises.,What does global trade allow?,Exchange of goods and services.,What is a potential risk of trade interdependence?,Economic instability during global crises.,Beginner (A1),உலகளாவிய வர்த்தகம் நாடுகள் தங்களுக்குள் பொருட்களைப் பரிமாறிக் கொள்ள அனுமதிக்கிறது.,वैश्विक व्यापार देशों को वस्तुओं और सेवाओं का आदान-प्रदान करने की अनुमति देता है।
R097,The Hubble Deep Field,"The Hubble telescope took a picture of a tiny piece of dark sky. It revealed thousands of galaxies, showing how incredibly vast the universe truly is.",What did the Hubble telescope reveal in dark sky?,Thousands of galaxies.,What does this picture show about the universe?,How vast it truly is.,Beginner (A1),ஹப்பிள் தொலைநோக்கி பிரபஞ்சத்தின் பரந்த தன்மையை உலகிற்கு வெளிப்படுத்தியது.,हबल टेलीस्कोप ने दिखाया कि ब्रह्मांड वास्तव में कितना विशाल है।
R098,Digital Privacy,"In the digital age, protecting personal data is a major challenge. Companies often track user behavior to show ads, raising concerns about individual privacy.",What is a major challenge in the digital age?,Protecting personal data.,Why do companies track user behavior?,To show targeted advertisements.,Beginner (A1),டிஜிட்டல் யுகத்தில் தனிப்பட்ட தரவுகளைப் பாதுகாப்பது ஒரு பெரிய சவாலாகும்.,"डिजिटल युग में, व्यक्तिगत डेटा की रक्षा करना एक बड़ी चुनौती है।"
R099,The Philosophy of Stoicism,"Stoicism is an ancient philosophy that teaches people to focus only on what they can control. By doing so, they can find peace even in difficult situations.",What does Stoicism teach?,To focus only on what you can control.,What is the benefit of this focus?,Finding peace in difficult situations.,Beginner (A1),ஸ்டோயிசிசம் என்பது கட்டுப்படுத்தக்கூடிய விஷயங்களில் மட்டும் கவனம் செலுத்தக் கற்பிக்கும் தத்துவமாகும்.,स्टोइसिज्म एक प्राचीन दर्शन है जो सिखाता है कि जो आप नियंत्रित कर सकते हैं उस पर ध्यान दें।
R100,Genetic Diversity,Genetic diversity is essential for the survival of a species. It allows populations to adapt to changing environments and resist new types of diseases.,Why is genetic diversity essential?,For the survival of a species.,What two things does it help populations do?,Adapt to environments and resist diseases.,Beginner (A1),ஒரு உயிரினத்தின் உயிர்வாழ்விற்கு மரபணு பன்முகத்தன்மை அவசியம்.,किसी प्रजाति के जीवित रहने के लिए आनुवंशिक विविधता आवश्यक है।
R101,The Gutenberg Bible,The Gutenberg Bible was the first major book printed using movable type. This started the Printing Revolution and made books more common across Europe.,What was the Gutenberg Bible?,The first major book printed with movable type.,What did this start in Europe?,The Printing Revolution.,Beginner (A1),குட்டன்பெர்க் பைபிள் அச்சு இயந்திரத்தில் அச்சிடப்பட்ட முதல் முக்கிய புத்தகமாகும்.,गुटेनबर्ग बाइबिल प्रिंटिंग प्रेस का उपयोग करके मुद्रित पहली प्रमुख पुस्तक थी।
R102,Dark Energy,Dark energy is a mysterious force that causes the universe to expand faster and faster. It makes up about 68% of everything in the entire universe.,What does dark energy cause?,The universe to expand faster.,How much of the universe is dark energy?,About 68%.,Beginner (A1),டார்க் எனர்ஜி என்பது பிரபஞ்சத்தை வேகமாக விரிவடையச் செய்யும் ஒரு மர்மமான சக்தியாகும்.,डार्क एनर्जी एक रहस्यमय शक्ति है जो ब्रह्मांड को तेजी से विस्तारित करती है।
R103,Ancient Democracy,"Democracy began in Athens, Greece. Citizens would gather to vote on laws. However, only a small part of the population was allowed to participate at that time.",Where did democracy begin?,"Athens, Greece.",Was everyone allowed to vote back then?,"No, only a small part of the population.",Beginner (A1),ஜனநாயகம் கிரேக்கத்தின் ஏதென்ஸில் தொடங்கியது. குடிமக்கள் வாக்களித்து சட்டங்களை உருவாக்கினர்.,लोकतंत्र की शुरुआत ग्रीस के एथेंस में हुई थी। नागरिक कानूनों पर वोट देते थे।
R104,Neural Plasticity,The brain's ability to change and form new connections is called plasticity. This allows humans to learn new skills and recover from certain brain injuries.,What is neural plasticity?,The brain's ability to change and form new connections.,What does this allow humans to do?,Learn skills and recover from injuries.,Beginner (A1),மூளை புதிய தொடர்புகளை உருவாக்கும் திறன் 'பிளாஸ்டிசிட்டி' எனப்படும்.,मस्तिष्क की बदलने और नए कनेक्शन बनाने की क्षमता को प्लास्टिसिटी कहा जाता है।
R105,The Law of Supply,"In economics, the law of supply states that as the price of an item rises, producers are willing to supply more of it to make more profit.",What happens to supply as prices rise?,Producers supply more of the item.,Why do producers supply more?,To make more profit.,Beginner (A1),விலை உயரும்போது உற்பத்தியாளர்கள் அதிகப் பொருட்களை விநியோகிக்க விரும்புவார்கள்.,"अर्थशास्त्र में, जैसे-जैसे वस्तु की कीमत बढ़ती है, आपूर्ति भी बढ़ती है।"
R106,Existentialism,"Existentialism is a philosophy that says individuals are responsible for creating meaning in their own lives, rather than following a set path.",What is the main idea of existentialism?,Individuals create their own meaning in life.,Are individuals responsible for their paths?,"Yes, they are.",Beginner (A1),எக்ஸிஸ்டென்ஷியலிசம் என்பது ஒவ்வொருவரும் தங்கள் வாழ்வின் அர்த்தத்தைத் தாங்களே உருவாக்க வேண்டும் எனக் கூறுகிறது.,अस्तित्ववाद (Existentialism) कहता है कि व्यक्ति अपने जीवन का अर्थ स्वयं बनाने के लिए जिम्मेदार हैं।
R107,The Industrial Revolution,"Starting in Britain, the Industrial Revolution changed how goods were made. Machines replaced hand tools, leading to the growth of cities and modern life.",Where did the Industrial Revolution start?,Britain.,What was the major change in production?,Machines replaced hand tools.,Beginner (A1),பிரிட்டனில் தொடங்கிய தொழில் புரட்சி பொருட்கள் தயாரிக்கப்படும் முறையை மாற்றியது.,ब्रिटेन में शुरू हुई औद्योगिक क्रांति ने सामान बनाने के तरीके को बदल दिया।
R108,Oceanic Carbon Sinks,"The oceans absorb a large amount of carbon dioxide from the air. This helps slow down global warming, but it also makes the ocean water more acidic.",What do oceans absorb from the air?,Carbon dioxide.,What is a negative effect of this absorption?,The ocean water becomes more acidic.,Beginner (A1),கடல்கள் காற்றில் உள்ள கார்பன் டை ஆக்சைடை உறிஞ்சி புவி வெப்பமடைதலைக் குறைக்கின்றன.,महासागर हवा से कार्बन डाइऑक्साइड को सोख लेते हैं। इससे पानी अम्लीय हो जाता है।
R109,The Theory of Evolution,Charles Darwin proposed that species change over time through natural selection. Those that adapt best to their environment are more likely to survive.,Who proposed the theory of evolution?,Charles Darwin.,What is the process called?,Natural selection.,Beginner (A1),சார்லஸ் டார்வின் உயிரினங்கள் காலப்போக்கில் இயற்கைத் தேர்வின் மூலம் மாறுகின்றன எனக் கூறினார்.,चार्ल्स डार्विन ने प्रस्तावित किया कि प्रजातियां प्राकृतिक चयन के माध्यम से बदलती हैं।
R110,Global Diplomacy,Diplomacy is the art of conducting negotiations between nations. It aims to solve conflicts and build alliances through talk rather than force or war.,What is the goal of diplomacy?,To solve conflicts and build alliances through talk.,Does diplomacy prefer force?,"No, it prefers negotiation over force.",Beginner (A1),நாடுகளுக்கு இடையே பேச்சுவார்த்தை மூலம் அமைதியை ஏற்படுத்துவதே ராஜதந்திரம் (Diplomacy) ஆகும்.,कूटनीति (Diplomacy) राष्ट्रों के बीच बातचीत के माध्यम से संघर्षों को सुलझाने की कला है।
R111,The Farmer's Friend,"Earthworms are often called a farmer's best friend. They tunnel through the soil, which helps air and water reach the roots of plants. They also turn old leaves into rich soil.",Why are earthworms good for plants?,They help air and water reach the roots.,What do they do with old leaves?,Turn them into rich soil.,Beginner (A1),மண்புழுக்கள் விவசாயியின் நண்பன் என்று அழைக்கப்படுகின்றன. அவை மண்ணைத் துளைத்து செடிகளுக்குக் காற்றும் நீரும் கிடைக்க உதவுகின்றன.,केंचुओं को किसान का मित्र कहा जाता है। वे मिट्टी में बिल बनाते हैं जिससे हवा और पानी जड़ों तक पहुँचते हैं।
R112,The Tallest Grass,Did you know that bamboo is actually a type of grass? It is the fastest-growing plant in the world. Some types of bamboo can grow three feet in just one day!,What type of plant is bamboo?,A type of grass.,How fast can it grow in a day?,Up to three feet.,Beginner (A1),மூங்கில் உண்மையில் ஒரு வகை புல் ஆகும். இது உலகின் மிக வேகமாக வளரும் தாவரமாகும்.,क्या आप जानते हैं कि बाँस वास्तव में एक प्रकार की घास है? यह दुनिया का सबसे तेज़ बढ़ने वाला पौधा है।
R113,Ice Cream History,"Thousands of years ago, people in China made a snack using snow, rice, and milk. This was the first version of ice cream. Later, it became popular all over the world.",Where was the first version of ice cream made?,China.,What were the three original ingredients?,"Snow, rice, and milk.",Beginner (A1),"ஆயிரக்கணக்கான ஆண்டுகளுக்கு முன்பு சீனாவில் பனி, அரிசி மற்றும் பாலைக் கொண்டு ஐஸ்கிரீம் போன்ற ஒரு உணவு தயாரிக்கப்பட்டது.","हजारों साल पहले चीन के लोगों ने बर्फ, चावल और दूध का उपयोग करके एक स्नैक बनाया था।"
R114,The Little Penguin,"Penguins are birds, but they cannot fly. Instead, they use their wings as flippers to swim fast in the cold ocean. They live in big groups to keep warm.",Can penguins fly in the sky?,"No, they use wings to swim.",Why do they live in big groups?,To keep themselves warm.,Beginner (A1),"பென்குயின்கள் பறவைகள், ஆனால் அவற்றால் பறக்க முடியாது. அவை கடலில் வேகமாக நீந்த தங்கள் இறக்கைகளைப் பயன்படுத்துகின்றன.",पेंगुइन पक्षी हैं लेकिन उड़ नहीं सकते। वे अपने पंखों का उपयोग तैरने के लिए करते हैं।
R115,The Mighty Ants,Ants are very strong for their size. Some ants can lift things that are 50 times heavier than their own bodies! They work together to build their homes.,How much can some ants lift?,50 times their own body weight.,Do ants work alone or together?,They work together.,Beginner (A1),எறும்புகள் அவற்றின் உடல் எடையை விட 50 மடங்கு அதிக எடையைத் தூக்கும் திறன் கொண்டவை.,चींटियाँ अपने आकार के हिसाब से बहुत मजबूत होती हैं। वे अपने वजन से 50 गुना अधिक वजन उठा सकती हैं।
R116,Pamban Bridge,The Pamban Bridge connects the town of Mandapam with Rameswaram. It was India's first sea bridge. It has a special section that opens to let large ships pass through.,What does the Pamban Bridge connect?,Mandapam and Rameswaram.,What is special about this bridge?,A section opens to let ships pass.,Beginner (A1),பாம்பன் பாலம் மண்டபத்தையும் ராமேஸ்வரத்தையும் இணைக்கிறது. இது இந்தியாவின் முதல் கடல் பாலமாகும்.,पम्बन ब्रिज मंडपम को रामेश्वरम से जोड़ता है। यह भारत का पहला समुद्री पुल था।
R117,The Chola Bronze,"The Chola kings were famous for making beautiful bronze statues. They used the ""lost wax"" method. These statues are now admired in museums across the world.",Who was famous for bronze statues?,The Chola kings.,What method was used to make them?,"The ""lost wax"" method.",Beginner (A1),"சோழ அரசர்கள் அழகான வெண்கலச் சிலைகளைச் செய்வதில் வல்லவர்கள். அவர்கள் ""மெழுகு உருக்கும்"" முறையைப் பயன்படுத்தினர்.","चोल राजा सुंदर कांस्य मूर्तियाँ बनाने के लिए प्रसिद्ध थे। उन्होंने ""लॉस्ट वैक्स"" पद्धति का उपयोग किया।"
R118,Thanjavur Temple,The Big Temple in Thanjavur was built by Raja Raja Chola I. The top stone of the temple weighs about 80 tons. It is a masterpiece of Tamil architecture.,Who built the Thanjavur Big Temple?,Raja Raja Chola I.,How heavy is the top stone?,About 80 tons.,Beginner (A1),தஞ்சைப் பெரிய கோயில் முதலாம் ராஜராஜ சோழனால் கட்டப்பட்டது. இது தமிழ் கட்டிடக்கலையின் உச்சமாகும்.,तंजावुर का बृहदेश्वर मंदिर राजा राजा चोल प्रथम द्वारा बनवाया गया था।
R119,The Electric Car,"Electric cars use batteries instead of petrol. They do not have exhaust pipes, so they do not release smoke. This makes the air in our cities much cleaner.",What do electric cars use for power?,Batteries.,Why are they better for the air?,They do not release smoke or exhaust.,Beginner (A1),மின்சாரக் கார்கள் பெட்ரோலுக்குப் பதிலாக பேட்டரிகளைப் பயன்படுத்துகின்றன. இதனால் காற்று மாசுபாடு குறைகிறது.,इलेक्ट्रिक कारें पेट्रोल के बजाय बैटरी का उपयोग करती हैं। इससे प्रदूषण कम होता है।
R120,3D Printing,3D printing creates objects by adding layer upon layer of material. Engineers use it to make everything from toy cars to parts for houses and airplanes.,How does a 3D printer make objects?,By adding layer upon layer of material.,Name two things made using 3D printing.,Toy cars and airplane parts.,Beginner (A1),3D பிரிண்டிங் என்பது பொருட்களை அடுக்கு அடுக்காக உருவாக்கும் ஒரு தொழில்நுட்பமாகும்.,3D प्रिंटिंग सामग्री की परत-दर-परत जोड़कर वस्तुएं बनाती है।
R121,The Kallanai Dam,The Kallanai Dam is one of the oldest dams in the world. It was built by King Karikala Cholan across the Kaveri River. It still helps farmers irrigate their lands today.,Who built the Kallanai Dam?,Karikala Cholan.,Where is it built?,Across the Kaveri River.,Intermediate (B1),கல்லணை உலகின் மிகப்பழமையான அணைகளில் ஒன்று. இது கரிகால சோழனால் காவிரி ஆற்றின் குறுக்கே கட்டப்பட்டது.,कल्लनई बांध दुनिया के सबसे पुराने बांधों में से एक है। इसे करिकाल चोलन ने बनवाया था।
R122,Cybersecurity,Cybersecurity protects computers and data from hackers. Using strong passwords and not clicking on strange links are basic ways to stay safe on the internet.,What is the goal of cybersecurity?,To protect computers and data from hackers.,Name one way to stay safe online.,Use strong passwords.,Intermediate (B1),சைபர் செக்யூரிட்டி கணினிகளையும் தரவுகளையும் ஹேக்கர்களிடமிருந்து பாதுகாக்கிறது.,साइबर सुरक्षा कंप्यूटर और डेटा को हैकर्स से बचाती है।
R123,Virtual Reality,"Virtual Reality (VR) uses a headset to put you inside a digital world. It can be used for playing games, but it is also used for training doctors and pilots.",What equipment is needed for VR?,A headset.,Name a use for VR other than gaming.,Training doctors or pilots.,Intermediate (B1),விர்ச்சுவல் ரியாலிட்டி (VR) நம்மை ஒரு டிஜிட்டல் உலகிற்குள் அழைத்துச் செல்கிறது.,वर्चुअल रियलिटी (VR) आपको एक डिजिटल दुनिया के अंदर ले जाती है।
R124,The Water Cycle,Water from rivers evaporates into the air. It cools down to form clouds and eventually falls back as rain. This process provides fresh water for everyone.,What happens to river water?,It evaporates into the air.,Why is the water cycle important?,It provides fresh water for everyone.,Intermediate (B1),"ஆறுகளில் உள்ள நீர் ஆவியாகி, மேகங்களாக மாறி, பின் மழையாகப் பொழிகிறது.",नदियों का पानी वाष्पित होकर हवा में मिल जाता है और बादलों का रूप ले लेता है।
R125,The Great Sphinx,The Great Sphinx of Giza is a giant statue with the body of a lion and the head of a king. It was carved out of a single piece of limestone in ancient Egypt.,What does the Sphinx look like?,Body of a lion and head of a king.,What was it carved out of?,A single piece of limestone.,Intermediate (B1),கிசா (Giza) நகரில் உள்ள ஸ்பிங்க்ஸ் சிலை சிங்க உடலையும் மனிதத் தலையையும் கொண்டது.,गीज़ा का ग्रेट स्फिंक्स शेर के शरीर और राजा के सिर वाली एक विशाल मूर्ति है।
R126,Quantum Computing,"Classical computers use bits, while quantum computers use qubits. This allows them to process vast amounts of data at speeds that were previously unthinkable.",What is the basic unit of a quantum computer?,A qubit.,What makes it better than a normal computer?,It processes data at much faster speeds.,Intermediate (B1),குவாண்டம் கணினிகள் குபிட்டுகளைப் (qubits) பயன்படுத்துகின்றன. இவை சாதாரண கணினிகளை விட மிக வேகமானவை.,क्वांटम कंप्यूटर क्यूबिट्स का उपयोग करते हैं। ये सामान्य कंप्यूटरों से बहुत तेज़ होते हैं।
R127,Epigenetics,Epigenetics is the study of how your behaviors and environment can cause changes that affect the way your genes work. These changes do not alter your DNA.,Does epigenetics change your DNA?,"No, it only affects how genes work.",What can cause these changes?,Behaviors and environment.,Intermediate (B1),எபிஜெனெடிக்ஸ் என்பது நமது நடத்தைகள் எவ்வாறு மரபணுக்களின் செயல்பாட்டை மாற்றுகின்றன என்பதைப் பற்றிய படிப்பாகும்.,एपिजेनेटिक्स इस बात का अध्ययन है कि व्यवहार और पर्यावरण आपके जीन के काम करने के तरीके को कैसे प्रभावित करते हैं।
R128,The Thirukkural,"The Thirukkural is a classic Tamil text consisting of 1,330 couplets. It offers universal guidance on virtue, wealth, and love, and has been translated into many languages.",How many couplets are in the Thirukkural?,"1,330 couplets.",What are the three main topics?,"Virtue, wealth, and love.",Intermediate (B1),"திருக்குறள் 1,330 குறள்களைக் கொண்ட ஒரு உன்னதமான தமிழ் நூலாகும். இது அறம், பொருள், இன்பம் பற்றிப் பேசுகிறது.","तिरुक्कुरल एक क्लासिक तमिल ग्रंथ है जिसमें 1,330 दोहे हैं।"
R129,Black Hole Singularities,"At the center of a black hole lies a singularity, where gravity is so intense that space and time as we know it cease to exist. It is a point of infinite density.",What is at the center of a black hole?,A singularity.,What happens to space and time there?,They cease to exist as we know it.,Intermediate (B1),"ஒரு கருந்துளையின் மையத்தில் 'சிங்குலாரிட்டி' உள்ளது, அங்கு ஈர்ப்பு விசை மிக அதிகமாக இருக்கும்.","ब्लैक होल के केंद्र में एक 'सिंगुलैरिटी' होती है, जहाँ गुरुत्वाकर्षण अत्यंत तीव्र होता है।"
R130,Blockchain Technology,Blockchain is a decentralized ledger that records transactions across many computers. It is designed to be transparent and resistant to data tampering.,Is a blockchain controlled by one person?,"No, it is decentralized.",Why is it used?,It is transparent and resistant to tampering.,Intermediate (B1),பிளாக்செயின் என்பது தரவுகளைப் பாதுகாப்பாகவும் வெளிப்படையாகவும் பதிவு செய்யும் ஒரு தொழில்நுட்பமாகும்.,ब्लॉकचेन एक विकेंद्रीकृत लेज़र है जो लेनदेन को सुरक्षित रूप से रिकॉर्ड करता है।
R131,Social Contract Theory,This political theory suggests that individuals consent to surrender some freedoms to an authority in exchange for the protection of their remaining rights.,What do individuals surrender?,Some of their freedoms.,What do they get in exchange?,Protection of their remaining rights.,Intermediate (B1),சமூக ஒப்பந்தக் கோட்பாடு என்பது பாதுகாப்பிற்காகச் சில உரிமைகளை அரசாங்கத்திடம் ஒப்படைப்பதாகும்.,सामाजिक अनुबंध सिद्धांत का अर्थ है सुरक्षा के बदले अपनी कुछ स्वतंत्रता का त्याग करना।
R132,Dark Matter,"Dark matter is an invisible substance that makes up about 27% of the universe. We cannot see it, but we can detect it through its gravitational pull on galaxies.",How much of the universe is dark matter?,About 27%.,How do we know it exists?,Through its gravitational pull on galaxies.,Intermediate (B1),டார்க் மேட்டர் என்பது பிரபஞ்சத்தில் 27% உள்ள ஒரு கண்ணுக்குத் தெரியாத பொருளாகும்.,डार्क मैटर एक अदृश्य पदार्थ है जो ब्रह्मांड का लगभग 27% हिस्सा है।
R133,Machine Learning,Machine learning is a branch of AI where computers learn from data rather than being explicitly programmed. It allows apps to suggest movies or detect fraud.,How do computers learn in machine learning?,They learn from data.,Name one real-world application.,Movie suggestions or fraud detection.,Intermediate (B1),மெஷின் லேர்னிங் என்பது கணினிகள் தரவுகளிலிருந்து தானாகவே கற்றுக்கொள்ளும் ஒரு முறையாகும்.,मशीन लर्निंग एआई की एक शाखा है जहाँ कंप्यूटर डेटा से सीखते हैं।
R134,The Socratic Method,The Socratic Method is a form of dialogue based on asking and answering questions to stimulate critical thinking and illuminate ideas.,What is the basis of this method?,Asking and answering questions.,What is its purpose?,To stimulate critical thinking.,Intermediate (B1),சாக்ரடீஸ் முறை என்பது கேள்விகள் கேட்பதன் மூலம் சிந்தனையைத் தூண்டும் ஒரு முறையாகும்.,सुकराती पद्धति (Socratic Method) सवालों के जरिए गहन सोच को बढ़ावा देने का एक तरीका है।
R135,CRISPR Technology,"CRISPR is a tool used for editing genomes. It allows scientists to easily alter DNA sequences and modify gene function, which could help cure diseases.",What is CRISPR used for?,Editing genomes and altering DNA.,Why is this tool important?,It could help cure genetic diseases.,Intermediate (B1),CRISPR என்பது டிஎன்ஏ-வை மாற்றியமைக்க உதவும் ஒரு மரபணு திருத்தக் கருவியாகும்.,CRISPR जीनोम संपादन के लिए उपयोग किया जाने वाला एक उपकरण है।
R136,The Roman Republic,"Before it was an empire, Rome was a republic where citizens elected officials. This system influenced many modern democracies around the world.",Was early Rome an empire?,"No, it was a republic first.",How did citizens participate?,They elected their officials.,Intermediate (B1),ரோம் பேரரசாக மாறுவதற்கு முன்பு ஒரு குடியரசாக இருந்தது. இது நவீன ஜனநாயகத்திற்கு அடிப்படையாகும்.,साम्राज्य बनने से पहले रोम एक गणतंत्र था जहाँ नागरिक अधिकारी चुनते थे।
R137,The Silk Road,"The Silk Road was an ancient trade route connecting China to the West. It allowed for the exchange of goods like silk, spices, and cultural ideas.",What did the Silk Road connect?,China to the West.,Name two things exchanged.,Silk and cultural ideas.,Intermediate (B1),சில்க் ரோடு என்பது சீனாவையும் மேலை நாடுகளையும் இணைத்த ஒரு பண்டைய வர்த்தகப் பாதையாகும்.,सिल्क रोड चीन को पश्चिम से जोड़ने वाला एक प्राचीन व्यापार मार्ग था।
R138,Coral Reefs,"Coral reefs are often called the ""rainforests of the sea."" They protect coastlines from storms and provide a home for 25% of all marine species.",What is a nickname for coral reefs?,Rainforests of the sea.,What percentage of marine species live there?,About 25%.,Intermediate (B1),"பவளப்பாறைகள் ""கடலின் மழைக்காடுகள்"" என்று அழைக்கப்படுகின்றன. இவை பல கடல் உயிரினங்களுக்கு வீடாக உள்ளன.",कोरल रीफ को 'समुद्र का वर्षावन' कहा जाता है। वे समुद्री प्रजातियों के लिए घर प्रदान करते हैं।
R139,The Great Depression,The Great Depression was a severe economic slump in the 1930s. It began with a stock market crash and led to poverty for millions of people worldwide.,When did it happen?,In the 1930s.,How did it start?,With a stock market crash.,Intermediate (B1),1930-களில் உலகம் சந்தித்த மிக மோசமான பொருளாதார வீழ்ச்சி 'மகா மந்தநிலை' எனப்படும்.,महामंदी 1930 के दशक की एक गंभीर आर्थिक गिरावट थी।
