Serial Number,Day Number,English Word,Part of Speech,Difficulty,Tamil Translation,Hindi Translation,English Example,Tamil Example,Hindi Example,Synonyms,Tamil Meaning
225,Day 44,Impecunious,Adjective,Advanced,ஏழ்மையான,निर्धन (Nirdhan),The impecunious student struggled to pay tuition fees.,ஏழ்மையான மாணவர் கல்விக் கட்டணத்தைச் செலுத்த சிரமப்பட்டார்.,निर्धन छात्र को ट्यूशन फीस भरने में संघर्ष करना पड़ा।,"Poor, Penniless, Indigent",பணமில்லாத
226,Day 44,Incipient,Adjective,Advanced,ஆரம்ப,प्रारंभिक (Praarambhik),The incipient stages of the disease are hard to detect.,நோயின் ஆரம்ப நிலைகளைக் கண்டறிவது கடினம்.,बीमारी के प्रारंभिक चरणों का पता लगाना मुश्किल है।,"Beginning, Nascent, Developing",ஆரம்ப கட்ட
227,Day 45,Inexorable,Adjective,Advanced,மாற்ற முடியாத,अटल (Aṭal),The inexorable march of time affects everyone.,மாற்ற முடியாத காலத்தின் நகர்வு அனைவரையும் பாதிக்கிறது.,समय का अटल मार्च सभी को प्रभावित करता है।,"Relentless, Unstoppable, Unavoidable",தளராத
228,Day 45,Iniquity,Noun,Advanced,அநீதி,अन्याय (Annyaay),The history of slavery is a tale of great iniquity.,அடிமைத்தனத்தின் வரலாறு ஒரு பெரிய அநீதியின் கதை.,गुलामी का इतिहास महान अन्याय की कहानी है।,"Wickedness, Immorality, Sin",தவறு
229,Day 45,Intransigent,Adjective,Advanced,சமரசமற்ற,असंगत (Asangat),The negotiation failed because both sides were intransigent.,இரு தரப்பினரும் சமரசமற்றவர்களாக இருந்ததால் பேச்சுவார்த்தை தோல்வியடைந்தது.,दोनों पक्ष असंगत थे इसलिए बातचीत विफल रही।,"Uncompromising, Stubborn, Obdurate",வளைந்து கொடுக்காத
230,Day 45,Jocular,Adjective,Advanced,நகைச்சுவையான,विनोदपूर्ण (Vinodpoorṇ),The speaker maintained a jocular tone throughout the conference.,பேச்சாளர் மாநாடு முழுவதும் ஒரு நகைச்சுவையான தொனியைப் பராமரித்தார்.,वक्ता ने पूरे सम्मेलन में एक विनोदपूर्ण लहजा बनाए रखा।,"Humorous, Witty, Playful",மகிழ்ச்சியான
232,Day 45,Lassitude,Noun,Advanced,சோர்வு,थकावट (Thakaavaṭ),A feeling of lassitude swept over the tired travelers.,சோர்வடைந்த பயணிகளை சோர்வு உணர்வு ஆட்கொண்டது.,थकावट की भावना थके हुए यात्रियों पर छा गई।,"Weariness, Lethargy, Fatigue",பலவீனம்
234,Day 46,Nonplus,Verb,Advanced,குழப்பம்,चकरा देना (Chakara Dena),The sudden change in the plan completely nonplussed the team.,திட்டத்தில் திடீர் மாற்றம் குழுவை முற்றிலும் குழப்பியது.,योजना में अचानक बदलाव ने टीम को पूरी तरह से चकरा दिया।,"Perplex, Confuse, Baffle",திகைக்க வை
235,Day 46,Oblique,Adjective,Advanced,மறைமுகமான,अप्रत्यक्ष (Apratyaksh),He made an oblique reference to the scandal.,அவர் அந்த ஊழல் குறித்து ஒரு மறைமுகமான குறிப்பை வெளியிட்டார்.,उन्होंने घोटाले का एक अप्रत्यक्ष संदर्भ दिया।,"Indirect, Slanting, Evasive",கோணலான
236,Day 46,Palliative,Adjective,Advanced,தணிக்கும்,उपशामक (Upashaamak),"They only offered palliative care, not a cure.","அவர்கள் குணப்படுத்துதலை அல்ல, தணிக்கும் கவனிப்பை மட்டுமே வழங்கினர்.","उन्होंने केवल उपशामक देखभाल की पेशकश की, इलाज नहीं।","Soothing, Alleviating, Mitigating",நோயின் தீவிரத்தை குறைக்கும்
237,Day 46,Perfidy,Noun,Advanced,துரோகம்,विश्वासघात (Vishvaasghaat),The king punished the general for his act of perfidy.,அவரது துரோகச் செயலுக்காக மன்னர் தளபதியை தண்டித்தார்.,राजा ने सेनापति को उसके विश्वासघात के कार्य के लिए दंडित किया।,"Treachery, Betrayal, Deceit",நம்பிக்கைத் துரோகம்
238,Day 46,Prevaricate,Verb,Advanced,தட்டிக் கழி,टालमटोल करना (Taalamaṭol Karna),The witness tried to prevaricate when questioned about the dates.,தேதிகள் குறித்து கேள்வி கேட்கப்பட்டபோது சாட்சி தட்டிக் கழிக்க முயன்றார்.,तारीखों के बारे में पूछे जाने पर गवाह ने टालमटोल करने की कोशिश की।,"Equivocate, Lie, Hedge",உண்மையை மறை
239,Day 47,Proscribe,Verb,Advanced,தடை செய்,निषेध करना (Nishedh Karna),The sale of certain weapons is proscribed by law.,சில ஆயுதங்களின் விற்பனை சட்டத்தால் தடை செய்யப்பட்டுள்ளது.,कुछ हथियारों की बिक्री कानून द्वारा निषेध है।,"Forbid, Ban, Prohibit",விலக்கு
240,Day 47,Punctilious,Adjective,Advanced,நுணுக்கமான,कर्तव्यनिष्ठ (Kartavyanishṭh),He was always punctilious about following the rules exactly.,விதிகளை சரியாகப் பின்பற்றுவதில் அவர் எப்போதும் நுணுக்கமானவராக இருந்தார்.,वह हमेशा नियमों का ठीक से पालन करने के बारे में कर्तव्यनिष्ठ थे।,"Meticulous, Conscientious, Precise",துல்லியமான
242,Day 47,Adumbrate,Verb,Advanced,கோடிட்டுக் காட்டு,अस्पष्ट रूप से दर्शाना (Aspashṭ Roop Se Darshaanaa),The speech adumbrated the upcoming policy changes.,பேச்சு வரவிருக்கும் கொள்கை மாற்றங்களை கோடிட்டுக் காட்டியது.,भाषण ने आगामी नीतिगत परिवर्तनों को अस्पष्ट रूप से दर्शाया।,"Outline, Indicate, Suggest",மங்கலாக குறி
243,Day 47,Apotheosis,Noun,Advanced,புகழின் சிகரம்,पराकाष्ठा (Paraakaashṭhaa),His work reached its apotheosis with the final masterpiece.,அவரது பணி இறுதி தலைசிறந்த படைப்புடன் புகழின் சிகரத்தை அடைந்தது.,उनका काम अंतिम उत्कृष्ट कृति के साथ पराकाष्ठा पर पहुंच गया।,"Zenith, Climax, Culmination",சிகரம்
244,Day 47,Ascendancy,Noun,Advanced,மேலாதிக்கம்,प्रभुत्व (Prabhutv),The political party achieved ascendancy in the polls.,அரசியல் கட்சி வாக்கெடுப்பில் மேலாதிக்கத்தை அடைந்தது.,राजनीतिक दल ने चुनावों में प्रभुत्व हासिल किया।,"Domination, Supremacy, Power",தலைமை
245,Day 48,Austere,Adjective,Advanced,கடுமையான,कठोर (Kaṭhor),The monk lived an austere life of discipline.,துறவி ஒழுக்கத்தின் கடுமையான வாழ்க்கையை வாழ்ந்தார்.,साधु ने अनुशासन का कठोर जीवन जिया।,"Severe, Strict, Spartan",தவம் செய்யும்
246,Day 48,Banal,Adjective,Advanced,சலிப்பூட்டும்,साधारण (Saadhaaran),The script was full of banal dialogue and clichés.,ஸ்கிரிப்ட் சலிப்பூட்டும் உரையாடல் மற்றும் பழங்கால விஷயங்களால் நிறைந்தது.,स्क्रिप्ट साधारण संवाद और क्लिच से भरी थी।,"Trite, Hackneyed, Unoriginal",அற்பமான
247,Day 48,Cavalier,Adjective,Advanced,அலட்சியமான,घमंडी (Ghamanḍee),He showed a cavalier disregard for the company rules.,அவர் நிறுவன விதிகளுக்கு அலட்சியமான புறக்கணிப்பைக் காட்டினார்.,उन्होंने कंपनी के नियमों के लिए घमंडी उपेक्षा दिखाई।,"Offhand, Arrogant, Dismissive",பெருமைமிக்க
248,Day 48,Contrite,Adjective,Advanced,வருத்தமுள்ள,पश्चातापी (Pashchaataapee),The contrite child apologized for breaking the vase.,வருத்தமுள்ள குழந்தை பூச்சட்டியை உடைத்ததற்காக மன்னிப்பு கேட்டது.,पश्चातापी बच्चे ने फूलदान तोड़ने के लिए माफी मांगी।,"Remorseful, Repentant, Sorry",மனம் வருந்திய
250,Day 48,Effrontery,Noun,Advanced,திமிர்,गुस्ताखी (GustaaKhee),He had the effrontery to insult the judge.,நீதிபதியை அவமதிக்கும் திமிரை அவர் கொண்டிருந்தார்.,उसमें जज का अपमान करने की गुस्ताखी थी।,"Impudence, Audacity, Cheek",வெட்கமற்ற
251,Day 49,Epigram,Noun,Advanced,குறுகிய அறிவார்ந்த சொற்றொடர்,चुटकुला (Chuṭakulaa),Oscar Wilde's writing is known for its witty epigrams.,ஆஸ்கார் வைல்டின் எழுத்து அவரது நகைச்சுவையான குறுகிய அறிவார்ந்த சொற்றொடருக்காக அறியப்படுகிறது.,ऑस्कर वाइल्ड का लेखन उनके मजाकिया चुटकुलों के लिए जाना जाता है।,"Aphorism, Maxim, Saying",கருத்துரை
252,Day 49,Exculpate,Verb,Advanced,குற்றமற்றவர் என்று நிரூபி,दोषमुक्त करना (Doshmukth Karna),The evidence served to exculpate the defendant.,சாட்சியம் பிரதிவாதியை குற்றமற்றவர் என்று நிரூபிக்க உதவியது.,सबूत ने प्रतिवादी को दोषमुक्त करने का काम किया।,"Absolve, Vindicate, Clear",குற்றமற்றவர் என்று விடு
253,Day 49,Fetid,Adjective,Advanced,துர்நாற்றம் பிடித்த,दुर्गंधयुक्त (Durgandhyukth),The abandoned factory emitted a fetid smell.,கைவிடப்பட்ட தொழிற்சாலை துர்நாற்றம் பிடித்த வாசனையை வெளியிட்டது.,परित्यक्त कारखाने से दुर्गंधयुक्त गंध निकल रही थी।,"Stinking, Malodorous, Rancid",நாற்றமடித்த
254,Day 49,Gauche,Adjective,Advanced,அநாகரிகமான,भद्दा (Bhaddaa),His gauche table manners made the host uneasy.,அவரது அநாகரிகமான மேசை பழக்கவழக்கங்கள் விருந்தினரை சங்கடப்படுத்தியது.,उनके भद्दे टेबल शिष्टाचार ने मेजबान को असहज कर दिया।,"Awkward, Clumsy, Unsophisticated",தகுதியற்ற
255,Day 49,Histrionic,Adjective,Advanced,மிகைப்படுத்தப்பட்ட,नाटकीय (Naaṭakeey),The actor's histrionic outburst ruined the scene.,நடிகரின் மிகைப்படுத்தப்பட்ட கோபம் காட்சியை நாசப்படுத்தியது.,अभिनेता के नाटकीय प्रकोप ने दृश्य को बर्बाद कर दिया।,"Theatrical, Melodramatic, Exaggerated",நாடகபாங்குள்ள
256,Day 50,Immutable,Adjective,Advanced,மாறாத,अपरिवर्तनीय (Aparivartaneey),The laws of physics are considered immutable.,இயற்பியல் விதிகள் மாறாதவை என்று கருதப்படுகின்றன.,भौतिकी के नियमों को अपरिवर्तनीय माना जाता है।,"Fixed, Permanent, Unchangeable",மாற்ற முடியாத
257,Day 50,Impalpable,Adjective,Advanced,உணர முடியாத,अगोचर (Agochar),The spirit of unity was an impalpable force.,ஒற்றுமையின் உணர்வு உணர முடியாத சக்தியாக இருந்தது.,एकता की भावना एक अगोचर शक्ति थी।,"Intangible, Subtle, Vague",அறிய முடியாத
258,Day 50,Inculcate,Verb,Advanced,போதி,मन में बिठाना (Man Mein Biṭhaanaa),The parents tried to inculcate good values in their children.,பெற்றோர்கள் தங்கள் குழந்தைகளுக்கு நல்ல மதிப்புகளை போதிக்க முயன்றனர்.,माता-पिता ने अपने बच्चों में अच्छे मूल्यों को मन में बिठाने की कोशिश की।,"Instill, Implant, Teach",மனத்தில் பதிய வை
259,Day 50,Innocuous,Adjective,Advanced,பாதிப்பில்லாத,अहानिकर (Ahaanikar),The chemical was found to be completely innocuous.,அந்த இரசாயனம் முற்றிலும் பாதிப்பில்லாதது என்று கண்டறியப்பட்டது.,रसायन पूरी तरह से अहानिकर पाया गया था।,"Harmless, Benign, Safe",தீங்கற்ற
260,Day 50,Insidious,Adjective,Advanced,நயவஞ்சக,कपटी (Kapaṭee),The insidious rumor spread throughout the office.,நயவஞ்சக வதந்தி அலுவலகம் முழுவதும் பரவியது.,कपटी अफवाह पूरे कार्यालय में फैल गई।,"Treacherous, Subversive, Subtle",சூழ்ச்சியுள்ள
261,Day 51,Internecine,Adjective,Advanced,உட்பூசல்,विनाशकारी (Vinaashakaaree),The internecine conflict tore the community apart.,உட்பூசல் சண்டை சமூகத்தை சிதைத்தது.,विनाशकारी संघर्ष ने समुदाय को फाड़ दिया।,"Destructive, Deadly, Bloody",அழிவுகரமான
262,Day 51,Languish,Verb,Advanced,வாடிப் போ,कमज़ोर होना (Kamzor Honaa),He continued to languish in jail for years.,அவர் பல ஆண்டுகளாக சிறையில் வாடிப் போனார்.,वह वर्षों तक जेल में कमज़ोर होता रहा।,"Deteriorate, Decline, Suffer",வாடி
263,Day 51,Lissom,Adjective,Advanced,நெகிழ்வான,लचीला (Lacheela),The dancer's lissom body moved with ease and grace.,நடனக் கலைஞரின் நெகிழ்வான உடல் எளிதாகவும் அழகாகவும் நகர்ந்தது.,नर्तकी का लचीला शरीर आसानी और अनुग्रह के साथ चला गया।,"Supple, Agile, Limber",மென்மையான
265,Day 51,Maudlin,Adjective,Advanced,உணர்ச்சிவசப்பட்ட,भावुक (Bhaavuk),She became maudlin after drinking too much wine.,அதிகப்படியான ஒயின் குடித்த பிறகு அவள் உணர்ச்சிவசப்பட்டாள்.,बहुत अधिक शराब पीने के बाद वह भावुक हो गई।,"Sentimental, Weepy, Overly emotional",கண் கலங்கும்
266,Day 51,Mendacity,Noun,Advanced,பொய்,झूठ (Jhooṭh),The investigation revealed the mendacity of the witness.,இந்த விசாரணை சாட்சியின் பொய்யை வெளிப்படுத்தியது.,जांच में गवाह का झूठ सामने आया।,"Untruthfulness, Deceit, Dishonesty",பொய்மை
267,Day 52,Miasma,Noun,Advanced,தீங்கு விளைவிக்கும் காற்று,दूषित हवा (Dooshit Havaa),The miasma from the swamp carried disease.,சதுப்பு நிலத்திலிருந்து வந்த தீங்கு விளைவிக்கும் காற்று நோயை பரப்பியது.,दलदल से दूषित हवा ने बीमारी फैलाई।,"Fumes, Effluvium, Smog",தீய ஆவி
269,Day 52,Obviate,Verb,Advanced,தவிர்த்துவிடு,टालना (Taalnaa),The new security system obviated the need for guards.,புதிய பாதுகாப்பு அமைப்பு காவலர்களின் தேவையை தவிர்த்துவிட்டது.,नई सुरक्षा प्रणाली ने गार्डों की आवश्यकता को टाल दिया।,"Preclude, Eliminate, Prevent",நீக்க
270,Day 52,Panegyric,Noun,Advanced,புகழுரை,प्रशंसा भाषण (Prashansaa Bhaaṣaṇ),The professor delivered a panegyric on the retiring dean.,ஓய்வுபெறும் டீன் மீது பேராசிரியர் ஒரு புகழுரையை வழங்கினார்.,प्रोफेसर ने सेवानिवृत्त डीन पर एक प्रशंसा भाषण दिया।,"Eulogy, Tribute, Acclaim",பாராட்டுப் பேச்சு
271,Day 52,Pell-mell,Adverb,Advanced,குழப்பமான முறையில்,अव्यवस्थित (Avyavasthit),They rushed out of the burning building pell-mell.,அவர்கள் எரியும் கட்டிடத்திலிருந்து குழப்பமான முறையில் வெளியேறினர்.,वे जलते हुए भवन से अव्यवस्थित रूप से बाहर निकल गए।,"Disorderly, Chaotic, Haphazardly",கட்டுப்பாடின்றி
272,Day 52,Pernicious,Adjective,Advanced,அபாயகரமான,हानिकारक (Haanikaarak),The pernicious influence of gossip damaged his reputation.,வதந்தியின் அபாயகரமான செல்வாக்கு அவரது நற்பெயரைக் கெடுத்தது.,गपशप के हानिकारक प्रभाव ने उनकी प्रतिष्ठा को नुकसान पहुंचाया।,"Harmful, Destructive, Wicked",கேடு விளைவிக்கின்ற
273,Day 53,Phlegmatic,Adjective,Advanced,அமைதியான,शांत (Shaant),His phlegmatic demeanor made him ideal for crisis management.,அவரது அமைதியான அணுகுமுறை அவரை நெருக்கடி மேலாண்மைக்கு ஏற்றவராக ஆக்கியது.,उनका शांत व्यवहार उन्हें संकट प्रबंधन के लिए आदर्श बनाता था।,"Calm, Composed, Unemotional",மந்தமான
274,Day 53,Platitude,Noun,Advanced,பழமொழி,सामान्य टिप्पणी (Saamaany Ṭippaṇee),The politician's speech was full of meaningless platitudes.,அரசியல்வாதியின் பேச்சு அர்த்தமற்ற பழமொழிகளால் நிறைந்திருந்தது.,राजनेता का भाषण अर्थहीन सामान्य टिप्पणियों से भरा हुआ था।,"Cliché, Truism, Banal remark",சலிப்பூட்டும் கூற்று
275,Day 53,Portentous,Adjective,Advanced,தீய சகுனம்,अशुभ (Ashubh),The dark clouds and silence felt strangely portentous.,இருண்ட மேகங்களும் மௌனமும் வினோதமான முறையில் தீய சகுனமானதாக உணர்ந்தன.,काले बादल और चुप्पी अजीब तरह से अशुभ महसूस हुए।,"Ominous, Warning, Significant",தீய விளைவை குறிக்கும்
278,Day 53,Raillery,Noun,Advanced,கேலி,मज़ाक (Mazaak),The friends exchanged good-natured raillery.,நண்பர்கள் நல்ல மனதுடன் கேலியை பரிமாறிக்கொண்டனர்.,दोस्तों ने अच्छे स्वभाव वाले मज़ाक का आदान-प्रदान किया।,"Banter, Teasing, Jesting",கலகலப்பான கேலி
279,Day 53,Recalcitrance,Noun,Advanced,பிடிவாதம்,अवज्ञा (Avagyaa),The recalcitrance of the students delayed the lecture.,மாணவர்களின் பிடிவாதம் விரிவுரையை தாமதப்படுத்தியது.,छात्रों की अवज्ञा ने व्याख्यान में देरी कर दी।,"Defiance, Resistance, Obstinacy",மறுக்கும் தன்மை
280,Day 54,Remonstrate,Verb,Advanced,எதிர்ப்பு தெரிவி,विरोध करना (Virodh Karna),The employees decided to remonstrate against the wage cuts.,ஊதியக் குறைப்புகளுக்கு எதிராக எதிர்ப்பு தெரிவிக்க ஊழியர்கள் முடிவு செய்தனர்.,कर्मचारियों ने वेतन कटौती के खिलाफ विरोध करने का फैसला किया।,"Protest, Object, Oppose",தர்க்கித்தல்
281,Day 54,Replete,Adjective,Advanced,நிரம்பிய,भरा हुआ (Bharaa Huaa),The speech was replete with historical references.,பேச்சு வரலாற்று குறிப்புகளால் நிரம்பியிருந்தது.,भाषण ऐतिहासिक संदर्भों से भरा हुआ था।,"Full, Saturated, Loaded",நிறைவாக
282,Day 54,Rhapsodize,Verb,Advanced,உணர்ச்சிவசப்பட்டுப் பேசு,अति उत्साहित होकर बात करना (Ati Utsaahit Hokar Baat Karna),She rhapsodized about the beauty of the artwork.,அவள் கலைப்படைப்பின் அழகைப் பற்றி உணர்ச்சிவசப்பட்டுப் பேசினாள்.,उन्होंने कलाकृति की सुंदरता के बारे में अति उत्साहित होकर बात की।,"Extol, Enthuse, Rave",உணர்ச்சி வசப்பட்டு புகழ்
283,Day 54,Sanguine,Adjective,Advanced,நம்பிக்கையான,आशावादी (Aashaavaadee),He remained sanguine about the company's future despite the losses.,இழப்புகள் இருந்தபோதிலும் அவர் நிறுவனத்தின் எதிர்காலம் குறித்து நம்பிக்கையுடன் இருந்தார்.,नुकसान के बावजूद वह कंपनी के भविष्य के बारे में आशावादी रहे।,"Optimistic, Hopeful, Confident",பிரகாசமான
284,Day 54,Sequester,Verb,Advanced,தனிமைப்படுத்து,अलग करना (Alag Karna),The jury was sequestered until a verdict was reached.,தீர்ப்பு எட்டப்படும் வரை நடுவர் குழு தனிமைப்படுத்தப்பட்டது.,फैसला आने तक जूरी को अलग किया गया था।,"Isolate, Separate, Seclude",பிரித்து வைத்தல்
285,Day 55,Slovenly,Adjective,Advanced,அசுத்தமான,मैला (Mailaa),His slovenly appearance suggested a lack of self-respect.,அவரது அசுத்தமான தோற்றம் சுயமரியாதை இல்லாததைக் குறிக்கிறது.,उनकी मैला उपस्थिति आत्म-सम्मान की कमी का सुझाव देती है।,"Untidy, Messy, Negligent",கவனமற்ற
286,Day 55,Stupefy,Verb,Advanced,திகைக்க வை,चकित करना (Chakit Karna),The news of the sudden resignation stupefied everyone.,திடீர் ராஜினாமா பற்றிய செய்தி அனைவரையும் திகைக்க வைத்தது.,अचानक इस्तीफे की खबर ने सभी को चकित कर दिया।,"Astonish, Shock, Daze",திகைப்பூட்டு
288,Day 55,Transmute,Verb,Advanced,மாற்று,बदलना (Badalnaa),Alchemists tried to transmute base metals into gold.,ரசவாதிகள் அடிப்படை உலோகங்களை தங்கமாக மாற்ற முயன்றனர்.,कीमियागर आधार धातुओं को सोने में बदलने की कोशिश करते थे।,"Transform, Convert, Alter",ரூப மாற்றம் செய்
290,Day 55,Vacuous,Adjective,Advanced,அர்த்தமற்ற,खाली (Khaalee),The politician gave a vacuous statement full of empty promises.,அரசியல்வாதி அர்த்தமற்ற வாக்குறுதிகள் நிறைந்த ஒரு அர்த்தமற்ற அறிக்கையை அளித்தார்.,राजनेता ने खाली वादों से भरा एक खाली बयान दिया।,"Empty, Meaningless, Mindless",சாதாரணமாக
292,Day 55,Acrimony,Noun,Advanced,கசப்பு,कटुता (Kaṭutaa),The meeting ended in a display of mutual acrimony.,பரஸ்பர கசப்பின் வெளிப்பாட்டில் கூட்டம் முடிந்தது.,बैठक आपसी कटुता के प्रदर्शन के साथ समाप्त हुई।,"Bitterness, Hostility, Animosity",வெறுப்பு
293,Day 56,Amalgamation,Noun,Advanced,இணைத்தல்,समामेलन (Samaamelan),The amalgamation of the two departments was seamless.,இரண்டு துறைகளின் இணைத்தல் தடையற்றதாக இருந்தது.,दोनों विभागों का समामेलन सहज था।,"Merger, Union, Combination",ஒன்றிணைப்பு
294,Day 56,Apocryphal,Adjective,Advanced,சந்தேகத்திற்கிடமான,संदिग्ध (Sandigdh),The story about the missing treasure is probably apocryphal.,காணாமல் போன புதையல் பற்றிய கதை ஒருவேளை சந்தேகத்திற்கிடமானதாக இருக்கலாம்.,लापता खजाने की कहानी शायद संदिग्ध है।,"Unverified, Dubious, Fictitious",நம்பத்தகுந்ததல்ல
295,Day 56,Beguile,Verb,Advanced,ஏமாற்று,छलना (Chhalnaa),He tried to beguile the tourists with his charm.,அவர் தனது கவர்ச்சியால் சுற்றுலாப் பயணிகளை ஏமாற்ற முயன்றார்.,उसने अपने आकर्षण से पर्यटकों को छलने की कोशिश की।,"Charm, Deceive, Hoodwink",கவர்ந்து இழு
296,Day 56,Capacious,Adjective,Advanced,விசாலமான,विशाल (Vishaal),The stadium had a capacious seating area.,மைதானம் ஒரு விசாலமான இருக்கை பகுதியைக் கொண்டிருந்தது.,स्टेडियम में एक विशाल बैठने की जगह थी।,"Roomy, Spacious, Voluminous",கொள்ளளவு மிக்க
298,Day 56,Contravene,Verb,Advanced,மீறு,उल्लंघन करना (Ullanghan Karna),The action would contravene company policy.,இந்த செயல் நிறுவனத்தின் கொள்கையை மீறும்.,यह कार्रवाई कंपनी की नीति का उल्लंघन करेगी।,"Violate, Breach, Infringe",எதிர்த்து நட
299,Day 57,Demure,Adjective,Advanced,அடக்கமான,शर्मीला (Sharmeelaa),She gave a demure smile when complimented.,பாராட்டப்பட்டபோது அவள் ஒரு அடக்கமான புன்னகையைக் கொடுத்தாள்.,तारीफ मिलने पर उसने एक शर्मीली मुस्कान दी।,"Reserved, Modest, Shy",பவ்வியமான
300,Day 57,Dirge,Noun,Advanced,துக்க பாட்டு,शोकगीत (Shokgeet),"The orchestra played a slow, solemn dirge.","இசைக்குழு ஒரு மெதுவான, கம்பீரமான துக்க பாட்டை வாசித்தது.","ऑर्केस्ट्रा ने एक धीमा, गंभीर शोकगीत बजाया।","Lament, Elegy, Funeral song",இரங்கல் பாடல்
301,Day 57,Ennui,Noun,Advanced,சலிப்பு,ऊब (Oob),He suffered from a crushing sense of ennui and purposelessness.,அவர் சலிப்பு மற்றும் நோக்கமற்ற தன்மையின் ஒரு நசுக்கும் உணர்வால் பாதிக்கப்பட்டார்.,वह ऊब और उद्देश्यहीनता की भावना से पीड़ित थे।,"Boredom, Weariness, Apathy",அலுப்பு
302,Day 57,Erudite,Adjective,Advanced,அறிவார்ந்த,विद्वान (Vidvaan),The professor was a highly erudite scholar.,அந்த பேராசிரியர் ஒரு மிகவும் அறிவார்ந்த அறிஞர்.,प्रोफेसर एक अत्यधिक विद्वान थे।,"Learned, Scholarly, Knowledgeable",ஞானமுள்ள
305,Day 57,Grandiloquence,Noun,Advanced,பெருமையான பேச்சு,आडंबरपूर्ण भाषण (Aadambarpoorṇ Bhaaṣaṇ),The speaker's grandiloquence made his points unclear.,பேச்சாளரின் பெருமையான பேச்சு அவரது கருத்துக்களை தெளிவற்றதாக்கியது.,वक्ता का आडंबरपूर्ण भाषण उनके बिंदुओं को अस्पष्ट बना दिया।,"Pompousness, Bombast, Rhetoric",மிகைப்படுத்தப்பட்ட பேச்சு
306,Day 58,Imbroglio,Noun,Advanced,சிக்கலான நிலை,जटिल स्थिति (Jaṭil Sthiti),The political imbroglio dominated the news headlines.,அரசியல் சிக்கலான நிலை செய்தி தலைப்புச் செய்திகளில் ஆதிக்கம் செலுத்தியது.,राजनीतिक जटिल स्थिति ने समाचार सुर्खियों पर हावी रही।,"Predicament, Tangle, Embarrassing mess",குழப்பமான நிலை
308,Day 58,Juxtapose,Verb,Advanced,அருகருகே வை,सटाना (Saṭaanaa),The artist chose to juxtapose bright colors with dark ones.,கலைஞர் பிரகாசமான வண்ணங்களை இருண்டவற்றுடன் அருகருகே வைக்கத் தேர்ந்தெடுத்தார்.,कलाकार ने चमकीले रंगों को गहरे रंगों से सटाने का विकल्प चुना।,"Contrast, Place side by side, Compare",ஒப்பிட்டுப் பார்
309,Day 58,Lackadaisical,Adjective,Advanced,சோம்பலான,लापरवाह (Laaparvaah),His lackadaisical approach to work resulted in mistakes.,வேலையில் அவரது சோம்பலான அணுகுமுறை தவறுகளுக்கு வழிவகுத்தது.,काम के प्रति उनके लापरवाह रवैये के परिणामस्वरूप गलतियाँ हुईं।,"Careless, Lazy, Listless",அக்கறையற்ற
310,Day 58,Machination,Noun,Advanced,சூழ்ச்சி,षड्यंत्र (Shaḍyantra),The villain's machinations were eventually discovered.,வில்லனின் சூழ்ச்சிகள் இறுதியில் கண்டுபிடிக்கப்பட்டன.,खलनायक के षड्यंत्र का अंततः पता चला।,"Plot, Scheme, Intrigue",சதி திட்டம்
314,Day 58,Paucity,Noun,Advanced,பற்றாக்குறை,कमी (Kamee),There was a paucity of information on the subject.,அந்த விஷயத்தைப் பற்றி தகவல் பற்றாக்குறை இருந்தது.,विषय पर जानकारी की कमी थी।,"Scarcity, Dearth, Lack",குறைபாடு
315,Day 59,Penurious,Adjective,Advanced,ஏழ்மையான,निर्धन (Nirdhan),The penurious family struggled to afford rent.,ஏழ்மையான குடும்பம் வாடகையை செலுத்த சிரமப்பட்டது.,निर्धन परिवार को किराया चुकाने में संघर्ष करना पड़ा।,"Poor, Indigent, Impoverished",வறிய
318,Day 59,Plebeian,Adjective,Advanced,சாதாரண,साधारण (Saadhaaran),The plebeian tastes of the local population were catered to.,உள்ளூர் மக்களின் சாதாரண ரசனைகள் பூர்த்தி செய்யப்பட்டன.,स्थानीय आबादी के साधारण स्वाद को पूरा किया गया था।,"Common, Vulgar, Unrefined",பொதுவான
319,Day 59,Predilection,Noun,Advanced,விருப்பம்,प्राथमिकता (Praathamiktaa),She had a strong predilection for spicy food.,அவர் காரமான உணவில் ஒரு வலுவான விருப்பத்தைக் கொண்டிருந்தார்.,उन्हें मसालेदार भोजन के लिए एक मजबूत प्राथमिकता थी।,"Preference, Liking, Bias",நாட்டம்
320,Day 59,Pusillanimity,Noun,Advanced,கோழைத்தனம்,कायरता (Kaayarataa),His final decision was an act of pure pusillanimity.,அவரது இறுதி முடிவு தூய கோழைத்தனத்தின் செயல்.,उनका अंतिम निर्णय शुद्ध कायरता का कार्य था।,"Cowardice, Timidity, Fearfulness",அஞ்சும் தன்மை
322,Day 59,Raiment,Noun,Advanced,ஆடை,वस्त्र (Vastra),She was wearing a raiment fit for a queen.,அவள் ஒரு ராணிக்கு பொருத்தமான ஆடையை அணிந்திருந்தாள்.,उसने रानी के लिए उपयुक्त वस्त्र पहने थे।,"Clothing, Attire, Garments",உடை
324,Day 60,Remuneration,Noun,Advanced,ஊதியம்,पारिश्रमिक (Paarishramik),He received poor remuneration for his extensive work.,அவரது விரிவான பணிக்காக அவருக்கு குறைந்த ஊதியம் கிடைத்தது.,उन्हें उनके व्यापक काम के लिए कम पारिश्रमिक मिला।,"Payment, Salary, Compensation",கூலி
