English (V1/V2/V3),Day (Col B),Difficulty,Tamil (Infinitive/Past/Perfect),Hindi (Infinitive/Past/Perfect),English Examples (V1 // V2 // V3),Tamil Examples (V1 // V2 // V3),Hindi Examples (V1 // V2 // V3)
Copyright / Copyrighted / Copyrighted,Day 48,Advanced,பதிப்புரிமை பெறு / பெற்றேன் / பெற்றுள்ளேன்,कॉपीराइट करना / किया / कर चुका,1. Copyright the book. // 2. He copyrighted it. // 3. It was copyrighted.,1. புத்தகத்திற்கு காப்புரிமை பெறு. // 2. அவர் அதற்கு காப்புரிமை பெற்றார். // 3. அதற்கு காப்புரிமை பெறப்பட்டது.,1. पुस्तक का कॉपीराइट लो। // 2. उसने कॉपीराइट लिया। // 3. कॉपीराइट लिया गया।
Cordialize / Cordialized / Cordialized,Day 48,Advanced,நட்புணர்வோடு பழகு / பழகினேன் / பழகியுள்ளேன்,सौहार्दपूर्ण बनाना / बनाया / चुका,1. Cordialize the relation. // 2. He cordialized it. // 3. It was cordialized.,1. உறவை சுமூகமாக்கு. // 2. அவர் அதை சுமூகமாக்கினார். // 3. அது சுமூகமாக்கப்பட்டது.,1. संबंध मैत्रीपूर्ण बनाओ। // 2. उसने इसे मैत्रीपूर्ण बनाया। // 3. इसे मैत्रीपूर्ण बनाया गया।
Corner / Cornered / Cornered,Day 48,Advanced,முடக்கு / முடக்கினேன் / முடக்கியுள்ளேன்,कोने में घेरना / घेरा / घेर चुका,1. Corner the thief. // 2. He cornered him. // 3. He was cornered.,1. திருடனை முடக்கு. // 2. அவர் அவனை முடக்கினார். // 3. அவன் முடக்கப்பட்டான்.,1. चोर को घेरो। // 2. उसने उसे घेरा। // 3. उसे घेरा गया।
Coronate / Coronated / Coronated,Day 49,Advanced,முடிசூட்டு / சூட்டினேன் / சூட்டியுள்ளேன்,राज्याभिषेक करना / किया / कर चुका,1. Coronate the king. // 2. They coronated him. // 3. He was coronated.,1. அரசனுக்கு முடிசூட்டு. // 2. அவர்கள் அவருக்கு முடிசூட்டினார்கள். // 3. அவருக்கு முடிசூட்டப்பட்டது.,1. राजा का राज्याभिषेक करो। // 2. उन्होंने राज्याभिषेक किया। // 3. राज्याभिषेक किया गया।
Correct / Corrected / Corrected,Day 49,Advanced,திருத்தம் செய் / செய்தேன் / செய்துள்ளேன்,सुधारना / सुधारा / सुधार चुका,1. Correct the mistake. // 2. He corrected it. // 3. It was corrected.,1. பிழையைத் திருத்து. // 2. அவர் அதைத் திருத்தினார். // 3. அது திருத்தப்பட்டது.,1. गलती सुधारो। // 2. उसने इसे सुधारा। // 3. इसे सुधारा गया।
Correlate / Correlated / Correlated,Day 49,Advanced,தொடர்புபடுத்து / படுத்தினேன் / படுத்தியுள்ளேன்,सहसंबंध स्थापित करना / किया / चुका,1. Correlate the data. // 2. He correlated it. // 3. It was correlated.,1. தரவை ஒப்பிடு. // 2. அவர் அதை ஒப்பிட்டார். // 3. அது ஒப்பிடப்பட்டது.,1. डेटा को सहसंबंधित करो। // 2. उसने इसे सहसंबंधित किया। // 3. इसे सहसंबंधित किया गया।
Correspond / Corresponded / Corresponded,Day 49,Advanced,தொடர்புகொள் / கொண்டேன் / கொண்டுள்ளேன்,मेल खाना / खाया / खा चुका,1. Correspond with him. // 2. He corresponded. // 3. (Intransitive),1. அவனுடன் கடிதப் தொடர்பு கொள். // 2. அவர் கடிதப் தொடர்பு கொண்டார். // 3. (பொருந்தாது),1. उससे पत्राचार करो। // 2. उसने पत्राचार किया। // 3. (लागू नहीं)
Corroborate / Corroborated / Corroborated,Day 49,Advanced,ஊர்ஜிதப்படுத்து / படுத்தினேன் / படுத்தியுள்ளேன்,पुष्टि करना / की / कर चुका,1. Corroborate the evidence. // 2. He corroborated it. // 3. It was corroborated.,1. ஆதாரத்தை உறுதிப்படுத்து. // 2. அவர் அதை உறுதிப்படுத்தினார். // 3. அது உறுதிப்படுத்தப்பட்டது.,1. सबूत की पुष्टि करो। // 2. उसने इसकी पुष्टि की। // 3. इसकी पुष्टि की गई।
Corrode / Corroded / Corroded,Day 50,Advanced,அரித்து அழி / அழித்தது / அழித்துள்ளது,जंग लगना / लगा / लग चुका,1. Acids corrode metal. // 2. It corroded the metal. // 3. It was corroded.,1. அமிலம் உலோகத்தை அரிக்கும். // 2. அது உலோகத்தை அரித்தது. // 3. உலோகம் அரிக்கப்பட்டது.,1. एसिड धातु को गलाता है। // 2. इसने धातु को गला दिया। // 3. धातु गल गई।
Corrugate / Corrugated / Corrugated,Day 50,Advanced,மடிப்புகளை உண்டாக்கு / உண்டாக்கினேன் / உண்டாகியுள்ளேன்,लहरदार बनाना / बनाया / बना चुका,1. Corrugate the sheet. // 2. It was corrugated. // 3. The sheet is corrugated.,1. தாளை மடிப்புகளாக்கு. // 2. அது மடிப்புகளாக்கப்பட்டது. // 3. தாள் மடிக்கப்பட்டது.,1. चादर को लहरदार बनाओ। // 2. इसे लहरदार बनाया गया। // 3. चादर लहरदार है।
Corrupt / Corrupted / Corrupted,Day 50,Advanced,ஊழல் செய் / செய்தேன் / செய்துள்ளேன்,भ्रष्ट करना / किया / कर चुका,1. Don't corrupt him. // 2. He corrupted the system. // 3. It was corrupted.,1. அவனைக் கெடுக்காதே. // 2. அவர் அமைப்பைச் சீர்குலைத்தார். // 3. அமைப்பு சீர்குலைக்கப்பட்டது.,1. उसे भ्रष्ट मत करो। // 2. उसने प्रणाली को भ्रष्ट किया। // 3. प्रणाली भ्रष्ट हो गई।
Cosign / Cosigned / Cosigned,Day 50,Advanced,இணைந்து கையெழுத்திடு / இட்டேன் / இட்டுள்ளேன்,सह-हस्ताक्षर करना / किया / चुका,1. Cosign the loan. // 2. He cosigned it. // 3. It was cosigned.,1. கடனுக்கு இணைக் கையெழுத்திடு. // 2. அவர் அதில் இணைக் கையெழுத்திட்டார். // 3. அதில் இணைக் கையெழுத்திடப்பட்டது.,1. ऋण पर सह-हस्ताक्षर करो। // 2. उसने सह-हस्ताक्षर किए। // 3. सह-हस्ताक्षर किए गए।
Cost / Cost / Cost,Day 50,Advanced,விலையாகு / ஆனது / ஆகியுள்ளது,मूल्य होना / था / हो चुका,1. It costs five rupees. // 2. It cost five rupees. // 3. It has cost me much.,1. இதன் விலை ஐந்து ரூபாய். // 2. இதன் விலை ஐந்து ரூபாயாக இருந்தது. // 3. இதற்கு நான் அதிகம் செலவு செய்தேன்.,1. इसकी कीमत पांच रुपये है। // 2. इसकी कीमत पांच रुपये थी। // 3. इसकी मुझे भारी कीमत चुकानी पड़ी।
Counsel / Counseled / Counseled,Day 51,Advanced,ஆலோசனை வழங்கு / வழங்கினேன் / வழங்கியுள்ளேன்,परामर्श देना / दिया / दे चुका,1. Counsel the student. // 2. He counseled him. // 3. He was counseled.,1. மாணவனுக்கு ஆலோசனை வழங்கு. // 2. அவர் அவனுக்கு ஆலோசனை வழங்கினார். // 3. அவனுக்கு ஆலோசனை வழங்கப்பட்டது.,1. छात्र को परामर्श दो। // 2. उसने उसे परामर्श दिया। // 3. उसे परामर्श दिया गया।
Count / Counted / Counted,Day 51,Advanced,எண்ணு / எண்ணினேன் / எண்ணியுள்ளேன்,गिनना / गिना / गिन चुका,1. Count the money. // 2. He counted it. // 3. It was counted.,1. பணத்தை எண்ணு. // 2. அவர் அதை எண்ணினார். // 3. அது எண்ணப்பட்டது.,1. पैसे गिनो। // 2. उसने इसे गिना। // 3. यह गिना गया।
Countenance / Countenanced / Countenanced,Day 51,Advanced,ஆதரி / ஆதரித்தேன் / ஆதரித்துள்ளேன்,समर्थन करना / किया / कर चुका,1. Do not countenance this. // 2. He countenanced it. // 3. It was countenanced.,1. இதை ஆதரிக்காதே. // 2. அவர் அதை ஆதரித்தார். // 3. அது ஆதரிக்கப்பட்டது.,1. इसका समर्थन मत करो। // 2. उसने इसका समर्थन किया। // 3. इसका समर्थन किया गया।
Counter / Countered / Countered,Day 51,Advanced,எதிர்த்து செயல்படு / பட்டேன் / பட்டுள்ளேன்,विरोध करना / किया / कर चुका,1. Counter the attack. // 2. He countered it. // 3. It was countered.,1. தாக்குதலை முறியடி. // 2. அவர் அதை முறியடித்தார். // 3. அது முறியடிக்கப்பட்டது.,1. हमले का जवाब दो। // 2. उसने जवाब दिया। // 3. जवाब दिया गया।
Counteract / Counteracted / Counteracted,Day 51,Advanced,முறியடி / முறியடித்தேன் / முறியடித்துள்ளேன்,निष्प्रभावी करना / किया / चुका,1. Counteract the poison. // 2. It counteracted the effect. // 3. The effect was counteracted.,1. நஞ்சை முறியடி. // 2. அது விளைவை முறியடித்தது. // 3. விளைவு முறியடிக்கப்பட்டது.,1. जहर का काट करो। // 2. इसने असर कम किया। // 3. असर कम किया गया।
Counterbalance / Counterbalanced / Counterbalanced,Day 52,Advanced,சமன்செய் / செய்தேன் / செய்துள்ளேன்,संतुलन बनाना / बनाया / बना चुका,1. Counterbalance the weight. // 2. It counterbalanced it. // 3. It was counterbalanced.,1. எடையைச் சமன்படுத்து. // 2. அது அதைச் சமன்படுத்தியது. // 3. அது சமன்படுத்தப்பட்டது.,1. वजन संतुलित करो। // 2. इसने इसे संतुलित किया। // 3. यह संतुलित किया गया।
Counterfeit / Counterfeited / Counterfeited,Day 52,Advanced,கள்ளத்தனமாக உருவாக்கு / உருவாக்கினேன் / உருவாக்கியுள்ளேன்,जालसाजी करना / की / कर चुका,1. Don't counterfeit money. // 2. He counterfeited it. // 3. It was counterfeited.,1. கள்ள நோட்டு அடிக்காதே. // 2. அவர் அதை அடித்தார். // 3. அது கள்ளத்தனமாக உருவாக்கப்பட்டது.,1. पैसे की नकल मत करो। // 2. उसने इसकी नकल की। // 3. इसकी नकल की गई।
Countermand / Countermanded / Countermanded,Day 52,Advanced,உத்தரவை ரத்து செய் / செய்தேன் / செய்துள்ளேன்,आदेश रद्द करना / किया / कर चुका,1. Countermand the order. // 2. He countermanded it. // 3. It was countermanded.,1. உத்தரவை ரத்து செய். // 2. அவர் அதை ரத்து செய்தார். // 3. அது ரத்து செய்யப்பட்டது.,1. आदेश रद्द करो। // 2. उसने इसे रद्द किया। // 3. यह रद्द किया गया।
Countersign / Countersigned / Countersigned,Day 52,Advanced,மேலொப்பமிடு / இட்டேன் / இட்டுள்ளேன்,प्रतिहस्ताक्षर करना / किया / चुका,1. Countersign the check. // 2. He countersigned it. // 3. It was countersigned.,1. காசோலையில் மறுகையெழுத்திடு. // 2. அவர் அதில் மறுகையெழுத்திட்டார். // 3. அதில் மறுகையெழுத்திடப்பட்டது.,1. चेक पर प्रतिहस्ताक्षर करो। // 2. उसने प्रतिहस्ताक्षर किए। // 3. प्रतिहस्ताक्षर किए गए।
Countervail / Countervailed / Countervailed,Day 52,Advanced,சமன்செய் / செய்தேன் / செய்துள்ளேன்,प्रतिकार करना / किया / कर चुका,1. Countervail the force. // 2. It countervailed. // 3. It was countervailed.,1. விசைக்கு ஈடுகொடு. // 2. அது ஈடுகொடுத்தது. // 3. அது ஈடுகொடுக்கப்பட்டது.,1. बल का प्रतिकार करो। // 2. इसने प्रतिकार किया। // 3. इसका प्रतिकार किया गया।
Couple / Coupled / Coupled,Day 53,Advanced,இணை / இணைத்தேன் / இணைத்துள்ளேன்,जोड़ना / जोड़ा / जोड़ चुका,1. Couple the wagons. // 2. He coupled them. // 3. They were coupled.,1. பெட்டிகளை இணை. // 2. அவர் அவற்றை இணைத்தார். // 3. அவை இணைக்கப்பட்டன.,1. डिब्बों को जोड़ो। // 2. उसने उन्हें जोड़ा। // 3. उन्हें जोड़ा गया।
Courage / Couraged / Couraged,Day 53,Advanced,தைரியப்படுத்து / படுத்தினேன் / படுத்தியுள்ளேன்,साहस देना / दिया / दे चुका,1. Encourage him (Courage). // 2. He encouraged me. // 3. I was encouraged.,1. அவனை ஊக்குவி. // 2. அவர் என்னை ஊக்குவித்தார். // 3. நான் ஊக்குவிக்கப்பட்டேன்.,1. उसे प्रोत्साहित करो। // 2. उसने मुझे प्रोत्साहित किया। // 3. मैं प्रोत्साहित हुआ।
Court / Courted / Courted,Day 53,Advanced,நயந்து பேசு / பேசினேன் / பேசியுள்ளேன்,खुशामद करना / की / कर चुका,1. Court trouble. // 2. He courted trouble. // 3. Trouble was courted.,1. வம்பை விலைக்கு வாங்கு. // 2. அவர் வம்பை விலைக்கு வாங்கினார். // 3. வம்பு விலைக்கு வாங்கப்பட்டது.,1. मुसीबत को न्योता दो। // 2. उसने मुसीबत को न्योता दिया। // 3. मुसीबत को न्योता दिया गया।
Covenant / Covenanted / Covenanted,Day 53,Advanced,ஒப்பந்தம் செய் / செய்தேன் / செய்துள்ளேன்,प्रतिज्ञा करना / की / कर चुका,1. Covenant with God. // 2. He covenanted. // 3. It was covenanted.,1. இறைவனுடன் உடன்படிக்கை செய். // 2. அவர் உடன்படிக்கை செய்தார். // 3. உடன்படிக்கை செய்யப்பட்டது.,1. ईश्वर से प्रतिज्ञा करो। // 2. उसने प्रतिज्ञा की। // 3. प्रतिज्ञा की गई।
Cover / Covered / Covered,Day 53,Advanced,மூடு / மூடினேன் / மூடியுள்ளேன்,ढकना / ढका / ढक चुका,1. Cover the pot. // 2. He covered it. // 3. It was covered.,1. பானையை மூடு. // 2. அவர் அதை மூடினார். // 3. அது மூடப்பட்டது.,1. बर्तन ढको। // 2. उसने इसे ढका। // 3. यह ढका गया।
Covet / Coveted / Coveted,Day 54,Advanced,பேராசைப்படு / பட்டேன் / பட்டுள்ளேன்,लालच करना / किया / कर चुका,1. Do not covet. // 2. He coveted it. // 3. It was coveted.,1. பேராசைப்படாதே. // 2. அவர் அதன் மேல் ஆசைப்பட்டார். // 3. அது ஆசைப்படப்பட்டது.,1. लालच मत करो। // 2. उसने इसका लालच किया। // 3. इसका लालच किया गया।
Cower / Cowered / Cowered,Day 54,Advanced,பயந்து நடுங்கு / நடுங்கினேன் / நடுங்கியுள்ளேன்,डर से दुबकना / दुबका / दुबक चुका,1. Don't cower. // 2. He cowered. // 3. (Intransitive),1. பயந்து நடுங்காதே. // 2. அவர் பயந்து நடுங்கினார். // 3. (பொருந்தாது),1. डर कर मत दुबको। // 2. वह डर कर दुबक गया। // 3. (लागू नहीं)
Cracken / Crackened / Crackened,Day 54,Advanced,வெடிக்கச் செய் / செய்தேன் / செய்துள்ளேன்,फटना / फटा / फट चुका,1. Crack the nut. // 2. He cracked it. // 3. It was cracked.,1. கொட்டையை உடை. // 2. அவர் அதை உடைத்தார். // 3. அது உடைக்கப்பட்டது.,1. अखरोट तोड़ो। // 2. उसने इसे तोड़ा। // 3. यह तोड़ा गया।
Craft / Crafted / Crafted,Day 54,Advanced,கைவினை செய் / செய்தேன் / செய்துள்ளேன்,शिल्प बनाना / बनाया / बना चुका,1. Craft a story. // 2. He crafted it. // 3. It was crafted.,1. ஒரு கதையை உருவாக்கு. // 2. அவர் அதை உருவாக்கினார். // 3. அது உருவாக்கப்பட்டது.,1. कहानी गढ़ो। // 2. उसने इसे गढ़ा। // 3. यह गढ़ी गई।
Cram / Crammed / Crammed,Day 54,Advanced,திணி / திணித்தேன் / திணித்துள்ளேன்,ठूँसना / ठूँसा / ठूँस चुका,1. Cram the clothes. // 2. He crammed them. // 3. They were crammed.,1. துணிகளைத் திணி. // 2. அவர் அதைத் திணித்தார். // 3. அவை திணிக்கப்பட்டன.,1. कपड़े ठूँसो। // 2. उसने उन्हें ठूँसा। // 3. वे ठूँसे गए।
Cramp / Cramped / Cramped,Day 55,Advanced,முடக்கு / முடக்கினேன் / முடக்கியுள்ளேன்,ऐंठन होना / हुई / हो चुका,1. Don't cramp my style. // 2. It cramped his style. // 3. His style was cramped.,1. என்னை முடக்காதே. // 2. அது அவரை முடக்கியது. // 3. அவர் முடக்கப்பட்டார்.,1. मुझे सीमित मत करो। // 2. इसने उसे सीमित किया। // 3. वह सीमित हो गया।
Crash / Crashed / Crashed,Day 55,Advanced,மோதி அழி / அழிந்தது / அழிந்துள்ளது,टकराना / टकराया / टकरा चुका,1. Don't crash the car. // 2. He crashed it. // 3. It was crashed.,1. காரை மோதாதே. // 2. அவர் அதை மோதினார். // 3. அது மோதப்பட்டது.,1. कार मत टकराओ। // 2. उसने इसे टकराया। // 3. यह टकरा गई।
Crave / Craved / Craved,Day 55,Advanced,ஆவலோடு ஏங்கு / ஏங்கினேன் / ஏங்கியுள்ளேன்,तरसना / तरसा / तरस चुका,1. Crave for food. // 2. He craved it. // 3. It was craved.,1. உணவை விரும்பு. // 2. அவர் அதை விரும்பினார். // 3. அது விரும்பப்பட்டது.,1. भोजन की लालसा करो। // 2. उसने इसकी लालसा की। // 3. इसकी लालसा की गई।
Crawl / Crawled / Crawled,Day 55,Advanced,ஊர்ந்து செல் / சென்றேன் / சென்றுள்ளேன்,रेंगना / रेंगा / रेंग चुका,1. Crawl on the floor. // 2. He crawled. // 3. (Intransitive),1. தரையில் ஊர்ந்து செல். // 2. அவர் ஊர்ந்து சென்றார். // 3. (பொருந்தாது),1. फर्श पर रेंगना। // 2. वह रेंगा। // 3. (लागू नहीं)
Creak / Creaked / Creaked,Day 55,Advanced,கீச்சிடு / இட்டது / இட்டுள்ளது,चरचराना / चरचराया / चरचरा चुका,1. The door creaks. // 2. It creaked. // 3. (Intransitive),1. கதவு கீச்சிடுகிறது. // 2. அது கீச்சிட்டது. // 3. (பொருந்தாது),1. दरवाजा चरमराता है। // 2. यह चरमराया। // 3. (लागू नहीं)
Create / Created / Created,Day 56,Advanced,உருவாக்கு / உருவாக்கினேன் / உருவாக்கியுள்ளேன்,सृजन करना / किया / कर चुका,1. Create a file. // 2. He created it. // 3. It was created.,1. ஒரு கோப்பை உருவாக்கு. // 2. அவர் அதை உருவாக்கினார். // 3. அது உருவாக்கப்பட்டது.,1. एक फाइल बनाओ। // 2. उसने इसे बनाया। // 3. यह बनाई गई।
Credit / Credited / Credited,Day 56,Advanced,வரவு வை / வைத்தேன் / வைத்துள்ளேன்,जमा करना / किया / कर चुका,1. Credit the account. // 2. He credited it. // 3. It was credited.,1. கணக்கில் வரவு வை. // 2. அவர் அதில் வரவு வைத்தார். // 3. அதில் வரவு வைக்கப்பட்டது.,1. खाते में जमा करो। // 2. उसने इसमें जमा किया। // 3. इसमें जमा किया गया।
Creep / Crept / Crept,Day 56,Advanced,மெதுவாக நகரு / நகர்ந்தேன் / நகர்ந்துள்ளேன்,रेंगना / रेंगा / रेंग चुका,1. Creep silently. // 2. He crept. // 3. (Intransitive),1. சத்தமில்லாமல் ஊர்ந்து செல். // 2. அவர் ஊர்ந்து சென்றார். // 3. (பொருந்தாது),1. चुपके से रेंगो। // 2. वह रेंगा। // 3. (लागू नहीं)
Cremate / Cremated / Cremated,Day 56,Advanced,தகனம் செய் / செய்தேன் / செய்துள்ளேன்,दाह संस्कार करना / किया / चुका,1. Cremate the body. // 2. They cremated him. // 3. He was cremated.,1. உடலை தகனம் செய். // 2. அவர்கள் அவரைத் தகனம் செய்தார்கள். // 3. அவர் தகனம் செய்யப்பட்டார்.,1. शव का दाह संस्कार करो। // 2. उन्होंने उसका दाह संस्कार किया। // 3. उसका दाह संस्कार किया गया।
Creolize / Creolized / Creolized,Day 56,Advanced,மொழிக்கலப்பு செய் / செய்தேன் / செய்துள்ளேன்,मिश्रित भाषा बनाना / बनाया / चुका,1. Creolize the language. // 2. It creolized. // 3. It was creolized.,1. மொழியை கலப்பு மொழியாக்கு. // 2. அது கலப்பு மொழியானது. // 3. அது கலப்பு மொழியாக்கப்பட்டது.,1. भाषा को मिश्रित बनाओ। // 2. यह मिश्रित हो गई। // 3. इसे मिश्रित किया गया।
Crepitate / Crepitated / Crepitated,Day 57,Advanced,படபடவென ஒலி / ஒலித்தது / ஒலித்திருக்கிறது,चटकना / चटका / चटक चुका,1. Fire creates crepitation. // 2. It crepitated. // 3. (Intransitive),1. நெருப்பு படபடக்கும் ஒலியை எழுப்புகிறது. // 2. அது படபடத்தது. // 3. (பொருந்தாது),1. आग चटचटाती है। // 2. यह चटचटाई। // 3. (लागू नहीं)
Crest / Crested / Crested,Day 57,Advanced,உச்சத்தை அடை / அடைந்தேன் / அடைந்துள்ளேன்,शिखर पर पहुँचना / पहुँचा / चुका,1. Crest the hill. // 2. We crested the hill. // 3. The hill was crested.,1. குன்றின் உச்சியை அடை. // 2. நாங்கள் உச்சியை அடைந்தோம். // 3. உச்சி அடையப்பட்டது.,1. पहाड़ी की चोटी पर पहुँचो। // 2. हम चोटी पर पहुँचे। // 3. चोटी पर पहुँचा गया।
Cringe / Cringed / Cringed,Day 57,Advanced,கூச்சப்படு / பட்டேன் / பட்டுள்ளேன்,चापलूसी करना / की / कर चुका,1. Don't cringe. // 2. He cringed. // 3. (Intransitive),1. கூனிக் குறுகாதே. // 2. அவர் கூனிக் குறுகினார். // 3. (பொருந்தாது),1. दुबको मत। // 2. वह दुबक गया। // 3. (लागू नहीं)
Crinkle / Crinkled / Crinkled,Day 57,Advanced,சுருக்கு / சுருக்கினேன் / சுருக்கியுள்ளேன்,सिकोड़ना / सिकोड़ा / सिकोड़ चुका,1. Crinkle the paper. // 2. He crinkled it. // 3. It was crinkled.,1. காகிதத்தை கசக்கு. // 2. அவர் அதை கசக்கினார். // 3. அது கசக்கப்பட்டது.,1. कागज को सिकोड़ो। // 2. उसने इसे सिकोड़ा। // 3. इसे सिकोड़ा गया।
Cripple / Crippled / Crippled,Day 57,Advanced,முடக்கு / முடக்கினேன் / முடக்கியுள்ளேன்,पंगु बनाना / बनाया / बना चुका,1. Don't cripple him. // 2. It crippled him. // 3. He was crippled.,1. அவனை முடக்காதே. // 2. அது அவனை முடக்கியது. // 3. அவன் முடக்கப்பட்டான்.,1. उसे अपंग मत बनाओ। // 2. इसने उसे अपंग बना दिया। // 3. वह अपंग हो गया।
Crisp / Crisped / Crisped,Day 58,Advanced,மொறுமொறுப்பாக்கு / ஆக்கினேன் / ஆக்கியுள்ளேன்,कुरकुरा बनाना / बनाया / बना चुका,1. Crisp the bacon. // 2. He crisped it. // 3. It was crisped.,1. இறைச்சியை மொறுமொறுப்பாக்கு. // 2. அவர் அதை மொறுமொறுப்பாக்கினார். // 3. அது மொறுமொறுப்பாக்கப்பட்டது.,1. बेकन को कुरकुरा करो। // 2. उसने इसे कुरकुरा किया। // 3. इसे कुरकुरा किया गया।
Criticize / Criticized / Criticized,Day 58,Advanced,விமர்சி / விமர்சித்தேன் / விமர்சித்துள்ளேன்,आलोचना करना / की / कर चुका,1. Criticize the work. // 2. He criticized it. // 3. It was criticized.,1. வேலையை விமர்சி. // 2. அவர் அதை விமர்சித்தார். // 3. அது விமர்சிக்கப்பட்டது.,1. काम की आलोचना करो। // 2. उसने इसकी आलोचना की। // 3. इसकी आलोचना की गई।
Croak / Croaked / Croaked,Day 58,Advanced,கரகரத்த குரலில் பேசு / பேசினேன் / பேசியுள்ளேன்,टर्राना / टर्राया / टर्रा चुका,1. Frogs croak. // 2. The frog croaked. // 3. (Intransitive),1. தவளைகள் கத்தும். // 2. தவளை கத்தியது. // 3. (பொருந்தாது),1. मेंढक टर्राते हैं। // 2. मेंढक टर्राया। // 3. (लागू नहीं)
Crochet / Crocheted / Crocheted,Day 58,Advanced,பின்னல் வேலை செய் / செய்தேன் / செய்துள்ளேன்,क्रोशिया का काम करना / किया / चुका,1. Crochet a sweater. // 2. She crocheted it. // 3. It was crocheted.,1. ஒரு ஸ்வெட்டர் பின்னு. // 2. அவள் அதைப் பின்னினாள். // 3. அது பின்னப்பட்டது.,1. स्वेटर बुनो। // 2. उसने इसे बुना। // 3. यह बुना गया।
Crook / Crooked / Crooked,Day 58,Advanced,வளை / வளைத்தேன் / வளைத்துள்ளேன்,टेढ़ा करना / किया / कर चुका,1. Crook your finger. // 2. He crooked it. // 3. It was crooked.,1. விரலை வளை. // 2. அவர் அதை வளைத்தார். // 3. அது வளைக்கப்பட்டது.,1. उंगली मोड़ो। // 2. उसने इसे मोड़ा। // 3. इसे मोड़ा गया।
Crop / Cropped / Cropped,Day 59,Advanced,அறுவடை செய் / செய்தேன் / செய்துள்ளேன்,काटना (फसल) / काटा / काट चुका,1. Crop the photo. // 2. He cropped it. // 3. It was cropped.,1. புகைப்படத்தை வெட்டு. // 2. அவர் அதை வெட்டினார். // 3. அது வெட்டப்பட்டது.,1. फोटो को काटो। // 2. उसने इसे काटा। // 3. इसे काटा गया।
Cross / Crossed / Crossed,Day 59,Advanced,கடந்து செல் / சென்றேன் / சென்றுள்ளேன்,पार करना / किया / कर चुका,1. Cross the road. // 2. He crossed it. // 3. It was crossed.,1. சாலையைக் கட. // 2. அவர் அதைக் கடந்தார். // 3. அது கடக்கப்பட்டது.,1. सड़क पार करो। // 2. उसने इसे पार किया। // 3. इसे पार किया गया।
Crouch / Crouched / Crouched,Day 59,Advanced,பதுங்கு / பதுங்கினேன் / பதுங்கியுள்ளேன்,झुकना / झुका / झुक चुका,1. Crouch down. // 2. He crouched. // 3. (Intransitive),1. குனிந்து உட்கார். // 2. அவர் குனிந்து உட்கார்ந்தார். // 3. (பொருந்தாது),1. नीचे झुको। // 2. वह नीचे झुका। // 3. (लागू नहीं)
Crow / Crowed / Crowed,Day 59,Advanced,கூவு / கூவியது / கூவியுள்ளது,बांग देना / दी / दे चुका,1. The rooster crows. // 2. It crowed. // 3. (Intransitive),1. சேவல் கூவுகிறது. // 2. அது கூவியது. // 3. (பொருந்தாது),1. मुर्गा बांग देता है। // 2. उसने बांग दी। // 3. (लागू नहीं)
Crowd / Crowded / Crowded,Day 59,Advanced,கும்பலாகக் கூடு / கூடினேன் / கூடியுள்ளேன்,भीड़ लगाना / लगाई / लगा चुका,1. Crowd the room. // 2. They crowded it. // 3. It was crowded.,1. அறையில் கூட்டம் கூட்டு. // 2. அவர்கள் கூட்டமாக கூடினார்கள். // 3. அங்கே கூட்டம் நிரம்பி இருந்தது.,1. कमरे में भीड़ लगाओ। // 2. उन्होंने भीड़ लगाई। // 3. वहाँ भीड़ थी।
Crown / Crowned / Crowned,Day 60,Advanced,முடிசூட்டு / சூட்டினேன் / சூட்டியுள்ளேன்,ताज पहनाना / पहनाया / पहना चुका,1. Crown the winner. // 2. They crowned him. // 3. He was crowned.,1. வெற்றியாளருக்கு முடிசூட்டு. // 2. அவர்கள் அவருக்கு முடிசூட்டினார்கள். // 3. அவருக்கு முடிசூட்டப்பட்டது.,1. विजेता को ताज पहनाओ। // 2. उन्होंने उसे ताज पहनाया। // 3. उसे ताज पहनाया गया।
Crucialize / Crucialized / Crucialized,Day 60,Advanced,முக்கியத்துவப்படுத்து / படுத்தினேன் / படுத்தியுள்ளேன்,महत्वपूर्ण बनाना / बनाया / चुका,1. Crucialize the task. // 2. He crucialized it. // 3. It was crucialized.,1. பணிக்கு முக்கியத்துவம் கொடு. // 2. அவர் அதற்கு முக்கியத்துவம் கொடுத்தார். // 3. அதற்கு முக்கியத்துவம் கொடுக்கப்பட்டது.,1. कार्य को महत्व दो। // 2. उसने इसे महत्व दिया। // 3. इसे महत्व दिया गया।
Crucify / Crucified / Crucified,Day 60,Advanced,சிலுவையில் அறை / அறைந்தேன் / அறைந்துள்ளேன்,सूली पर चढ़ाना / चढ़ाया / चुका,1. Crucify him. // 2. They crucified him. // 3. He was crucified.,1. அவனை சிலுவையில் அறை. // 2. அவர்கள் அவனை சிலுவையில் அறைந்தார்கள். // 3. அவன் சிலுவையில் அறையப்பட்டான்.,1. उसे सूली पर चढ़ाओ। // 2. उन्होंने उसे सूली पर चढ़ाया। // 3. उसे सूली पर चढ़ाया गया।
