English (V1/V2/V3),Day Number,Difficulty Level,Tamil (Infinitive/Past/Perfect),Hindi (Infinitive/Past/Perfect),English Examples,Tamil Examples,Hindi Examples
Destroy / Destroyed / Destroyed,Day 24,Beginner,அழி / அழித்தேன் / அழித்திருக்கிறேன்,नष्ट करना / किया / कर चुका,1. Ants destroy food. // 2. War destroyed the city. // 3. I have destroyed the proof.,1. எறும்புகள் உணவை அழிக்கின்றன. // 2. போர் நகரத்தை அழித்தது. // 3. நான் ஆதாரத்தை அழித்துவிட்டேன்.,1. चींटियाँ भोजन नष्ट कर देती हैं। // 2. युद्ध ने शहर को नष्ट कर दिया। // 3. मैंने सबूत नष्ट कर दिया है।
Discover / Discovered / Discovered,Day 24,Beginner,கண்டுபிடி / கண்டுபிடித்தேன் / கண்டுபிடித்திருக்கிறேன்,खोजना / खोजा / खोज चुका,1. I discover new ideas. // 2. He discovered a cave. // 3. I have discovered the truth.,1. நான் புதிய யோசனைகளைக் கண்டறிகிறேன். // 2. அவர் ஒரு குகையைக் கண்டுபிடித்தார். // 3. நான் உண்மையை கண்டுபிடித்துள்ளேன்.,1. मैं नए विचारों की खोज करता हूँ। // 2. उसने एक गुफा की खोज की। // 3. मैंने सच्चाई का पता लगा लिया है।
Discuss / Discussed / Discussed,Day 24,Beginner,விவாதி / விவாதித்தேன் / விவாதித்திருக்கிறேன்,चर्चा करना / की / कर चुका,1. I discuss the issue. // 2. They discussed the game. // 3. I have discussed the price.,1. நான் பிரச்சனையைப் பற்றி விவாதிக்கிறேன். // 2. அவர்கள் விளையாட்டைப் பற்றி விவாதித்தனர். // 3. நான் விலையைப் பற்றி விவாதித்தேன்.,1. मैं मुद्दे पर चर्चा करता हूँ। // 2. उन्होंने खेल पर चर्चा की। // 3. मैंने कीमत पर चर्चा की है।
Divide / Divided / Divided,Day 24,Beginner,பிரி / பிரித்தேன் / பிரித்திருக்கிறேன்,बांटना / बांटा / बांट चुका,1. I divide the cake. // 2. He divided the tasks. // 3. I have divided the money.,1. நான் கேக்கை பிரிக்கிறேன். // 2. அவர் பணிகளைப் பிரித்தார். // 3. நான் பணத்தைப் பிரித்துள்ளேன்.,1. मैं केक बांटता हूँ। // 2. उसने कार्यों को विभाजित किया। // 3. मैंने पैसे बांट दिए हैं।
Dream / Dreamed / Dreamed,Day 25,Beginner,கனவு காண் / கண்டேன் / கண்டிருக்கிறேன்,सपना देखना / देखा / देख चुका,1. I dream big. // 2. He dreamed of flying. // 3. I have dreamed of this day.,1. நான் பெரிய கனவு காண்கிறேன். // 2. அவர் பறப்பதைப் போல கனவு கண்டார். // 3. நான் இந்த நாளைப் பற்றி கனவு கண்டுள்ளேன்.,1. मैं बड़े सपने देखता हूँ। // 2. उसने उड़ने का सपना देखा। // 3. मैंने इस दिन का सपना देखा है।
Earn / Earned / Earned,Day 25,Beginner,சம்பாதி / சம்பாதித்தேன் / சம்பாதித்திருக்கிறேன்,कमाना / कमाया / कमा चुका,1. I earn money. // 2. He earned a degree. // 3. I have earned your trust.,1. நான் பணம் சம்பாதிக்கிறேன். // 2. அவர் ஒரு பட்டம் பெற்றார் (சம்பாதித்தார்). // 3. நான் உங்கள் நம்பிக்கையைப் பெற்றுள்ளேன்.,1. मैं पैसा कमाता हूँ। // 2. उसने डिग्री हासिल की। // 3. मैंने आपका विश्वास कमाया है।
Eat / Ate / Eaten,Day 25,Beginner,சாப்பிடு / சாப்பிட்டேன் / சாப்பிட்டிருக்கிறேன்,खाना / खाया / खा चुका,1. I eat an orange. // 2. He ate lunch. // 3. I have eaten already.,1. நான் ஒரு ஆரஞ்சு சாப்பிடுகிறேன். // 2. அவர் மதிய உணவு சாப்பிட்டார். // 3. நான் ஏற்கனவே சாப்பிட்டுவிட்டேன்.,1. मैं एक संतरा खाता हूँ। // 2. उसने दोपहर का भोजन किया। // 3. मैं पहले ही खा चुका हूँ।
Empty / Emptied / Emptied,Day 25,Beginner,காலி செய் / செய்தேன் / செய்திருக்கிறேன்,खाली करना / किया / कर चुका,1. I empty the bin. // 2. He emptied his pocket. // 3. I have emptied the room.,1. நான் தொட்டியை காலி செய்கிறேன். // 2. அவர் தனது பாக்கெட்டை காலி செய்தார். // 3. நான் அறையை காலி செய்துவிட்டேன்.,1. मैं कूड़ेदान खाली करता हूँ। // 2. उसने अपनी जेब खाली की। // 3. मैंने कमरा खाली कर दिया है।
Enter / Entered / Entered,Day 25,Beginner,நுழை / நுழைந்தேன் / நுழைந்திருக்கிறேன்,प्रवेश करना / किया / कर चुका,1. I enter the room. // 2. He entered the hall. // 3. I have entered the data.,1. நான் அறைக்குள் நுழைகிறேன். // 2. அவர் மண்டபத்திற்குள் நுழைந்தார். // 3. நான் தரவை உள்ளிட்டுள்ளேன்.,1. मैं कमरे में प्रवेश करता हूँ। // 2. उसने हॉल में प्रवेश किया। // 3. मैंने डेटा दर्ज कर दिया है।
Escape / Escaped / Escaped,Day 26,Beginner,தப்பி / தப்பித்தேன் / தப்பித்திருக்கிறேன்,भागना / भागा / भाग चुका,1. I escape the heat. // 2. He escaped from jail. // 3. I have escaped death.,1. நான் வெப்பத்திலிருந்து தப்பிக்கிறேன். // 2. அவர் சிறையிலிருந்து தப்பினார். // 3. நான் மரணத்திலிருந்து தப்பினேன்.,1. मैं गर्मी से बचता हूँ। // 2. वह जेल से भाग गया। // 3. मैं मौत से बच निकला हूँ।
Exercise / Exercised / Exercised,Day 26,Beginner,உடற்பயிற்சி செய் / செய்தேன் / செய்திருக்கிறேன்,व्यायाम करना / किया / कर चुका,1. I exercise daily. // 2. He exercised at the gym. // 3. I have exercised for an hour.,1. நான் தினமும் உடற்பயிற்சி செய்கிறேன். // 2. அவர் ஜிம்மில் உடற்பயிற்சி செய்தார். // 3. நான் ஒரு மணிநேரம் உடற்பயிற்சி செய்துள்ளேன்.,1. मैं रोज़ाना व्यायाम करता हूँ। // 2. उसने जिम में व्यायाम किया। // 3. मैंने एक घंटे तक व्यायाम किया है।
Expect / Expected / Expected,Day 26,Beginner,எதிர்பார்ப்பது / எதிர்பார்த்தேன் / எதிர்பார்த்திருக்கிறேன்,उम्मीद करना / की / कर चुका,1. I expect results. // 2. He expected a call. // 3. I have expected you.,1. நான் முடிவுகளை எதிர்பார்க்கிறேன். // 2. அவர் ஒரு அழைப்பை எதிர்பார்த்தார். // 3. நான் உன்னை எதிர்பார்த்தேன்.,1. मैं परिणामों की अपेक्षा करता हूँ। // 2. उसे कॉल की उम्मीद थी। // 3. मुझे तुम्हारी उम्मीद थी।
Fail / Failed / Failed,Day 26,Beginner,தோல்வியடை / தோல்வியடைந்தேன் / தோல்வியடைந்திருக்கிறேன்,असफल होना / हुआ / हो चुका,1. I fail the test. // 2. He failed to arrive. // 3. I have failed before.,1. நான் தேர்வில் தோல்வியடைகிறேன். // 2. அவர் வரத் தவறினார். // 3. நான் முன்பே தோல்வியடைந்துள்ளேன்.,1. मैं परीक्षा में फेल हो जाता हूँ। // 2. वह आने में विफल रहा। // 3. मैं पहले भी असफल हो चुका हूँ।
Fill / Filled / Filled,Day 26,Beginner,நிரப்பு / நிரப்பினேன் / நிரப்பியுள்ளேன்,भरना / भरा / भर चुका,1. I fill the bottle. // 2. He filled the bucket. // 3. I have filled the form.,1. நான் பாட்டிலை நிரப்புகிறேன். // 2. அவர் வாளியை நிரப்பினார். // 3. நான் படிவத்தை நிரப்பியுள்ளேன்.,1. मैं बोतल भरता हूँ। // 2. उसने बाल्टी भरी। // 3. मैंने फॉर्म भर दिया है।
Follow / Followed / Followed,Day 27,Beginner,பின்பற்று / பின்பற்றினேன் / பின்பற்றியுள்ளேன்,पीछा करना / किया / कर चुका,1. I follow the map. // 2. He followed me home. // 3. I have followed instructions.,1. நான் வரைபடத்தைப் பின்பற்றுகிறேன். // 2. அவர் என்னைப் பின்தொடர்ந்து வீட்டிற்கு வந்தார். // 3. நான் வழிமுறைகளைப் பின்பற்றினேன்.,1. मैं नक्शे का पालन करता हूँ। // 2. वह मेरे पीछे घर तक आया। // 3. मैंने निर्देशों का पालन किया है।
Forgive / Forgave / Forgiven,Day 27,Beginner,மன்னி / மன்னித்தேன் / மன்னித்திருக்கிறேன்,क्षमा करना / की / कर चुका,1. I forgive everyone. // 2. He forgave his friend. // 3. I have forgiven him.,1. நான் எல்லாரையும் மன்னிக்கிறேன். // 2. அவர் தனது நண்பரை மன்னித்தார். // 3. நான் அவரை மன்னித்துவிட்டேன்.,1. मैं सबको माफ करता हूँ। // 2. उसने अपने दोस्त को माफ कर दिया। // 3. मैंने उसे माफ कर दिया है।
Gather / Gathered / Gathered,Day 27,Beginner,திரட்டு / திரட்டினேன் / திரட்டியுள்ளேன்,इकट्ठा करना / किया / कर चुका,1. I gather wood. // 2. He gathered the kids. // 3. I have gathered the facts.,1. நான் விறகு சேகரிக்கிறேன். // 2. அவர் குழந்தைகளைச் சேர்த்தார். // 3. நான் உண்மைகளைச் சேகரித்துள்ளேன்.,1. मैं लकड़ी इकट्ठी करता हूँ। // 2. उसने बच्चों को इकट्ठा किया। // 3. मैंने तथ्य जुटा लिए हैं।
Guess / Guessed / Guessed,Day 27,Beginner,ஊகி / ஊகித்தேன் / ஊகித்திருக்கிறேன்,अनुमान लगाना / लगाया / लगा चुका,1. I guess the weight. // 2. He guessed the answer. // 3. I have guessed right.,1. நான் எடையைக் கணிக்கிறேன். // 2. அவர் விடையைக் கணித்தார். // 3. நான் சரியாகக் கணித்துள்ளேன்.,1. मैं वजन का अनुमान लगाता हूँ। // 2. उसने उत्तर का अनुमान लगाया। // 3. मैंने सही अनुमान लगाया है।
Happen / Happened / Happened,Day 27,Beginner,நட / நடந்தது / நடந்திருக்கிறது,होना / हुआ / हो चुका,1. Strange things happen. // 2. It happened yesterday. // 3. What has happened?,1. விசித்திரமான விஷயங்கள் நடக்கின்றன. // 2. அது நேற்று நடந்தது. // 3. என்ன நடந்தது?,1. अजीब चीजें होती हैं। // 2. यह कल हुआ था। // 3. क्या हुआ है?
Hold / Held / Held,Day 28,Beginner,பிடி / பிடித்தேன் / பிடித்திருக்கிறேன்,पकड़ना / पकड़ा / पकड़ चुका,1. I hold the baby. // 2. He held my hand. // 3. I have held this post.,1. நான் குழந்தையைப் பிடித்துள்ளேன். // 2. அவர் என் கையைப் பிடித்தார். // 3. நான் இந்தப் பதவியை வகித்துள்ளேன்.,1. मैं बच्चे को पकड़ता हूँ। // 2. उसने मेरा हाथ पकड़ा। // 3. मैं इस पद पर रह चुका हूँ।
Hurry / Hurried / Hurried,Day 28,Beginner,அவசரப்படு / அவசரப்பட்டேன் / அவசரப்பட்டிருக்கிறேன்,जल्दी करना / की / कर चुका,1. I hurry to work. // 2. He hurried outside. // 3. I have hurried enough.,1. நான் வேலைக்கு அவசரமாகச் செல்கிறேன். // 2. அவர் அவசரமாக வெளியே சென்றார். // 3. நான் போதுமான அளவு அவசரப்பட்டேன்.,1. मैं काम के लिए जल्दी करता हूँ। // 2. वह जल्दी में बाहर गया। // 3. मैंने काफी जल्दी की है।
Improve / Improved / Improved,Day 28,Beginner,மேம்படுத்து / மேம்படுத்தினேன் / மேம்படுத்தியுள்ளேன்,सुधारना / सुधारा / सुधार चुका,1. I improve my skills. // 2. He improved the plan. // 3. I have improved my health.,1. நான் எனது திறமைகளை மேம்படுத்துகிறேன். // 2. அவர் திட்டத்தை மேம்படுத்தினார். // 3. நான் எனது ஆரோக்கியத்தை மேம்படுத்தியுள்ளேன்.,1. मैं अपने कौशल में सुधार करता हूँ। // 2. उसने योजना में सुधार किया। // 3. मैंने अपने स्वास्थ्य में सुधार किया है।
Increase / Increased / Increased,Day 28,Beginner,அதிகரி / அதிகரித்தேன் / அதிகரித்திருக்கிறேன்,बढ़ाना / बढ़ाया / बढ़ा चुका,1. I increase the volume. // 2. He increased the price. // 3. I have increased the speed.,1. நான் ஒலியளவை அதிகரிக்கிறேன். // 2. அவர் விலையை அதிகரித்தார். // 3. நான் வேகத்தை அதிகரித்துள்ளேன்.,1. मैं वॉल्यूम बढ़ाता हूँ। // 2. उसने कीमत बढ़ा दी। // 3. मैंने गति बढ़ा दी है।
Joke / Joked / Joked,Day 28,Beginner,தமாஷ் செய் / செய்தேன் / செய்திருக்கிறேன்,मज़ाक करना / किया / कर चुका,1. I joke with him. // 2. He joked about it. // 3. I have joked with you.,1. நான் அவரிடம் கேலி செய்கிறேன். // 2. அவர் அதைப் பற்றிக் கேலி செய்தார். // 3. நான் உன்னிடம் கேலி செய்துள்ளேன்.,1. मैं उसके साथ मजाक करता हूँ। // 2. उसने इस बारे में मजाक किया। // 3. मैंने तुम्हारे साथ मजाक किया है।
Kill / Killed / Killed,Day 29,Beginner,கொல் / கொன்றேன் / கொன்றிருக்கிறேன்,मारना / मारा / मार चुका,1. Hunters kill lions. // 2. He killed the bug. // 3. I have killed the engine.,1. வேட்டைக்காரர்கள் சிங்கங்களைக் கொல்கிறார்கள். // 2. அவர் பூச்சியைக் கொன்றார். // 3. நான் எஞ்சினை அணைத்தேன் (கொன்றேன்).,1. शिकारी शेरों को मारते हैं। // 2. उसने कीड़े को मार डाला। // 3. मैंने इंजन बंद कर दिया है।
Kiss / Kissed / Kissed,Day 29,Beginner,முத்தமிடு / முத்தமிட்டேன் / முத்தமிட்டிருக்கிறேன்,चूमना / चूमा / चूम चुका,1. I kiss the child. // 2. She kissed him. // 3. I have kissed her.,1. நான் குழந்தையை முத்தமிடுகிறேன். // 2. அவள் அவனை முத்தமிட்டாள். // 3. நான் அவளை முத்தமிட்டுள்ளேன்.,1. मैं बच्चे को चूमता हूँ। // 2. उसने उसे चूमा। // 3. मैंने उसे चूमा है।
Laugh / Laughed / Laughed,Day 29,Beginner,சிரி / சிரித்தேன் / சிரித்திருக்கிறேன்,हँसना / हँसा / हँस चुका,1. I laugh at jokes. // 2. He laughed out loud. // 3. I have laughed today.,1. நான் நகைச்சுவைகளைப் பார்த்துச் சிரிக்கிறேன். // 2. அவர் சத்தமாகச் சிரித்தார். // 3. நான் இன்று சிரித்தேன்.,1. मैं चुटकुलों पर हंसता हूँ। // 2. वह जोर से हंसा। // 3. मैं आज हंसा हूँ।
Lead / Led / Led,Day 29,Beginner,வழிநடத்து / வழிநடத்தினேன் / வழிநடத்தியுள்ளேன்,नेतृत्व करना / किया / कर चुका,1. I lead the team. // 2. He led the way. // 3. I have led many projects.,1. நான் குழுவை வழிநடத்துகிறேன். // 2. அவர் வழிகாட்டினார். // 3. நான் பல திட்டங்களை வழிநடத்தியுள்ளேன்.,1. मैं टीम का नेतृत्व करता हूँ। // 2. उसने रास्ता दिखाया। // 3. मैंने कई परियोजनाओं का नेतृत्व किया है।
Lend / Lent / Lent,Day 29,Beginner,கடன் கொடு / கொடுத்தேன் / கொடுத்திருக்கிறேன்,उधार देना / दिया / दे चुका,1. I lend money. // 2. He lent me a book. // 3. I have lent my car.,1. நான் பணம் கொடுக்கிறேன் (கடன்). // 2. அவர் எனக்கு ஒரு புத்தகம் கொடுத்தார். // 3. நான் என் காரைக் கடனாகக் கொடுத்துள்ளேன்.,1. मैं पैसे उधार देता हूँ। // 2. उसने मुझे एक किताब उधार दी। // 3. मैंने अपनी कार उधार दी है।
Lie / Lied / Lied,Day 30,Beginner,பொய் சொல் / சொன்னேன் / சொல்லியிருக்கிறேன்,झूठ बोलना / बोला / बोल चुका,1. I lie on the grass. // 2. He lied to me. // 3. I have lied before.,1. நான் புல்வெளியில் படுக்கிறேன். // 2. அவர் என்னிடம் பொய் சொன்னார். // 3. நான் முன்பே பொய் சொல்லியிருக்கிறேன்.,1. मैं घास पर लेटता हूँ। // 2. उसने मुझसे झूठ बोला। // 3. मैं पहले भी झूठ बोल चुका हूँ।
Lift / Lifted / Lifted,Day 30,Beginner,தூக்கு / தூக்கினேன் / தூக்கியுள்ளேன்,उठाना / उठाया / उठा चुका,1. I lift the box. // 2. He lifted the weight. // 3. I have lifted this before.,1. நான் பெட்டியைத் தூக்குகிறேன். // 2. அவர் எடையைத் தூக்கினார். // 3. நான் இதை முன்பே தூக்கியிருக்கிறேன்.,1. मैं बक्सा उठाता हूँ। // 2. उसने वजन उठाया। // 3. मैंने इसे पहले भी उठाया है।
Light / Lit / Lit,Day 30,Beginner,ஏற்று / ஏற்றினேன் / ஏற்றியுள்ளேன்,जलाना / जलाया / जला चुका,1. I light the candle. // 2. He lit the fire. // 3. I have lit the lamp.,1. நான் மெழுகுவர்த்தியை ஏற்றுகிறேன். // 2. அவர் நெருப்பை மூட்டினார். // 3. நான் விளக்கை ஏற்றியுள்ளேன்.,1. मैं मोमबत्ती जलाता हूँ। // 2. उसने आग जलाई। // 3. मैंने दीया जलाया है।
Listen / Listened / Listened,Day 30,Beginner,கவனி / கவனித்தேன் / கவனித்திருக்கிறேன்,सुनना / सुना / सुन चुका,1. I listen to music. // 2. He listened to me. // 3. I have listened carefully.,1. நான் இசை கேட்கிறேன். // 2. அவர் நான் சொன்னதைக் கேட்டார். // 3. நான் கவனமாகக் கேட்டுள்ளேன்.,1. मैं संगीत सुनता हूँ। // 2. उसने मेरी बात सुनी। // 3. मैंने ध्यान से सुना है।
Look / Looked / Looked,Day 30,Beginner,பார் / பார்த்தேன் / பார்த்திருக்கிறேன்,देखना / देखा / देख चुका,1. I look at photos. // 2. He looked at me. // 3. I have looked everywhere.,1. நான் புகைப்படங்களைப் பார்க்கிறேன். // 2. அவர் என்னைப் பார்த்தார். // 3. நான் எல்லா இடங்களிலும் தேடிவிட்டேன் (பார்த்துவிட்டேன்).,1. मैं फोटो देखता हूँ। // 2. उसने मुझे देखा। // 3. मैंने हर जगह देखा है।
Lose / Lost / Lost,Day 31,Beginner,இழ / இழந்தேன் / இழந்திருக்கிறேன்,खोना / खोया / खो चुका,1. I lose my keys. // 2. He lost the match. // 3. I have lost my way.,1. நான் என் சாவிகளைத் தொலைக்கிறேன். // 2. அவர் போட்டியில் தோற்றார். // 3. நான் வழியைத் தொலைத்துவிட்டேன்.,1. मैं अपनी चाबियाँ खो देता हूँ। // 2. वह मैच हार गया। // 3. मैं रास्ता भटक गया हूँ।
Love / Loved / Loved,Day 31,Beginner,நேசி / நேசித்தேன் / நேசித்திருக்கிறேன்,प्यार करना / किया / कर चुका,1. I love my family. // 2. He loved that car. // 3. I have loved you.,1. நான் என் குடும்பத்தை நேசிக்கிறேன். // 2. அவர் அந்த காரை நேசித்தார். // 3. நான் உன்னை நேசித்தேன்.,1. मैं अपने परिवार से प्यार करता हूँ। // 2. उसे वह कार बहुत पसंद थी। // 3. मैंने तुमसे प्यार किया है।
Meet / Met / Met,Day 31,Beginner,சந்தி / சந்தித்தேன் / சந்தித்திருக்கிறேன்,मिलना / मिला / मिल चुका,1. I meet him daily. // 2. I met her yesterday. // 3. I have met them before.,1. நான் அவரை தினமும் சந்திக்கிறேன். // 2. நான் அவளை நேற்று சந்தித்தேன். // 3. நான் அவர்களை முன்பே சந்தித்துள்ளேன்.,1. मैं उससे रोज़ मिलता हूँ। // 2. मैं उससे कल मिला था। // 3. मैं उनसे पहले मिल चुका हूँ।
Mistake / Mistook / Mistaken,Day 31,Beginner,தவறாகக் கருது / கருதினேன் / கருதியிருக்கிறேன்,गलती करना / की / कर चुका,1. I mistake the path. // 2. He mistook me for him. // 3. I have mistaken the time.,1. நான் பாதையைத் தவறாகப் புரிந்து கொள்கிறேன். // 2. அவர் என்னை அவராகத் தவறாக நினைத்தார். // 3. நான் நேரத்தைத் தவறாகப் புரிந்து கொண்டேன்.,1. मैं रास्ता समझने में गलती करता हूँ। // 2. उसने मुझे गलती से वह समझ लिया। // 3. मैंने समय समझने में गलती की है।
Mix / Mixed / Mixed,Day 31,Beginner,கல / கலந்தேன் / கலந்திருக்கிறேன்,मिलाना / मिलाया / मिला चुका,1. I mix the colors. // 2. He mixed the cement. // 3. I have mixed the sugar.,1. நான் வண்ணங்களைக் கலக்கிறேன். // 2. அவர் சிமெண்டைக் கலந்தார். // 3. நான் சர்க்கரையைக் கலந்தேன்.,1. मैं रंग मिलाता हूँ। // 2. उसने सीमेंट मिलाया। // 3. मैंने चीनी मिला दी है।
Move / Moved / Moved,Day 32,Beginner,நகரு / நகர்ந்தேன் / நகர்ந்திருக்கிறேன்,चलना / चला / चल चुका,1. I move the chair. // 2. He moved to Delhi. // 3. I have moved the box.,1. நான் நாற்காலியை நகர்த்துகிறேன். // 2. அவர் டெல்லிக்குக் குடிபெயர்ந்தார். // 3. நான் பெட்டியை நகர்த்தினேன்.,1. मैं कुर्सी हटाता हूँ। // 2. वह दिल्ली चला गया। // 3. मैंने बक्सा हटा दिया है।
Notice / Noticed / Noticed,Day 32,Beginner,கவனி / கவனித்தேன் / கவனித்திருக்கிறேன்,ध्यान देना / दिया / दे चुका,1. I notice the change. // 2. He noticed me. // 3. I have noticed a problem.,1. நான் மாற்றத்தைக் கவனிக்கிறேன். // 2. அவர் என்னைக் கவனித்தார். // 3. நான் ஒரு சிக்கலைக் கவனித்தேன்.,1. मैं बदलाव नोटिस करता हूँ। // 2. उसने मुझे नोटिस किया। // 3. मैंने एक समस्या देखी है।
Order / Ordered / Ordered,Day 32,Beginner,ஆணையிடு / ஆணையிட்டேன் / ஆணையிட்டிருக்கிறேன்,आदेश देना / दिया / दे चुका,1. I order a pizza. // 2. He ordered me to go. // 3. I have ordered a new phone.,1. நான் ஒரு பீட்சா ஆர்டர் செய்கிறேன். // 2. அவர் என்னைச் செல்ல உத்தரவிட்டார். // 3. நான் ஒரு புதிய போன் ஆர்டர் செய்துள்ளேன்.,1. मैं पिज्जा ऑर्डर करता हूँ। // 2. उसने मुझे जाने का आदेश दिया। // 3. मैंने एक नया फोन ऑर्डर किया है।
Paint / Painted / Painted,Day 32,Beginner,வண்ணம் பூசு / பூசினேன் / பூசியுள்ளேன்,रंगना / रंगा / रंग चुका,1. I paint the wall. // 2. He painted a picture. // 3. I have painted the gate.,1. நான் சுவருக்கு வண்ணம் தீட்டுகிறேன். // 2. அவர் ஒரு படம் வரைந்தார் (வண்ணம் தீட்டினார்). // 3. நான் வாயிலுக்கு வண்ணம் தீட்டியுள்ளேன்.,1. मैं दीवार पेंट करता हूँ। // 2. उसने एक चित्र पेंट किया। // 3. मैंने गेट पेंट कर दिया है।
Park / Parked / Parked,Day 32,Beginner,நிறுத்து / நிறுத்தினேன் / நிறுத்தியுள்ளேன்,खड़ा करना / किया / कर चुका,1. I park the bike. // 2. He parked the car. // 3. I have parked outside.,1. நான் பைக்கை நிறுத்துகிறேன் (பார்க் செய்கிறேன்). // 2. அவர் காரை நிறுத்தினார். // 3. நான் வெளியே நிறுத்தியுள்ளேன்.,1. मैं बाइक पार्क करता हूँ। // 2. उसने कार पार्क की। // 3. मैंने बाहर पार्क किया है।
Pay / Paid / Paid,Day 33,Beginner,செலுத்து / செலுத்தினேன் / செலுத்தியுள்ளேன்,भुगतान करना / किया / कर चुका,1. I pay the bill. // 2. He paid the cash. // 3. I have paid for it.,1. நான் ரசீதைச் செலுத்துகிறேன். // 2. அவர் பணத்தைச் செலுத்தினார். // 3. நான் அதற்குக் காசு கொடுத்துவிட்டேன்.,1. मैं बिल का भुगतान करता हूँ। // 2. उसने नकद भुगतान किया। // 3. मैंने इसके लिए भुगतान कर दिया है।
Pick / Picked / Picked,Day 33,Beginner,எடு / எடுத்தேன் / எடுத்திருக்கிறேன்,उठाना / उठाया / उठा चुका,1. I pick a flower. // 2. He picked up the pen. // 3. I have picked my team.,1. நான் ஒரு பூவைப் பறிக்கிறேன். // 2. அவர் பேனாவை எடுத்தார். // 3. நான் எனது குழுவைத் தேர்ந்தெடுத்துள்ளேன்.,1. मैं एक फूल चुनता हूँ। // 2. उसने पेन उठाया। // 3. मैंने अपनी टीम चुन ली है।
Plant / Planted / Planted,Day 33,Beginner,நட்டு வை / நட்டேன் / நட்டிருக்கிறேன்,पौधा लगाना / लगाया / लगा चुका,1. I plant a tree. // 2. She planted roses. // 3. I have planted seeds.,1. நான் ஒரு மரம் நடுகிறேன். // 2. அவள் ரோஜாக்களை நட்டாள். // 3. நான் விதைகளை நட்டுள்ளேன்.,1. मैं एक पेड़ लगाता हूँ। // 2. उसने गुलाब के पौधे लगाए। // 3. मैं बीज बो चुका हूँ।
Post / Posted / Posted,Day 33,Beginner,அஞ்சல் செய் / செய்தேன் / செய்திருக்கிறேன்,भेजना / भेजा / भेज चुका,1. I post a letter. // 2. He posted a photo. // 3. I have posted the update.,1. நான் ஒரு கடிதம் போடுகிறேன் (தபால்). // 2. அவர் ஒரு புகைப்படத்தைப் பதிவிட்டார். // 3. நான் புதுப்பிப்பைப் பதிவிட்டுள்ளேன்.,1. मैं एक पत्र डालता हूँ। // 2. उसने एक फोटो पोस्ट की। // 3. मैंने अपडेट पोस्ट कर दिया है।
Pray / Prayed / Prayed,Day 33,Beginner,பிரார்த்தனை செய் / செய்தேன் / செய்திருக்கிறேன்,प्रार्थना करना / की / कर चुका,1. I pray every day. // 2. She prayed for him. // 3. I have prayed to God.,1. நான் தினமும் பிரார்த்தனை செய்கிறேன். // 2. அவள் அவருக்காகப் பிரார்த்தனை செய்தாள். // 3. நான் கடவுளிடம் வேண்டிக்கொண்டேன்.,1. मैं रोज़ प्रार्थना करता हूँ। // 2. उसने उसके लिए प्रार्थना की। // 3. मैं भगवान से प्रार्थना कर चुका हूँ।
Promise / Promised / Promised,Day 34,Beginner,வாக்குறுதி அளி / அளித்தேன் / அளித்துள்ளேன்,वादा करना / वादा किया / वादा कर चुका,1. I promise to help. // 2. He promised me. // 3. I have promised to go.,1. நான் உதவுவதாக உறுதியளிக்கிறேன். // 2. அவர் எனக்கு வாக்குறுதி அளித்தார். // 3. நான் செல்வதாக உறுதியளித்துள்ளேன்.,1. मैं मदद करने का वादा करता हूँ। // 2. उसने मुझसे वादा किया। // 3. मैंने जाने का वादा किया है।
Protect / Protected / Protected,Day 34,Beginner,பாதுகா / பாதுகாத்தேன் / பாதுகாத்துள்ளேன்,रक्षा करना / रक्षा की / रक्षा कर चुका,1. I protect the environment. // 2. He protected the child. // 3. I have protected my data.,1. நான் சுற்றுச்சூழலைப் பாதுகாக்கிறேன். // 2. அவர் குழந்தையைப் பாதுகாத்தார். // 3. நான் எனது தரவைப் பாதுகாத்துள்ளேன்.,1. मैं पर्यावरण की रक्षा करता हूँ। // 2. उसने बच्चे की रक्षा की। // 3. मैंने अपने डेटा को सुरक्षित रखा है।
Prove / Proved / Proven,Day 34,Beginner,நிரூபி / நிரூபித்தேன் / நிரூபித்துள்ளேன்,साबित करना / साबित किया / साबित कर चुका,1. I prove my point. // 2. He proved it wrong. // 3. I have proven my worth.,1. நான் எனது கருத்தை நிரூபிக்கிறேன். // 2. அவர் அது தவறு என்று நிரூபித்தார். // 3. நான் எனது திறமையை நிரூபித்துள்ளேன்.,1. मैं अपनी बात साबित करता हूँ। // 2. उसने इसे गलत साबित कर दिया। // 3. मैंने अपनी योग्यता साबित कर दी है।
Provide / Provided / Provided,Day 34,Beginner,வழங்கு / வழங்கினேன் / வழங்கியுள்ளேன்,प्रदान करना / प्रदान किया / प्रदान कर चुका,1. I provide food. // 2. He provided shelter. // 3. I have provided the details.,1. நான் உணவு வழங்குகிறேன். // 2. அவர் தங்குமிடம் வழங்கினார். // 3. நான் விவரங்களை வழங்கியுள்ளேன்.,1. मैं भोजन प्रदान करता हूँ। // 2. उसने आश्रय प्रदान किया। // 3. मैंने विवरण प्रदान कर दिया है।
