Day Number,Difficulty,English,Tamil (தமிழ்),Hindi (हिंदी)
Day 38,beginner.,Think positive.,நேர்மறையாக சிந்தியுங்கள். (Nermaraiyaga sindhiyungal.),सकारात्मक सोचें। (Sakaaraatmak sochein.)
Day 38,beginner.,I am proud of you.,நான் உங்களை நினைத்து பெருமைப்படுகிறேன். (Naan ungalai ninaithu perumaipadugiren.),मुझे आप पर गर्व है। (Mujhe aap par garv hai.)
Day 38,beginner.,Any news?,ஏதாவது செய்தியா? (Edhavadhu seidhiya?),कोई खबर? (Koi khabar?)
Day 38,beginner.,No news.,செய்தி ஒன்றும் இல்லை. (Seidhi ondrum illai.),कोई खबर नहीं। (Koi khabar nahi.)
Day 39,beginner.,Call me back.,எனக்கு திரும்ப கூப்பிடுங்க. (Enakku thirumba kooppidunga.),मुझे वापस फ़ोन करना। (Mujhe waapas phone karna.)
Day 39,beginner.,I will call you.,நான் உங்களை கூப்பிடுறேன். (Naan ungalai kooppiduren.),मैं आपको कॉल करूँगा। (Mein aapko call karunga.)
Day 39,beginner.,Are you there?,அங்க இருக்கீங்களா? (Anga irukkeengala?),क्या आप वहाँ हैं? (Kya aap wahan hain?)
Day 39,beginner.,"Yes, I am here.","ஆமா, நான் இங்க தான் இருக்கேன். (Aama, naan inga dhaan irukken.)","हाँ, मैं यहाँ हूँ। (Haan, mein yahan hoon.)"
Day 39,beginner.,What's new?,புதுசா என்ன விஷயம்? (Pudhusa enna vishayam?),नया क्या है? (Naya kya hai?)
Day 40,beginner.,Nothing much.,பெருசா ஒன்னும் இல்ல. (Perusa onnum illa.),ज़्यादा कुछ नहीं। (Zyaada kuch nahi.)
Day 40,beginner.,It's my pleasure.,இது என் மகிழ்ச்சி. (Idhu en magizhchi.),यह मेरा सौभाग्य है। (Yeh mera saubhagya hai.)
Day 40,beginner.,Take it easy.,லேசா எடுத்துக்கோங்க. (Lesaa eduthukkonga.),आराम से। (Aaram se.)
Day 40,beginner.,Have fun!,சந்தோஷமா இருங்க! (Sandhoshama irunga!),मजे करो! (Maze karo!)
Day 40,beginner.,Good to see you.,உங்களை பார்த்ததுல மகிழ்ச்சி. (Ungala paarthadhula magizhchi.),आपको देखकर अच्छा लगा। (Aapko dekhkar accha laga.)
Day 41,beginner.,Is there a bank nearby?,பக்கத்துல வங்கி இருக்கா? (Pakkathula vangi irukka?),क्या पास में कोई बैंक है? (Kya paas mein koi bank hai?)
Day 41,beginner.,How far is the airport?,விமான நிலையம் எவ்வளவு தூரம்? (Vimana nilayam evvalavu dhooram?),एयरपोर्ट कितनी दूर है? (Airport kitni door hai?)
Day 41,beginner.,Which bus goes to...?,எந்த பஸ் ...-க்கு போகும்? (Endha bus ...-ku pogum?),कौन सी बस ... जाती है? (Kaun si bus ... jaati hai?)
Day 41,beginner.,I want a ticket.,எனக்கு ஒரு டிக்கெட் வேணும். (Enakku oru ticket venum.),मुझे एक टिकट चाहिए। (Mujhe ek ticket chahiye.)
Day 41,beginner.,Keep the change.,மீதி சில்லறையை வச்சுக்கோங்க. (Meedhi sillaraiyai vachukkonga.),छुट्टा आप रख लीजिये। (Chutta aap rakh lijiye.)
Day 42,beginner.,Where is the entrance?,நுழைவாயில் எங்கே? (Nuzhaivayil enge?),प्रवेश द्वार कहाँ है? (Pravesh dwar kahan hai?)
Day 42,beginner.,Where is the exit?,வெளியேறும் வழி எங்கே? (Veliye-rum vazhi enge?),निकास द्वार कहाँ है? (Nikas dwar kahan hai?)
Day 42,beginner.,Can you show me on the map?,மேப்-ல காட்ட முடியுமா? (Map-la kaatta mudiyuma?),क्या आप मुझे मैप पर दिखा सकते हैं? (Kya aap mujhe map par dikha sakte hain?)
Day 42,beginner.,I am looking for a hotel.,நான் ஒரு ஹோட்டல் தேடுறேன். (Naan oru hotel theduren.),मैं एक होटल ढूँढ रहा हूँ। (Mein ek hotel dhoondh raha hoon.)
Day 42,beginner.,Is this seat taken?,இந்த சீட் காலியா இருக்கா? (Indha seat kaaliya irukka?),क्या यह सीट खाली है? (Kya yeh seat khaali hai?)
Day 43,beginner.,May I sit here?,நான் இங்கே உட்காரலாமா? (Naan inge utkaaralaama?),क्या मैं यहाँ बैठ सकता हूँ? (Kya mein yahan baith sakta hoon?)
Day 43,beginner.,Could you take a photo?,ஒரு போட்டோ எடுக்க முடியுமா? (Oru photo edukka mudiyuma?),क्या आप एक फोटो ले सकते हैं? (Kya aap ek photo le sakte hain?)
Day 43,beginner.,Where can I find a taxi?,டாக்ஸி எங்கே கிடைக்கும்? (Taxi enge kidaikkum?),टैक्सी कहाँ मिलेगी? (Taxi kahan milegi?)
Day 43,beginner.,Take the next left.,அடுத்த இடதுபுறம் திரும்புங்க. (Adutha idadhupuram thirumbunga.),अगला बायाँ मोड़ लीजिये। (Agla baaya mod lijiye.)
Day 43,beginner.,It is on the right side.,அது வலது பக்கத்துல இருக்கு. (Adhu valadhu pakkathula irukku.),वह दाईं ओर है। (Woh dai or hai.)
Day 44,beginner.,Go past the school.,பள்ளிக்கூடத்தை தாண்டி போங்க. (Pallikkoodathai thaandi ponga.),स्कूल के आगे जाइये। (School ke aage jaiye.)
Day 44,beginner.,Cross the road.,ரோட்டை கிராஸ் பண்ணுங்க. (Road-ai cross pannunga.),सड़क पार करें। (Sadak paar karein.)
Day 44,beginner.,Is it safe here?,இங்கே பாதுகாப்பா இருக்குமா? (Inge paadhugaappa irukkuma?),क्या यहाँ सुरक्षित है? (Kya yahan surakshit hai?)
Day 44,beginner.,I need an umbrella.,எனக்கு ஒரு குடை வேணும். (Enakku oru kudai venum.),मुझे एक छाता चाहिए। (Mujhe ek chhata chahiye.)
Day 44,beginner.,Can you lower the volume?,சத்தத்தை குறைக்க முடியுமா? (Sathathai kuraikka mudiyuma?),क्या आप आवाज़ कम कर सकते हैं? (Kya aap awaaz kam kar sakte hain?)
Day 45,beginner.,Can you turn it up?,சத்தத்தை கூட்ட முடியுமா? (Sathathai kootta mudiyuma?),क्या आप आवाज़ बढ़ा सकते हैं? (Kya aap awaaz badha sakte hain?)
Day 45,beginner.,I want to change this.,இதை மாற்ற வேண்டும். (Idhai maatra vendum.),मैं इसे बदलना चाहता हूँ। (Mein ise badalna chahta hoon.)
Day 45,beginner.,Is there Wi-Fi here?,இங்கே வைஃபை இருக்கா? (Inge Wi-Fi irukka?),क्या यहाँ वाई-फाई है? (Kya yahan wi-fi hai?)
Day 45,beginner.,What is the password?,பாஸ்வேர்ட் என்ன? (Password enna?),पासवर्ड क्या है? (Password kya hai?)
Day 45,beginner.,My phone is not working.,என் போன் வேலை செய்யல. (En phone velai seiyala.),मेरा फ़ोन काम नहीं कर रहा है। (Mera phone kaam nahi kar raha hai.)
Day 46,beginner.,I need a charger.,எனக்கு ஒரு சார்ஜர் வேணும். (Enakku oru charger venum.),मुझे एक चार्जर चाहिए। (Mujhe ek charger chahiye.)
Day 46,beginner.,Where is the elevator?,லிஃப்ட் எங்கே இருக்கு? (Lift enge irukku?),लिफ्ट कहाँ है? (Lift kahan hai?)
Day 46,beginner.,Use the stairs.,படிக்கட்டை பயன்படுத்துங்க. (Padikkattai payanpaduthunga.),सीढ़ियों का इस्तेमाल करें। (Seedhiyon ka istemal karein.)
Day 46,beginner.,Is water free?,தண்ணீர் இலவசமா? (Thanneer ilavasama?),क्या पानी मुफ्त है? (Kya paani muft hai?)
Day 46,beginner.,I am in a hurry.,நான் அவசரத்துல இருக்கேன். (Naan avasarathula irukken.),मैं जल्दी में हूँ। (Mein jaldi mein hoon.)
Day 47,beginner.,Please wait for me.,தயவுசெய்து எனக்காக காத்திருங்க. (Thayavu seidhu enakkaaga kaathirunga.),कृपया मेरा इंतज़ार करें। (Kripaya mera intezar karein.)
Day 47,beginner.,Don't forget.,மறந்துடாதீங்க. (Marandhudadheenga.),भूलना मत। (Bhoolna mat.)
Day 47,beginner.,Remind me later.,அப்புறம் ஞாபகப்படுத்துங்க. (Apparam gnabagappaduthunga.),मुझे बाद में याद दिलाना। (Mujhe baad mein yaad dilana.)
Day 47,beginner.,Can I have some more?,இன்னும் கொஞ்சம் கிடைக்குமா? (Innum konjam kidaikkuma?),क्या मुझे थोड़ा और मिल सकता है? (Kya mujhe thoda aur mil sakta hai?)
Day 47,beginner.,It is very cold here.,இங்கே ரொம்ப குளிரா இருக்கு. (Inge romba kulira irukku.),यहाँ बहुत ठंड है। (Yahan bahut thand hai.)
Day 48,beginner.,Switch on the AC.,ஏசியை போடுங்க. (AC-ai podunga.),एसी चला दीजिये। (AC chala dijiye.)
Day 48,beginner.,I am feeling sick.,எனக்கு உடம்பு முடியல. (Enakku udambu mudiyala.),मेरी तबियत ठीक नहीं है। (Meri tabiyat theek nahi hai.)
Day 48,beginner.,Where is the nearest hospital?,பக்கத்துல ஆஸ்பத்திரி எங்க இருக்கு? (Pakkathula hospital enga irukku?),पास का अस्पताल कहाँ है? (Paas ka as अस्पताल kahan hai?)
Day 48,beginner.,Can you call a taxi?,டாக்ஸி கூப்பிட முடியுமா? (Taxi kooppida mudiyuma?),क्या आप टैक्सी बुला सकते हैं? (Kya aap taxi bula sakte hain?)
Day 48,beginner.,How long will it take?,எவ்வளவு நேரம் ஆகும்? (Evvalavu neram aagum?),कितना समय लगेगा? (Kitna samay lagega?)
Day 49,beginner.,Tell me the price.,விலையை சொல்லுங்க. (Vilaiyai sollunga.),दाम बताइये। (Daam bataiye.)
Day 49,beginner.,I don't have enough money.,என்கிட்ட போதுமான பணம் இல்லை. (Enkitta podhumana panam illai.),मेरे पास पर्याप्त पैसे नहीं हैं। (Mere paas paryapt paise nahi hain.)
Day 49,beginner.,Do you accept cards?,கார்டு ஏத்துக்குவீங்களா? (Card ethukkuveengala?),क्या आप कार्ड लेते हैं? (Kya aap card lete hain?)
Day 49,beginner.,Where is the ATM?,ஏடிஎம் எங்கே இருக்கு? (ATM enge irukku?),एटीएम कहाँ है? (ATM kahan hai?)
Day 49,beginner.,It is broken.,இது உடைஞ்சு போச்சு. (Idhu udainju pochu.),यह टूटा हुआ है। (Yeh toota hua hai.)
Day 50,beginner.,Can you fix this?,இதை சரி பண்ண முடியுமா? (Idhai sari panna mudiyuma?),क्या आप इसे ठीक कर सकते हैं? (Kya aap ise theek kar sakte hain?)
Day 50,beginner.,I need to go now.,நான் இப்ப போகணும். (Naan ippa poganum.),मुझे अब जाना होगा। (Mujhe ab jaana hoga.)
Day 50,beginner.,Show me the menu.,மெனுவை காட்டுங்க. (Menu-vai kaattunga.),मेनू दिखाइए। (Menu dikhaiye.)
Day 50,beginner.,Is it spicy?,இது காரமா இருக்குமா? (Idhu kaarama irukkuma?),क्या यह तीखा है? (Kya yeh teekha hai?)
Day 50,beginner.,I want it less spicy.,காரம் கம்மியா வேணும். (Kaaram kammiya venum.),मुझे कम तीखा चाहिए। (Mujhe kam teekha chahiye.)
Day 51,beginner.,I am waking up now.,நான் இப்போதான் எந்திரிக்கிறேன். (Naan ippo dhaan endhirikkiren.),मैं अब जाग रहा हूँ। (Mein ab jaag raha hoon.)
Day 51,beginner.,I need an alarm.,எனக்கு அலாரம் வேணும். (Enakku alarm venum.),मुझे अलार्म चाहिए। (Mujhe alarm chahiye.)
Day 51,beginner.,I am making the bed.,நான் படுக்கையை சரி செய்கிறேன். (Naan padukkaiyai sari seigiren.),मैं बिस्तर ठीक कर रहा हूँ। (Mein bistar theek kar raha hoon.)
Day 51,beginner.,Where is my towel?,என் துண்டு எங்கே? (En thundu enge?),मेरा तौलिया कहाँ है? (Mera tauliya kahan hai?)
Day 51,beginner.,The water is cold.,தண்ணி ஜில்லுனு இருக்கு. (Thanni jillunu irukku.),पानी ठंडा है। (Paani thanda hai.)
Day 52,beginner.,I am combing my hair.,நான் தலை வாரிக்கிறேன். (Naan thalai vaarikkiren.),मैं बाल बना रहा हूँ। (Mein baal bana raha hoon.)
Day 52,beginner.,I am wearing my shoes.,நான் ஷூ போடுறேன். (Naan shoe poduren.),मैं जूते पहन रहा हूँ। (Mein joote pehen raha hoon.)
Day 52,beginner.,I forgot my keys.,சாவியை மறந்துட்டேன். (Saaviyai marandhuten.),मैं चाबियाँ भूल गया। (Mein chabiyan bhool gaya.)
Day 52,beginner.,I am locking the house.,வீட்டை பூட்டுறேன். (Veettai pootturen.),मैं घर बंद कर रहा हूँ। (Mein ghar band kar raha hoon.)
Day 52,beginner.,I am waiting for the bus.,பஸ்க்காக காத்திருக்கிறேன். (Bus-kaaga kaathirukkiren.),मैं बस का इंतज़ार कर रहा हूँ। (Mein bus ka intezar kar raha hoon.)
Day 53,beginner.,It’s a busy road.,இது பரபரப்பான சாலை. (Idhu paraparappana saalai.),यह व्यस्त सड़क है। (Yeh vyast sadak hai.)
Day 53,beginner.,I am checking my mail.,மெயில் செக் பண்றேன். (Mail check panren.),मैं मेल चेक कर रहा हूँ। (Mein mail check kar raha hoon.)
Day 53,beginner.,I have a meeting.,எனக்கு ஒரு மீட்டிங் இருக்கு. (Enakku oru meeting irukku.),मेरी एक मीटिंग है। (Meri ek meeting hai.)
Day 53,beginner.,I am typing.,நான் டைப் பண்றேன். (Naan type panren.),मैं टाइप कर रहा हूँ। (Mein type kar raha hoon.)
Day 53,beginner.,Can you hear me?,நான் பேசுறது கேக்குதா? (Naan pesuradhu kekkudha?),क्या आप मुझे सुन सकते हैं? (Kya aap mujhe sun sakte hain?)
Day 54,beginner.,The internet is slow.,இன்டர்நெட் மெதுவா இருக்கு. (Internet medhuvaa irukku.),इंटरनेट धीमा है। (Internet dheema hai.)
Day 54,beginner.,I am taking a break.,நான் இடைவேளை எடுக்கிறேன். (Naan idaivelai edukkiren.),मैं ब्रेक ले रहा हूँ। (Mein break le raha hoon.)
Day 54,beginner.,I am drinking water.,தண்ணி குடிக்கிறேன். (Thanni kudikkiren.),मैं पानी पी रहा हूँ। (Mein paani pee raha hoon.)
Day 54,beginner.,I am going to the gym.,நான் ஜிம்முக்கு போறேன். (Naan gym-ukku poren.),मैं जिम जा रहा हूँ। (Mein gym ja raha hoon.)
Day 54,beginner.,I am exercising.,நான் உடற்பயிற்சி செய்கிறேன். (Naan udarpayirchi seigiren.),मैं व्यायाम कर रहा हूँ। (Mein vyayam kar raha hoon.)
Day 55,beginner.,I am sweating.,எனக்கு வேர்க்குது. (Enakku verkudhu.),मुझे पसीना आ रहा है। (Mujhe paseena aa raha hai.)
Day 55,beginner.,I am buying groceries.,மளிகை ஜாமான் வாங்குறேன். (Maligai jaamaan vaanguren.),मैं किराने का सामान खरीद रहा हूँ। (Mein kirane ka saman khareed raha hoon.)
Day 55,beginner.,Do you need anything?,உங்களுக்கு ஏதாவது வேணுமா? (Ungalukku edhavadhu venuma?),क्या आपको कुछ चाहिए? (Kya aapko kuch chahiye?)
Day 55,beginner.,I am carrying bags.,நான் பை சுமந்துட்டு போறேன். (Naan pai sumandhuttu poren.),मैं थैले ले जा रहा हूँ। (Mein thaile le ja raha hoon.)
Day 55,beginner.,I am cleaning the dishes.,பாத்திரம் கழுவுறேன். (Paathiram kazhuvuren.),मैं बर्तन धो रहा हूँ। (Mein bartan dho raha hoon.)
Day 56,beginner.,I am mopping the floor.,தரை துடைக்கிறேன். (Tharai thudaikkiren.),मैं पोंछा लगा रहा हूँ। (Mein poncha laga raha hoon.)
Day 56,beginner.,I am watering the plants.,செடிகளுக்கு தண்ணி ஊத்துறேன். (Sedigalukku thanni oothuren.),मैं पौधों को पानी दे रहा हूँ। (Mein paudhon ko paani de raha hoon.)
Day 56,beginner.,I am feeding the dog.,நாய்க்கு சாப்பாடு போடுறேன். (Naaikku saappaadu poduren.),मैं कुत्ते को खाना खिला रहा हूँ। (Mein kutte ko khana khila raha hoon.)
Day 56,beginner.,I am charging my laptop.,லேப்டாப் சார்ஜ் போடுறேன். (Laptop charge poduren.),मैं लैपटॉप चार्ज कर रहा हूँ। (Mein laptop charge kar raha hoon.)
Day 56,beginner.,I am chatting with friends.,நண்பர்களோட பேசுறேன். (Nanbargaloda pesuren.),मैं दोस्तों से बात कर रहा हूँ। (Mein doston se baat kar raha hoon.)
Day 57,beginner.,I am laughing.,நான் சிரிக்கிறேன். (Naan sirikkiren.),मैं हँस रहा हूँ। (Mein hans raha hoon.)
Day 57,beginner.,Don’t make noise.,சத்தம் போடாதீங்க. (Satham podadheenga.),शोर मत करो। (Shor mat karo.)
Day 57,beginner.,I am feeling sleepy.,தூக்கம் சொக்குது. (Thookkam sokkudhu.),मुझे नींद आ रही है। (Mujhe neend aa rahi hai.)
Day 57,beginner.,It is dark outside.,வெளிய இருட்டா இருக்கு. (Veliya iruttaa irukku.),बाहर अंधेरा है। (Bahar andhera hai.)
Day 57,beginner.,I am turning on the light.,லைட் போடுறேன். (Light poduren.),मैं लाइट जला रहा हूँ। (Mein light jala raha hoon.)
Day 58,beginner.,I am yawning.,நான் கொட்டாவி விடுறேன். (Naan kottaavi viduren.),मैं उबासी ले रहा हूँ। (Mein ubasi le raha hoon.)
Day 58,beginner.,I am setting the alarm.,அலாரம் வைக்கிறேன். (Alarm vaikkiren.),मैं अलार्म लगा रहा हूँ। (Mein alarm laga raha hoon.)
Day 58,beginner.,I am wearing pajamas.,நைட்டி/பைஜாமா போடுறேன். (Nighty/Pyjama poduren.),मैं पजामा पहन रहा हूँ। (Mein pajama pehen raha hoon.)
Day 58,beginner.,I am laying down.,நான் படுக்குறேன். (Naan padukkuren.),मैं लेट रहा हूँ। (Mein let raha hoon.)
Day 58,beginner.,It was a long day.,இன்னைக்கு பெரிய நாள். (Innaiku periya naal.),आज का दिन लंबा था। (Aaj ka din lamba tha.)
Day 59,beginner.,I am turning off the phone.,போனை ஆஃப் பண்றேன். (Phone-ai off panren.),मैं फ़ोन बंद कर रहा हूँ। (Mein phone band kar raha hoon.)
Day 59,beginner.,I am closing my eyes.,கண்ணை மூடுறேன். (Kannai mooduren.),मैं आँखें बंद कर रहा हूँ। (Mein aankhein band kar raha hoon.)
Day 59,beginner.,I am dreaming.,நான் கனவு காண்கிறேன். (Naan kanavu kaangiren.),मैं सपना देख रहा हूँ। (Mein sapna dekh raha hoon.)
Day 59,beginner.,I woke up in the night.,நடுராத்திரி முழிப்பு வந்துச்சு. (Naduraathiri muzhippu vandhuchu.),मैं रात को जाग गया। (Mein raat ko jaag gaya.)
Day 59,beginner.,I need more sleep.,எனக்கு இன்னும் தூக்கம் வேணும். (Enakku innum thookkam venum.),मुझे और नींद चाहिए। (Mujhe aur neend chahiye.)
Day 60,beginner.,Today is Sunday.,இன்னைக்கு ஞாயிற்றுக்கிழமை. (Innaiku gnyayitru-kizhamai.),आज रविवार है। (Aaj ravivar hai.)
Day 60,beginner.,I am relaxing.,நான் ஓய்வு எடுக்குறேன். (Naan oivu edukkuren.),मैं आराम कर रहा हूँ। (Mein aaram kar raha hoon.)
Day 60,beginner.,I am going on a trip.,நான் ஊருக்கு போறேன். (Naan oorukku poren.),मैं यात्रा पर जा रहा हूँ। (Mein yatra par ja raha hoon.)
Day 60,beginner.,I am packing my bags.,பேக் பேக் பண்றேன். (Bag pack panren.),मैं बैग पैक कर रहा हूँ। (Mein bag pack kar raha hoon.)
Day 60,beginner.,Good night to all.,எல்லாருக்கும் இனிய இரவு. (Ellarukkum iniya iravu.),सभी को शुभ रात्रि। (Sabhi ko shubh raatri.)
Day 61,beginner.,No way.,வாய்ப்பே இல்லை. (Vaippe illai.),बिल्कुल नहीं। (Bilkul nahi.)
Day 61,beginner.,Let it be.,அது அப்படியே இருக்கட்டும். (Adhu appadiye irukkattum.),रहने दो। (Rehne do.)
Day 61,beginner.,Never mind.,பரவாயில்லை/விடுங்க. (Paravaillai / vidunga.),कोई बात नहीं। (Koi baat nahi.)
Day 61,beginner.,I guess so.,அப்படித்தான் நினைக்கிறேன். (Appadithaan ninaikkiren.),मुझे ऐसा ही लगता है। (Mujhe aisa hi lagta hai.)
Day 61,beginner.,I hope so.,அப்படின்னு நம்புறேன். (Appadinnu namburen.),मुझे ऐसी उम्मीद है। (Mujhe aisi ummeed hai.)
Day 62,beginner.,So what?,அதுக்கென்ன இப்போ? (Adhukkenna ippo?),तो क्या? (To kya?)
Day 62,beginner.,Of course not.,நிச்சயம் இல்லை. (Nichayam illai.),बिल्कुल नहीं। (Bilkul nahi.)
Day 62,beginner.,Keep quiet.,அமைதியா இருங்க. (Amaidhiyaa irunga.),शांत रहो। (Shaant raho.)
Day 62,beginner.,Be careful.,ஜாக்கிரதையா இருங்க. (Jaakkiradhaiyaa irunga.),सावधान रहो। (Saavdhan raho.)
Day 62,beginner.,Move aside.,கொஞ்சம் தள்ளுங்க. (Konjam thallunga.),बगल हटिये। (Bagal hatiye.)
Day 63,beginner.,Go away.,வெளியே போ. (Veliye po.),चले जाओ। (Chale jao.)
Day 63,beginner.,Come fast.,சீக்கிரம் வா. (Seekkiram vaa.),जल्दी आओ। (Jaldi aao.)
Day 63,beginner.,Look out!,கவனி! (Gavani!),ध्यान से! (Dhyan se!)
Day 63,beginner.,Trust me.,என்னை நம்புங்க. (Ennai nambunga.),मुझ पर विश्वास करो। (Mujh par vishwas karo.)
Day 63,beginner.,Don't panic.,பதட்டப்படாதீங்க. (Padhattappadadheenga.),घबराओ मत। (Ghabrao mat.)
Day 64,beginner.,It’s okay.,பரவாயில்லை. (Paravaillai.),ठीक है। (Theek hai.)
Day 64,beginner.,Just a moment.,ஒரு நிமிஷம். (Oru nimisham.),बस एक पल। (Bas ek pal.)
Day 64,beginner.,I am busy.,நான் பிஸியா இருக்கேன். (Naan busy-aa irukkiren.),मैं व्यस्त हूँ। (Mein vyast hoon.)
Day 64,beginner.,Think about it.,யோசிச்சு பாருங்க. (Yosichu paarunga.),इसके बारे में सोचो। (Iske bare mein socho.)
Day 64,beginner.,Don't shout.,கத்தாதீங்க. (Kathadheenga.),चिल्लाओ मत। (Chillao mat.)
Day 65,beginner.,Talk to me.,என்கிட்ட பேசுங்க. (Enkitta pesunga.),मुझसे बात करो। (Mujhse baat karo.)
Day 65,beginner.,Show me.,எனக்கு காட்டுங்க. (Enakku kaattunga.),मुझे दिखाओ। (Mujhe dikhao.)
Day 65,beginner.,Not bad.,மோசம் இல்லை. (Mosam illai.),बुरा नहीं है। (Bura nahi hai.)
Day 65,beginner.,Too late.,ரொம்ப லேட். (Romba late.),बहुत देर हो गई। (Bahut der ho gayi.)
Day 65,beginner.,Too early.,ரொம்ப சீக்கிரம். (Romba seekkiram.),बहुत जल्दी है। (Bahut jaldi hai.)
Day 66,beginner.,My mistake.,என் தப்புதான். (En thappu dhaan.),मेरी गलती है। (Meri galti hai.)
Day 66,beginner.,No doubt.,சந்தேகமே இல்லை. (Sandhegame illai.),कोई शक नहीं। (Koi shak nahi.)
Day 66,beginner.,Cheer up!,உற்சாகமா இருங்க! (Ursaagamaa irunga!),खुश हो जाओ! (Khush ho jao!)
Day 66,beginner.,Let's try.,முயற்சி செய்யலாம். (Muyarchi seiyalaam.),चलो कोशिश करते हैं। (Chalo koshish karte hain.)
Day 66,beginner.,I promise.,நான் சத்தியம் பண்றேன். (Naan sathiyam panren.),मैं वादा करता हूँ। (Mein wada karta hoon.)
Day 67,beginner.,Don't touch.,தொடாதீங்க. (Thodadheenga.),छुओ मत। (Chhuo mat.)
Day 67,beginner.,Stand still.,அசையாம நில்லுங்க. (Asaiyaama nillunga.),सीधे खड़े रहो। (Seedhe khade raho.)
Day 67,beginner.,Keep going.,தொடர்ந்து செய்யுங்க. (Thodarndhu seiyunga.),जारी रखो। (Jaari rakho.)
Day 67,beginner.,Almost there.,இதோ வந்துட்டோம். (Idho vandhuttom.),बस पहुँच गए। (Bas pahunch gaye.)
Day 67,beginner.,See you soon.,சீக்கிரம் பார்க்கலாம். (Seekkiram paarkalam.),जल्द मिलते हैं। (Jald milte hain.)
Day 68,beginner.,Text me.,மெசேஜ் பண்ணுங்க. (Message pannunga.),मुझे मैसेज करना। (Mujhe message karna.)
Day 68,beginner.,Any help?,ஏதாவது உதவி வேணுமா? (Edhavadhu udhavi venuma?),कोई मदद? (Koi madad?)
Day 68,beginner.,That's great!,அது சூப்பர்! (Adhu super!),यह तो बहुत अच्छा है! (Yeh to bahut accha hai!)
Day 68,beginner.,What a surprise!,என்ன ஒரு ஆச்சரியம்! (Enna oru aachariyam!),क्या सरप्राइज है! (Kya surprise hai!)
Day 68,beginner.,Well said.,சரியா சொன்னீங்க. (Sariya sonneenga.),सही कहा। (Sahi kaha.)
Day 69,beginner.,Forget it.,அதை விடுங்க. (Adhai vidunga.),रहने भी दो। (Rehne bhi do.)
Day 69,beginner.,No idea.,ஒரு ஐடியாவும் இல்லை. (Oru idea-vum illai.),कोई अंदाज़ा नहीं। (Koi andaza nahi.)
Day 69,beginner.,Exactly.,சரியாக சொன்னீர்கள். (Sariyaaga sonneergal.),बिल्कुल सही। (Bilkul sahi.)
Day 69,beginner.,Carry on.,தொடருங்க. (Thodarunga.),लगे रहो। (Lage raho.)
Day 69,beginner.,Time’s up.,நேரம் முடிந்தது. (Neram mudindhadhu.),समय समाप्त। (Samay samapt.)
Day 70,beginner.,Help yourself.,நீங்களே எடுத்துக்கோங்க. (Neengale eduthukkonga.),खुद ले लीजिये। (Khud le lijiye.)
Day 70,beginner.,Best of luck.,நல்வாழ்த்துக்கள். (Nalvaazhthukkal.),भाग्य आपका साथ दे। (Bhagya aapka saath de.)
Day 70,beginner.,Where is the pharmacy?,மருந்தகம் எங்கே இருக்கிறது?,फार्मेसी कहाँ है? (Pharmacy kahan hai?)
Day 70,beginner.,I need some water.,எனக்கு கொஞ்சம் தண்ணீர் வேண்டும்.,मुझे थोड़ा पानी चाहिए। (Mujhe thoda paani chahiye.)
Day 70,beginner.,I am going home.,நான் வீட்டுக்குச் செல்கிறேன்.,मैं घर जा रहा हूँ। (Main ghar ja raha hoon.)
Day 71,beginner.,Close the window.,ஜன்னலை மூடவும்.,खिड़की बंद करो। (Khidki band karo.)
Day 71,beginner.,Sit down here.,இங்கே உட்காருங்கள்.,यहाँ बैठो। (Yahan baitho.)
Day 71,beginner.,Stand up slowly.,மெதுவாக எழுந்து நில்லுங்கள்.,धीरे से खड़े हो जाओ। (Dheere se khade ho jao.)
Day 71,beginner.,Don't make noise.,சத்தம் போடாதீர்கள்.,शोर मत मचाओ। (Shor mat machao.)
Day 71,beginner.,I like this color.,எனக்கு இந்த நிறம் பிடிக்கும்.,मुझे यह रंग पसंद है। (Mujhe yeh rang pasand hai.)
Day 72,beginner.,Give me a pen.,எனக்கு ஒரு பேனா கொடுங்கள்.,मुझे एक पेन दो। (Mujhe ek pen do.)
Day 72,beginner.,Take your bag.,உங்கள் பையை எடுத்துக் கொள்ளுங்கள்.,अपना बैग लो। (Apna bag lo.)
Day 72,beginner.,Brush your teeth.,உங்கள் பற்களை துலக்குங்கள்.,अपने दांत साफ करें। (Apne daant saaf karen.)
Day 72,beginner.,Who is that?,அது யார்?,वह कौन है? (Wah kaun hai?)
Day 72,beginner.,This is my friend.,இது என் நண்பர்.,यह मेरा दोस्त है। (Yeh mera dost hai.)
Day 73,beginner.,Are you happy?,நீங்கள் மகிழ்ச்சியாக இருக்கிறீர்களா?,क्या आप खुश हैं? (Kya aap khush hain?)
Day 73,beginner.,I am very tired.,நான் மிகவும் சோர்வாக இருக்கிறேன்.,मैं बहुत थक गया हूँ। (Main bahut thak gaya hoon.)
Day 73,beginner.,Let’s go out.,நாம் வெளியே செல்வோம்.,चलो बाहर चलते हैं। (Chalo baahar chalte hain.)
Day 73,beginner.,It is ten o'clock.,இப்பொழுது மணி பத்து.,दस बजे हैं। (Das baje hain.)
Day 73,beginner.,Come quickly.,சீக்கிரம் வாருங்கள்.,जल्दी आओ। (Jaldi aao.)
