English (V1/V2/V3),Day Number,Difficulty Level,Tamil (Infinitive/Past/Perfect),Hindi (Infinitive/Past/Perfect),English Examples (V1 // V2 // V3),Tamil Examples (V1 // V2 // V3),Hindi Examples (V1 // V2 // V3)
Deflate / Deflated / Deflated,Day 39,Intermediate,காற்றை வெளியேற்று / ஏற்றினேன் / ஏற்றியுள்ளேன்,हवा निकालना / निकाली / निकाल चुका,1. Deflate the tire. // 2. It deflated. // 3. I have deflated it.,1. டயரை இறக்கிவிடு (காற்று). // 2. அது காற்றிறங்கியது. // 3. நான் காற்றை இறக்கினேன்.,1. टायर की हवा निकालें। // 2. इसकी हवा निकल गई। // मैंने हवा निकाल दी है।
Deflect / Deflected / Deflected,Day 40,Intermediate,திசைதிருப்பு / திருப்பினேன் / திருப்பியுள்ளேன்,मोड़ना / मोड़ा / मोड़ चुका,1. Deflect the light. // 2. It deflected away. // 3. It was deflected.,1. ஒளியைத் திருப்பு. // 2. அது திசை மாறியது. // 3. அது திசை திருப்பப்பட்டது.,1. प्रकाश को मोड़ें। // 2. यह मुड़ गया। // इसे मोड़ दिया गया था।
Deform / Deformed / Deformed,Day 40,Intermediate,உருமாற்று / மாற்றினேன் / மாற்றியுள்ளேன்,विकृत करना / किया / कर चुका,1. Heat deforms it. // 2. It deformed. // 3. It has deformed.,1. வெப்பம் அதை உருக்குலைக்கும். // 2. அது உருக்குலைந்தது. // 3. அது உருக்குலைந்துவிட்டது.,1. गर्मी इसे विकृत कर देती है। // 2. यह विकृत हो गया। // यह विकृत हो चुका है।
Defy / Defied / Defied,Day 40,Intermediate,எதிர்த்து நில் / நின்றேன் / நின்றுள்ளேன்,अवज्ञा करना / की / कर चुका,1. Defy the law. // 2. He defied me. // 3. They have defied.,1. சட்டத்தை மீறு. // 2. அவர் என்னை எதிர்த்தார். // 3. அவர்கள் எதிர்த்தனர்.,1. कानून की अवज्ञा करें। // 2. उसने मुझे चुनौती दी। // उन्होंने अवज्ञा की है।
Degrade / Degraded / Degraded,Day 40,Intermediate,தரம் தாழ்த்து / தாழ்த்தினேன் / தாழ்த்தியுள்ளேன்,अपमानित करना / किया / कर चुका,1. Don't degrade. // 2. It degraded fast. // 3. He was degraded.,1. தரம் குறைக்காதே. // 2. அது வேகமாகச் சீரழிந்தது. // 3. அவர் தரம் தாழ்த்தப்பட்டார்.,1. अपमानित न करें। // 2. यह जल्दी खराब हो गया। // उसे अपमानित किया गया था।
Delay / Delayed / Delayed,Day 40,Intermediate,தாமதப்படுத்து / படுத்தினேன் / படுத்தியுள்ளேன்,विलंब करना / किया / कर चुका,1. Delay the start. // 2. He delayed us. // 3. It was delayed.,1. தொடங்குவதைத் தாமதப்படுத்து. // 2. அவர் எங்களைத் தாமதப்படுத்தினார். // 3. அது தாமதமானது.,1. शुरू करने में देरी करें। // 2. उसने हमें देर करा दी। // इसमें देरी हुई थी।
Delegate / Delegated / Delegated,Day 41,Intermediate,பிரதிநிதித்துவப்படுத்து / படுத்தினேன் / படுத்தியுள்ளேன்,प्रतिनिधि चुनना / चुना / चुका,1. Delegate the work. // 2. She delegated it. // 3. I have delegated.,1. வேலையை ஒப்படைக்கவும். // 2. அவள் அதை ஒப்படைத்தாள். // 3. நான் ஒப்படைத்துள்ளேன்.,1. काम सौंपें। // 2. उसने इसे सौंपा। // 3. मैंने सौंप दिया है।
Delete / Deleted / Deleted,Day 41,Intermediate,நீக்கு / நீக்கினேன் / நீக்கியுள்ளேன்,मिटाना / मिटाया / मिटा चुका,1. Delete the file. // 2. He deleted it. // 3. It is deleted.,1. கோப்பை நீக்கவும். // 2. அவர் அதை நீக்கினார். // 3. அது நீக்கப்பட்டது.,1. फ़ाइल हटाएं। // 2. उसने इसे हटा दिया। // 3. यह हटा दिया गया है।
Deliberate / Deliberated / Deliberated,Day 41,Intermediate,ஆலோசி / ஆலோசித்தேன் / ஆலோசித்துள்ளேன்,विचार-विमर्श करना / किया / चुका,1. Deliberate the issue. // 2. They deliberated. // 3. We have deliberated.,1. விவகாரத்தை ஆலோசி. // 2. அவர்கள் ஆலோசித்தனர். // 3. நாங்கள் ஆலோசித்துள்ளோம்.,1. मुद्दे पर विचार करें। // 2. उन्होंने विचार किया। // 3. हमने विचार किया है।
Delight / Delighted / Delighted,Day 41,Intermediate,மகிழ்ச்சியூட்டு / ஊட்டினேன் / ஊட்டியுள்ளேன்,आनंदित करना / किया / कर चुका,1. It delights me. // 2. It delighted her. // 3. You have delighted us.,1. அது எனக்கு மகிழ்ச்சியளிக்கிறது. // 2. அது அவளை மகிழ்வித்தது. // 3. நீங்கள் எங்களை மகிழ்வித்தீர்கள்.,1. यह मुझे खुश करता है। // 2. इसने उसे खुश किया। // 3. आपने हमें खुश किया है।
Deliver / Delivered / Delivered,Day 41,Intermediate,விநியோகி / யோகித்தேன் / யோகித்துள்ளேன்,पहुँचाना / पहुँचाया / पहुँचा चुका,1. Deliver the mail. // 2. He delivered it. // 3. I have delivered.,1. தபாலை விநியோகி. // 2. அவர் அதை வழங்கினார். // 3. நான் வழங்கியுள்ளேன்.,1. मेल पहुँचाएं। // 2. उसने इसे पहुँचाया। // 3. मैंने पहुँचा दिया है।
Demolish / Demolished / Demolished,Day 42,Intermediate,இடி / இடித்தேன் / இடித்துள்ளேன்,ध्वस्त करना / किया / कर चुका,1. Demolish the wall. // 2. They demolished it. // 3. It was demolished.,1. சுவரை இடிக்கவும். // 2. அவர்கள் அதை இடித்தார்கள். // 3. அது இடிக்கப்பட்டது.,1. दीवार गिरा दो। // 2. उन्होंने इसे ढहा दिया। // 3. इसे गिरा दिया गया था।
Demonstrate / Demonstrated / Demonstrated,Day 42,Intermediate,செய்துகாட்டு / காட்டினேன் / காட்டியுள்ளேன்,प्रदर्शन करना / किया / कर चुका,1. Demonstrate the tool. // 2. He demonstrated it. // 3. I have demonstrated.,1. கருவியை விளக்கு. // 2. அவர் அதை விளக்கினார். // 3. நான் விளக்கிக் காட்டினேன்.,1. उपकरण का प्रदर्शन करें। // 2. उसने इसका प्रदर्शन किया। // 3. मैंने प्रदर्शन किया है।
Denounce / Denounced / Denounced,Day 42,Intermediate,பகிரங்கமாக கண்டி / கண்டித்தேன் / கண்டித்துள்ளேன்,आरोप लगाना / लगाया / लगा चुका,1. Denounce the act. // 2. They denounced it. // 3. We have denounced.,1. செயலைக் கண்டிக்கவும். // 2. அவர்கள் அதைக் கண்டித்தனர். // 3. நாங்கள் கண்டித்துள்ளோம்.,1. कृत्य की निंदा करें। // 2. उन्होंने इसकी निंदा की। // 3. हमने निंदा की है।
Depart / Departed / Departed,Day 42,Intermediate,புறப்படு / புறப்பட்டேன் / புறப்பட்டுள்ளேன்,प्रस्थान करना / किया / कर चुका,1. Depart now. // 2. The train departed. // 3. He has departed.,1. புறப்படு. // 2. ரயில் புறப்பட்டது. // 3. அவர் புறப்பட்டுவிட்டார்.,1. प्रस्थान करें। // 2. ट्रेन रवाना हुई। // 3. वह प्रस्थान कर चुका है।
Depend / Depended / Depended,Day 42,Intermediate,சார்ந்திரு / சார்ந்திருந்தேன் / சார்ந்துள்ளேன்,निर्भर होना / था / हो चुका,1. Depend on me. // 2. He depended on it. // 3. I have depended.,1. என்னைச் சார்ந்து இரு. // 2. அவர் அதைச் சார்ந்திருந்தார். // 3. நான் சார்ந்திருந்தேன்.,1. मुझ पर निर्भर रहें। // 2. वह इस पर निर्भर था। // 3. मैं निर्भर रहा हूँ।
Depict / Depicted / Depicted,Day 43,Intermediate,சித்தரி / சித்தரித்தேன் / சித்தரித்துள்ளேன்,चित्रित करना / किया / कर चुका,1. Depict the scene. // 2. It depicted history. // 3. I have depicted.,1. காட்சியைச் சித்தரி. // 2. அது வரலாற்றைச் சித்தரித்தது. // 3. நான் சித்தரித்துள்ளேன்.,1. दृश्य का चित्रण करें। // 2. इसने इतिहास को दर्शाया। // 3. मैंने चित्रण किया है।
Deplore / Deplored / Deplored,Day 43,Intermediate,வருந்து / வருந்தினேன் / வருந்தியுள்ளேன்,विलाप करना / किया / कर चुका,1. Deplore the loss. // 2. They deplored it. // 3. We have deplored.,1. இழப்புக்கு வருந்து. // 2. அவர்கள் வருந்தினார்கள். // 3. நாங்கள் வருந்தினோம்.,1. नुकसान पर खेद जताएं। // 2. उन्होंने खेद जताया। // 3. हमने खेद जताया है।
Deposit / Deposited / Deposited,Day 43,Intermediate,வைப்பு செய் / செய்தேன் / செய்துள்ளேன்,जमा करना / किया / कर चुका,1. Deposit the money. // 2. He deposited it. // 3. I have deposited.,1. பணத்தைச் செலுத்து. // 2. அவர் அதைச் செலுத்தினார். // 3. நான் செலுத்தினேன்.,1. पैसा जमा करें। // 2. उसने जमा किया। // 3. मैंने जमा कर दिया है।
Deprave / Depraved / Depraved,Day 43,Intermediate,கெடு / கெடுத்தேன் / கெடுத்துள்ளேன்,भ्रष्ट करना / किया / कर चुका,1. Power depraves. // 2. It depraved him. // 3. He was depraved.,1. அதிகாரம் சீரழிக்கும். // 2. அது அவரைச் சீரழித்தது. // 3. அவர் சீரழிந்தார்.,1. सत्ता भ्रष्ट करती है। // 2. इसने उसे भ्रष्ट किया। // 3. वह भ्रष्ट था।
Depress / Depressed / Depressed,Day 43,Intermediate,மனச்சோர்வடை / அடைந்தேன் / அடைந்துள்ளேன்,उदास करना / किया / कर चुका,1. It depresses me. // 2. It depressed him. // 3. I was depressed.,1. அது என்னைச் சோர்வடையச் செய்கிறது. // 2. அது அவரைச் சோர்வடையச் செய்தது. // 3. நான் சோர்வடைந்தேன்.,1. यह मुझे उदास करता है। // 2. इसने उसे उदास किया। // 3. मैं उदास था।
Deprive / Deprived / Deprived,Day 44,Intermediate,பறி / பறித்தேன் / பறித்துள்ளேன்,वंचित करना / किया / कर चुका,1. Don't deprive him. // 2. It deprived me. // 3. They were deprived.,1. அவரை வஞ்சிக்காதே. // 2. அது என் உரிமையைப் பறித்தது. // 3. அவர்கள் வஞ்சிக்கப்பட்டனர்.,1. उसे वंचित न करें। // 2. इसने मुझे वंचित किया। // 3. वे वंचित थे।
Derive / Derived / Derived,Day 44,Intermediate,பெறு / பெற்றேன் / பெற்றுள்ளேன்,प्राप्त करना / किया / कर चुका,1. Derive the formula. // 2. He derived it. // 3. It is derived.,1. சூத்திரத்தைப் பெறவும். // 2. அவர் அதைப் பெற்றார். // 3. அது பெறப்பட்டது.,1. सूत्र प्राप्त करें। // 2. उसने इसे प्राप्त किया। // 3. यह प्राप्त किया गया है।
Descend / Descended / Descended,Day 44,Intermediate,இறங்கு / இறங்கினேன் / இறங்கியுள்ளேன்,उतरना / उतरा / उतर चुका,1. Descend the stairs. // 2. He descended. // 3. We have descended.,1. படிக்கட்டில் இறங்கு. // 2. அவர் இறங்கினார். // 3. நாங்கள் இறங்கினோம்.,1. सीढ़ियों से नीचे उतरें। // 2. वह नीचे उतरा। // 3. हम नीचे उतर चुके हैं।
Describe / Described / Described,Day 44,Intermediate,விவரி / விவரித்தேன் / விவரித்துள்ளேன்,वर्णन करना / किया / कर चुका,1. Describe the car. // 2. He described it. // 3. I have described.,1. காரை விவரி. // 2. அவர் அதை விவரித்தார். // 3. நான் விவரித்துள்ளேன்.,1. कार का वर्णन करें। // 2. उसने इसका वर्णन किया। // 3. मैंने वर्णन किया है।
Desert / Deserted / Deserted,Day 44,Intermediate,கைவிடு / கைவிட்டேன் / கைவிட்டுள்ளேன்,त्यागना / त्यागा / त्याग चुका,1. Don't desert them. // 2. He deserted it. // 3. They have deserted.,1. அவர்களைக் கைவிடாதே. // 2. அவர் அதைக் கைவிட்டார். // 3. அவர்கள் கைவிட்டனர்.,1. उन्हें न छोड़ें। // 2. उसने इसे छोड़ दिया। // 3. उन्होंने छोड़ दिया है।
Deserve / Deserved / Deserved,Day 45,Intermediate,தகுதியாயிரு / இருந்தேன் / இருந்துள்ளேன்,योग्य होना / था / हो चुका,1. You deserve it. // 2. He deserved it. // 3. We have deserved.,1. நீ இதற்குத் தகுதியானவன். // 2. அவர் அதற்குத் தகுதியானவர். // 3. நாங்கள் தகுதியானவர்கள்.,1. आप इसके हकदार हैं। // 2. वह इसके हकदार थे। // 3. हम हकदार रहे हैं।
Design / Designed / Designed,Day 45,Intermediate,வடிவமை / அமைத்தேன் / அமைத்துள்ளேன்,योजना बनाना / बनाई / बना चुका,1. Design a logo. // 2. She designed it. // 3. I have designed.,1. சின்னத்தை வடிவமை. // 2. அவள் அதை வடிவமைத்தாள். // 3. நான் வடிவமைத்தேன்.,1. लोगो डिज़ाइन करें। // 2. उसने डिज़ाइन किया। // 3. मैंने डिज़ाइन किया है।
Desire / Desired / Desired,Day 45,Intermediate,விரும்பு / விரும்பினேன் / விரும்பியுள்ளேன்,इच्छा करना / की / कर चुका,1. I desire peace. // 2. He desired it. // 3. It was desired.,1. அமைதியை விரும்பு. // 2. அவர் அதை விரும்பினார். // 3. அது விரும்பப்பட்டது.,1. शांति की इच्छा करें। // 2. उसने इसकी इच्छा की। // 3. इसकी इच्छा की गई थी।
Despair / Despaired / Despaired,Day 45,Intermediate,நம்பிக்கையிழு / இழந்தேன் / இழந்துள்ளேன்,निराश होना / हुआ / हो चुका,1. Don't despair. // 2. He despaired. // 3. I have despaired.,1. நம்பிக்கையிழக்காதே. // 2. அவர் நம்பிக்கையிழந்தார். // 3. நான் நம்பிக்கையிழந்தேன்.,1. निराश न हों। // 2. वह निराश हुआ। // 3. मैं निराश हुआ हूँ।
Detach / Detached / Detached,Day 45,Intermediate,பிரி / பிரித்தேன் / பிரித்துள்ளேன்,अलग करना / किया / कर चुका,1. Detach the sheet. // 2. He detached it. // 3. It is detached.,1. தாளைப் பிரி. // 2. அவர் அதைப் பிரித்தார். // 3. அது பிரிக்கப்பட்டது.,1. शीट को अलग करें। // 2. उसने इसे अलग किया। // 3. यह अलग हो गया है।
Detect / Detected / Detected,Day 46,Intermediate,கண்டுபிடி / பிடித்தேன் / பிடித்துள்ளேன்,पता लगाना / लगाया / लगा चुका,1. Detect the error. // 2. It detected smoke. // 3. I have detected.,1. பிழையைக் கண்டறி. // 2. அது புகையைக் கண்டறிந்தது. // 3. நான் கண்டறிந்தேன்.,1. त्रुटि का पता लगाएं। // 2. इसने धुएँ का पता लगाया। // 3. मैंने पता लगा लिया है।
Deter / Deterred / Deterred,Day 46,Intermediate,தடுத்து நிறுத்து / நிறுத்தினேன் / நிறுத்தியுள்ளேன்,रोकना / रोका / रोक चुका,1. Deter the crime. // 2. It deterred him. // 3. They were deterred.,1. குற்றத்தைத் தடு. // 2. அது அவரைத் தடுத்தது. // 3. அவர்கள் தடுக்கப்பட்டனர்.,1. अपराध को रोकें। // 2. इसने उसे रोका। // 3. उन्हें रोका गया था।
Determine / Determined / Determined,Day 46,Intermediate,தீர்மானி / தீர்மானித்தேன் / தீர்மானித்துள்ளேன்,निर्धारित करना / किया / कर चुका,1. Determine the cost. // 2. He determined. // 3. I have determined.,1. விலையைத் தீர்மானி. // 2. அவர் தீர்மானித்தார். // 3. நான் தீர்மானித்தேன்.,1. लागत निर्धारित करें। // 2. उसने ठान लिया। // 3. मैंने ठान लिया है।
Detest / Detested / Detested,Day 46,Intermediate,வெறு / வெறுத்தேன் / வெறுத்துள்ளேன்,नफरत करना / की / कर चुका,1. I detest lies. // 2. He detested it. // 3. I have detested.,1. பொய்களை வெறுக்கிறேன். // 2. அவர் அதை வெறுத்தார். // 3. நான் வெறுத்தேன்.,1. झूठ से नफरत करें। // 2. उसने इससे नफरत की। // 3. मैंने नफरत की है।
Develop / Developed / Developed,Day 46,Intermediate,வளர் / வளர்ந்தேன் / வளர்ந்துள்ளேன்,विकसित करना / किया / कर चुका,1. Develop the city. // 2. It developed. // 3. We have developed.,1. நகரத்தை மேம்படுத்து. // 2. அது மேம்பட்டது. // 3. நாங்கள் மேம்பட்டுள்ளோம்.,1. शहर का विकास करें। // 2. यह विकसित हुआ। // 3. हमने विकसित किया है।
Deviate / Deviated / Deviated,Day 47,Intermediate,விலகிச் செல் / சென்றேன் / சென்றுள்ளேன்,विचलित होना / हुआ / हो चुका,1. Don't deviate. // 2. He deviated. // 3. It has deviated.,1. திசை மாறாதே. // 2. அவர் திசை மாறினார். // 3. அது மாறிவிட்டது.,1. विचलित न हों। // 2. वह भटक गया। // 3. यह भटक गया है।
Devise / Devised / Devised,Day 47,Intermediate,திட்டம் வகு / வகுத்தேன் / வகுத்துள்ளேன்,योजना तैयार करना / की / कर चुका,1. Devise a plan. // 2. He devised a tool. // 3. We have devised.,1. திட்டத்தை வகுக்கவும். // 2. அவர் கருவியை உருவாக்கினார். // 3. நாங்கள் உருவாக்கினோம்.,1. योजना बनाएं। // 2. उसने एक उपकरण बनाया। // 3. हमने इसे तैयार किया है।
Devote / Devoted / Devoted,Day 47,Intermediate,அர்ப்பணி / பணித்தேன் / பணித்துள்ளேன்,समर्पित करना / किया / कर चुका,1. Devote your time. // 2. He devoted it. // 3. I am devoted.,1. காலத்தை அர்ப்பணி. // 2. அவர் அதை அர்ப்பணித்தார். // 3. நான் அர்ப்பணித்துள்ளேன்.,1. समय समर्पित करें। // 2. उसने समर्पित किया। // 3. मैं समर्पित हूँ।
Devour / Devoured / Devoured,Day 47,Intermediate,ஆவலுடன் உண் / உண்டேன் / உண்டுள்ளேன்,लालच से खाना / खाया / खा चुका,1. Devour the food. // 2. He devoured it. // 3. It was devoured.,1. உணவை விழுங்கு. // 2. அவர் அதை விழுங்கினார். // 3. அது விழுங்கப்பட்டது.,1. खाना जल्दी खाएं। // 2. उसने इसे खा लिया। // 3. इसे खा लिया गया था।
Diagnose / Diagnosed / Diagnosed,Day 47,Intermediate,நோய் கண்டறி / அறிந்தேன் / அறிந்துள்ளேன்,निदान करना / किया / कर चुका,1. Diagnose the fever. // 2. He diagnosed it. // 3. I have diagnosed.,1. காய்ச்சலைக் கண்டறி. // 2. அவர் அதைக் கண்டறிந்தார். // 3. நான் கண்டறிந்தேன்.,1. बुखार का निदान करें। // 2. उसने इसका निदान किया। // 3. मैंने निदान कर लिया है।
Dictate / Dictated / Dictated,Day 48,Intermediate,கட்டளையிடு / இட்டேன் / இட்டுள்ளேன்,हुक्म चलाना / चलाया / चला चुका,1. Dictate the notes. // 2. He dictated it. // 3. I have dictated.,1. குறிப்புகளைச் சொல்லு. // 2. அவர் அதைச் சொன்னார். // 3. நான் சொல்லியுள்ளேன்.,1. नोट्स बोलकर लिखाएं। // 2. उसने लिखाया। // 3. मैंने लिखाया है।
Differ / Differed / Differed,Day 48,Intermediate,மாறுபடு / பட்டேன் / பட்டுள்ளேன்,अलग होना / था / हो चुका,1. Opinions differ. // 2. They differed. // 3. We have differed.,1. கருத்துக்கள் மாறுபடும். // 2. அவர்கள் மாறுபட்டனர். // 3. நாங்கள் மாறுபட்டோம்.,1. राय अलग होना। // 2. वे अलग थे। // 3. हम अलग रहे हैं।
Digest / Digested / Digested,Day 48,Intermediate,செரிமானம் செய் / செய்தேன் / செய்துள்ளேன்,पचाना / पचाया / पचा चुका,1. Digest the food. // 2. It digested. // 3. It has digested.,1. உணவைச் செரிமானம் செய். // 2. அது செரித்தது. // 3. அது செரித்துவிட்டது.,1. भोजन पचाएं। // 2. यह पच गया। // 3. यह पच चुका है।
Diminish / Diminished / Diminished,Day 48,Intermediate,குறை / குறைத்தேன் / குறைத்துள்ளேன்,कम होना / हुआ / हो चुका,1. Diminish the risk. // 2. It diminished. // 3. It has diminished.,1. அபாயத்தைக் குறை. // 2. அது குறைந்தது. // 3. அது குறைந்துவிட்டது.,1. जोखिम कम करें। // 2. यह कम हुआ। // 3. यह कम हो गया है।
Dip / Dipped / Dipped,Day 48,Intermediate,நனை / நனைத்தேன் / நனைத்துள்ளேன்,डुबोना / डुबोया / डुबो चुका,1. Dip the biscuit. // 2. He dipped it. // 3. I have dipped.,1. பிஸ்கட்டை நனை. // 2. அவர் அதை நனைத்தார். // 3. நான் நனைத்தேன்.,1. बिस्किट डुबोएं। // 2. उसने इसे डुबोया। // 3. मैंने डुबोया है।
Direct / Directed / Directed,Day 49,Intermediate,வழிநடத்து / நடத்தினேன் / நடத்தியுள்ளேன்,निर्देशित करना / किया / कर चुका,1. Direct the movie. // 2. He directed me. // 3. I have directed.,1. படத்தை இயக்கு. // 2. அவர் என்னை வழிநடத்தினார். // 3. நான் இயக்கினேன்.,1. फिल्म का निर्देशन करें। // 2. उसने निर्देशित किया। // 3. मैंने निर्देशन किया है।
Disable / Disabled / Disabled,Day 49,Intermediate,முடக்கு / முடக்கினேன் / முடக்கியுள்ளேன்,अक्षम करना / किया / कर चुका,1. Disable the alarm. // 2. He disabled it. // 3. It is disabled.,1. அலாரத்தை முடக்கு. // 2. அவர் அதை முடக்கினார். // 3. அது முடக்கப்பட்டது.,1. अलार्म बंद करें। // 2. उसने अक्षम किया। // 3. यह अक्षम है।
Disadvantage / Disadvantaged / Disadvantaged,Day 49,Intermediate,பாதகத்தை ஏற்படுத்து / படுத்தினேன் / படுத்தியுள்ளேன்,नुकसान पहुँचाना / पहुँचाया / चुका,1. Don't disadvantage them. // 2. It disadvantaged us. // 3. They were disadvantaged.,1. பாதகமாக்காதே. // 2. அது எங்களைப் பாதகப்படுத்தியது. // 3. அவர்கள் பாதகமடைந்தனர்.,1. उन्हें नुकसान न पहुँचाएँ। // 2. इसने हमें नुकसान पहुँचाया। // 3. वे नुकसान में थे।
Disagree / Disagreed / Disagreed,Day 49,Intermediate,உடன்படாதிரு / பட்டேன் / பட்டுள்ளேன்,असहमत होना / हुआ / हो चुका,1. Disagree with him. // 2. He disagreed. // 3. I have disagreed.,1. அவருடன் முரண்படு. // 2. அவர் முரண்பட்டார். // 3. நான் முரண்பட்டேன்.,1. उससे असहमत हों। // 2. वह असहमत था। // 3. मैं असहमत हूँ।
Disappear / Disappeared / Disappeared,Day 49,Intermediate,மறை / மறைந்தேன் / மறைந்துள்ளேன்,गायब होना / हुआ / हो चुका,1. Don't disappear. // 2. It disappeared. // 3. He has disappeared.,1. மறைந்துவிடாதே. // 2. அது மறைந்தது. // 3. அவர் மறைந்துவிட்டார்.,1. गायब न हों। // 2. यह गायब हुआ। // 3. वह गायब हो गया है।
Disappoint / Disappointed / Disappointed,Day 50,Intermediate,ஏமாற்றமளி / அளித்தேன் / அளித்துள்ளேன்,निराश करना / किया / कर चुका,1. Don't disappoint me. // 2. It disappointed. // 3. I am disappointed.,1. ஏமாற்றாதே. // 2. அது ஏமாற்றியது. // 3. நான் ஏமாற்றமடைந்தேன்.,1. निराश न करें। // 2. निराशा हुई। // 3. मैं निराश हूँ।
Disapprove / Disapproved / Disapproved,Day 50,Intermediate,அங்கீகரிக்க மறு / மறுத்தேன் / மறுத்துள்ளேன்,अस्वीकार करना / किया / कर चुका,1. Disapprove the plan. // 2. He disapproved. // 3. I have disapproved.,1. திட்டத்தை நிராகரி. // 2. அவர் நிராகரித்தார். // 3. நான் நிராகரித்தேன்.,1. योजना को नामंजूर करें। // 2. उसने नामंजूर किया। // 3. मैंने नामंजूर किया है।
Discard / Discarded / Discarded,Day 50,Intermediate,எறிந்துவிடு / விட்டேன் / விட்டுள்ளேன்,फेंक देना / फेंका / फेंक चुका,1. Discard the trash. // 2. He discarded it. // 3. I have discarded.,1. குப்பையை எறிந்துவிடு. // 2. அவர் அதை எறிந்தார். // 3. நான் எறிந்துவிட்டேன்.,1. कचरा फेंक दें। // 2. उसने फेंका। // 3. मैंने फेंक दिया है।
Discern / Discerned / Discerned,Day 50,Intermediate,பகுத்தறி / அறிந்தேன் / அறிந்துள்ளேன்,पहचानना / पहचाना / पहचान चुका,1. Discern the truth. // 2. He discerned. // 3. I have discerned.,1. உண்மையை உணர். // 2. அவர் உணர்ந்தார். // 3. நான் உணர்ந்தேன்.,1. सच पहचानें। // 2. उसने पहचाना। // 3. मैंने पहचाना है।
Discharge / Discharged / Discharged,Day 50,Intermediate,விடுவி / விடுவித்தேன் / விடுவித்துள்ளேன்,मुक्त करना / किया / कर चुका,1. Discharge the patient. // 2. They discharged. // 3. He was discharged.,1. விடுவிக்கவும். // 2. அவர்கள் விடுவித்தனர். // 3. அவர் விடுவிக்கப்பட்டார்.,1. छुट्टी दें। // 2. उन्होंने दी। // 3. उसे छुट्टी मिली।
Disclose / Disclosed / Disclosed,Day 51,Intermediate,வெளிப்படுத்து / படுத்தினேன் / படுத்தியுள்ளேன்,खुलासा करना / किया / कर चुका,1. Disclose the facts. // 2. He disclosed it. // 3. It was disclosed.,1. உண்மையை வெளிப்படுத்து. // 2. அவர் வெளிப்படுத்தினார். // 3. அது வெளிப்படுத்தப்பட்டது.,1. तथ्यों का खुलासा करें। // 2. उसने किया। // 3. खुलासा हुआ।
Disconnect / Disconnected / Disconnected,Day 51,Intermediate,துண்டி / துண்டித்தேன் / துண்டித்துள்ளேன்,अलग करना / किया / कर चुका,1. Disconnect the TV. // 2. He disconnected it. // 3. It is disconnected.,1. இணைப்பைத் துண்டி. // 2. அவர் துண்டித்தார். // 3. அது துண்டிக்கப்பட்டது.,1. टीवी डिस्कनेक्ट करें। // 2. उसने किया। // 3. यह अलग है।
Discontinue / Discontinued / Discontinued,Day 51,Intermediate,நிறுத்து / நிறுத்தினேன் / நிறுத்தியுள்ளேன்,बंद करना / किया / कर चुका,1. Discontinue the service. // 2. He discontinued. // 3. It was discontinued.,1. சேவையை நிறுத்து. // 2. அவர் நிறுத்தினார். // 3. அது நிறுத்தப்பட்டது.,1. सेवा बंद करें। // 2. उसने किया। // 3. बंद हो गया।
Discourage / Discouraged / Discouraged,Day 51,Intermediate,மனச்சோர்வடையச் செய் / செய்தேன் / செய்துள்ளேன்,हतोत्साहित करना / किया / चुका,1. Don't discourage her. // 2. It discouraged him. // 3. I was discouraged.,1. ஊக்கமளிக்காமல் இருக்காதே. // 2. அது அவரைச் சோர்வடையச் செய்தது. // 3. நான் சோர்வடைந்தேன்.,1. उसे हतोत्साहित न करें। // 2. निराशा हुई। // 3. मैं हतोत्साहित था।
Discover / Discovered / Discovered,Day 51,Intermediate,கண்டறி / அறிந்தேன் / அறிந்துள்ளேன்,खोजना / खोजा / खोज चुका,1. Discover the secret. // 2. He discovered it. // 3. I have discovered.,1. ரகசியத்தைக் கண்டுபிடி. // 2. அவர் கண்டுபிடித்தார். // 3. நான் கண்டுபிடித்தேன்.,1. रहस्य खोजें। // 2. उसने खोजा। // 3. मैंने खोजा है।
Discriminate / Discriminated / Discriminated,Day 52,Intermediate,பாகுபாடு காட்டு / காட்டினேன் / காட்டியுள்ளேன்,भेदभाव करना / किया / कर चुका,1. Don't discriminate. // 2. He discriminated. // 3. They have discriminated.,1. பாகுபாடு காட்டாதே. // 2. அவர் பாகுபடுத்தினார். // 3. அவர்கள் பாகுபடுத்தினர்.,1. भेदभाव न करें। // 2. उसने किया। // 3. उन्होंने किया है।
Discuss / Discussed / Discussed,Day 52,Intermediate,விவாதி / விவாதித்தேன் / விவாதித்துள்ளேன்,चर्चा करना / की / कर चुका,1. Discuss the topic. // 2. They discussed. // 3. We have discussed.,1. விவாதி. // 2. அவர்கள் விவாதித்தனர். // 3. நாங்கள் விவாதித்தோம்.,1. चर्चा करें। // 2. उन्होंने की। // 3. हमने की है।
Disdain / Disdained / Disdained,Day 52,Intermediate,அலட்சியப்படுத்து / படுத்தினேன் / படுத்தியுள்ளேன்,तिरस्कार करना / किया / कर चुका,1. Don't disdain others. // 2. He disdained it. // 3. I have disdained.,1. அலட்சியப்படுத்தாதே. // 2. அவர் அலட்சியப்படுத்தினார். // 3. நான் அலட்சியப்படுத்தினேன்.,1. तिरस्कार न करें। // 2. उसने किया। // 3. मैंने किया है।
