Day,Level,English,Tamil,Hindi
Day 56,Intermediate,"I forgot to bring my key, so I had to call my roommate.","நான் சாவியை எடுத்து வர மறந்துவிட்டேன், அதனால் என் அறைத்தோழரை அழைக்க வேண்டியிருந்தது. (Naan saaviyai eduthu vara marandhuvitten, adhaal en araithozharai azhaikka vendiyirundhadhu.)","मैं अपनी चाबी लाना भूल गया, इसलिए मुझे अपने रूममेट को फोन करना पड़ा। (Main apni chabi laana bhool gaya, isliye mujhe apne roommate ko phone karna pada.)"
Day 56,Intermediate,We should definitely check out that new cafe down the street.,தெருவின் கடைசியில் உள்ள அந்தப் புதிய கபேயை நாம் கண்டிப்பாகப் பார்க்க வேண்டும். (Theruvin kadaisiyil ulla andhap pudhiya cafe-ai naam kandippaagap paarkka vendum.),हमें सड़क के उस पार वाले नए कैफे को जरूर देखना चाहिए। (Humein sadak ke us paar waale naye cafe ko zaroor dekhna chahiye.)
Day 56,Intermediate,He is very interested in learning about sustainable living.,நிலையான வாழ்க்கை முறை (sustainable living) பற்றி அறிந்துகொள்வதில் அவர் மிகுந்த ஆர்வம் கொண்டுள்ளார். (Nilaiyaana vaazhkkai murai pattri arindhukolvadhil avar migundha aarvam kondullar.),उनकी टिकाऊ जीवन शैली (sustainable living) के बारे में जानने में बहुत रुचि है। (Unki sustainable living ke baare mein jaane mein bahut ruchi hai.)
Day 57,Intermediate,I'm not sure if I'll be able to make it to the concert.,என்னால் இசை நிகழ்ச்சியில் கலந்து கொள்ள முடியுமா என்று தெரியவில்லை. (Ennaal isai nigazhchiyil kalandhu kolla mudiyuma endru theriyavillai.),मुझे यकीन नहीं है कि मैं संगीत कार्यक्रम (concert) में आ पाऊंगा या नहीं। (Mujhe yakeen nahi hai ki main concert mein aa paunga ya nahi.)
Day 57,Intermediate,Could you please tell me where the nearest ATM is?,அருகிலுள்ள ஏடிஎம் எங்கே இருக்கிறது என்று தயவுசெய்து சொல்ல முடியுமா? (Arugilulla ATM engay irukkiradhu endru thayavuseidhu solla mudiyuma?),क्या आप कृपया मुझे बता सकते हैं कि पास का एटीएम कहाँ है? (Kya aap kripya mujhe bata sakte hain ki paas ka ATM kahan hai?)
Day 57,Intermediate,I've been meaning to start a vegetable garden in my backyard.,என் வீட்டுப் புழக்கடையில் ஒரு காய்கறித் தோட்டம் அமைக்க வேண்டும் என்று நினைத்துக் கொண்டிருந்தேன். (En veettup puzhakkadaiyil oru kaaigarith thottam amaikka vendum endru ninaithuk kondirundhen.),मैं अपने पिछवाड़े में सब्जियों का बगीचा शुरू करने की सोच रहा था। (Main apne pichwade mein sabziyon ka bageecha shuru karne ki soch raha tha.)
Day 57,Intermediate,Please make sure that all the lights are switched off.,அனைத்து விளக்குகளும் அணைக்கப்பட்டுள்ளதா என்பதை உறுதிப்படுத்திக் கொள்ளுங்கள். (Anaithu vilakkugalum anaikkappattulladha enbadhai urudhippaduthik kollungal.),कृपया सुनिश्चित करें कि सभी लाइटें बंद हैं। (Kripya sunishchit karen ki sabhi lightein band hain.)
Day 57,Intermediate,I think it's better to wait until the rain stops before we leave.,மழை நின்ற பிறகு நாம் கிளம்புவது நல்லது என்று நினைக்கிறேன். (Mazhai nindra piragu naam kilambuvadhu nalladhu endru ninaikkiren.),मुझे लगता है कि निकलने से पहले बारिश रुकने का इंतज़ार करना बेहतर है। (Mujhe lagta hai ki nikalne se pehle baarish rukne ka intezaar karna behtar hai.)
Day 58,Intermediate,I really appreciate your patience during this difficult time.,இந்த இக்கட்டான நேரத்தில் உங்கள் பொறுமைக்கு நான் மிகவும் நன்றி கூறுகிறேன். (Indha ikkattana nerathil ungal porumaikku naan migavum nandri koorigiren.),इस कठिन समय के दौरान आपके धैर्य के लिए मैं वास्तव में आपकी सराहना करता हूँ। (Is kathin samay ke dauran aapke dhairya ke liye main vaastav mein aapki saraahna karta hoon.)
Day 58,Intermediate,What do you think is the best way to deal with stress?,மன அழுத்தத்தைக் கையாள சிறந்த வழி எது என்று நீங்கள் நினைக்கிறீர்கள்? (Mana azhuthathai kaiyaala sirandha vazhi edhu endru neengal ninaikkireergal?),आपके अनुसार तनाव से निपटने का सबसे अच्छा तरीका क्या है? (Aapke anusar tanaav se nipatne ka sabse accha tareeka kya hai?)
Day 58,Intermediate,I prefer to buy organic produce whenever it is available.,இயற்கை முறையில் விளைந்த பொருட்கள் (organic) கிடைக்கும்போது அவற்றையே வாங்க விரும்புகிறேன். (Iyarkai muraiyil vilaindha porutkal kidaikkumpodhu avatraiye vaanga virumbugiren.),"जब भी उपलब्ध हो, मैं जैविक उत्पाद (organic produce) खरीदना पसंद करता हूँ। (Jab bhi upalabdh ho, main organic produce khareedna pasand karta hoon.)"
Day 58,Intermediate,She’s been feeling a bit homesick since she moved to the city.,அவர் நகரத்திற்கு மாறியதிலிருந்து சிறிது வீட்டு ஞாபகமாக (homesick) உணர்கிறார். (Avar nagarathirku maariyadhilirundhu siridhu veettu gnyaabakamaaga unargirar.),"जब से वह शहर में आई है, वह थोड़ा घर की याद (homesick) महसूस कर रही है। (Jab se wah shehar mein aayi hai, wah thoda homesick mehsoos kar rahi hai.)"
Day 58,Intermediate,"I’ll be there in about half an hour, depending on the traffic.",போக்குவரத்தைப் பொறுத்து நான் சுமார் அரை மணி நேரத்தில் அங்கு வந்துவிடுவேன். (Pokkuvarathaip poruthu naan sumaar arai mani nerathil angu vandhuviduven.),"ट्रैफिक के आधार पर, मैं लगभग आधे घंटे में वहां पहुंच जाऊंगा। (Traffic ke aadhar par, main lagbhag aadhe ghante mein wahan pahunch jaunga.)"
Day 59,Intermediate,I'm planning to go for a bike ride this Sunday morning.,இந்த ஞாயிற்றுக்கிழமை காலையில் நான் ஒரு பைக் பயணம் செல்லத் திட்டமிட்டுள்ளேன். (Indha gnyaayittrukkilamai kaalaiyil naan oru bike payanam sella thittamittullen.),मैं इस रविवार की सुबह बाइक की सवारी पर जाने की योजना बना रहा हूँ। (Main is ravivar ki subah bike ki sawari par jaane ki yojna bana raha hoon.)
Day 59,Intermediate,Have you ever participated in a marathon or a fun run?,நீங்கள் எப்போதாவது மாரத்தான் அல்லது வேடிக்கையான ஓட்டப் பந்தயத்தில் பங்கேற்றுள்ளீர்களா? (Neengal eppozhudhavadhu marathon alladhu vedikkaiyaana ottap pandhayathil pangettrulleergala?),क्या आपने कभी मैराथन या फन रन में भाग लिया है? (Kya aapne kabhi marathon ya fun run mein bhaag liya hai?)
Day 59,Intermediate,I was just about to close the shop when a customer walked in.,நான் கடையை மூடவிருந்தபோது ஒரு வாடிக்கையாளர் உள்ளே வந்தார். (Naan kadaiyai moodavirundhapodhu oru vaadikkaiyaalar ullay vandhaar.),"जब एक ग्राहक अंदर आया, मैं बस दुकान बंद करने ही वाला था। (Jab ek grahak andar aaya, main bas dukaan band karne hi wala tha.)"
Day 59,Intermediate,It's not always easy to keep up with the latest technology.,சமீபத்திய தொழில்நுட்பத்திற்கு ஏற்ப நம்மை மாற்றிக்கொள்வது எப்போதும் எளிதல்ல. (Sameebathiya thozhilnutpathirku erpa nammai maatrikkolvadhu eppodhum elidhalla.),नवीनतम तकनीक के साथ तालमेल बिठाना हमेशा आसान नहीं होता। (Naveentam takneek ke saath taalmel bithana hamesha aasaan nahi hota.)
Day 59,Intermediate,I don't really have a preference for any particular cuisine.,எனக்குக் குறிப்பிட்ட வகை உணவுகள் என்று எந்த விருப்பமும் இல்லை. (Enakkuk kurippitta vagai unavugal endru endha viruppamum illai.),मुझे वास्तव में किसी विशेष व्यंजन (cuisine) के लिए कोई पसंद नहीं है। (Mujhe vaastav mein kisi vishesh cuisine ke liye koi pasand nahi hai.)
Day 60,Intermediate,I’ll give you a call once I've had a chance to speak with the manager.,மேலாளரிடம் பேச எனக்கு வாய்ப்பு கிடைத்தவுடன் நான் உங்களுக்கு அழைக்கிறேன். (Melaalaridam pesa enakku vaaippu kidaithavudan naan ungalukku azhaikkiren.),"एक बार जब मुझे मैनेजर से बात करने का मौका मिल जाएगा, तो मैं आपको कॉल करूँगा। (Ek baar jab mujhe manager se baat karne ka mauka mil jayega, toh main aapko call karunga.)"
Day 60,Intermediate,What kind of television series do you usually watch?,நீங்கள் வழக்கமாக எந்த வகையான தொலைக்காட்சித் தொடர்களைப் பார்ப்பீர்கள்? (Neengal vazhakkamaaga endha vagaiyaana tholaikkaatchith thodargalaip paarppeergal?),आप आमतौर पर किस तरह की टेलीविजन सीरीज देखते हैं? (Aap aamtor par kis tarah ki television series dekhte hain?)
Day 60,Intermediate,I'm looking for a unique gift for my best friend's wedding.,என் சிறந்த நண்பரின் திருமணத்திற்காக ஒரு தனித்துவமான பரிசைத் தேடுகிறேன். (En sirandha nanbarin thirumanathirkaga oru thanithuvamaana parisaith thedugiren.),मैं अपने सबसे अच्छे दोस्त की शादी के लिए एक अनोखा उपहार ढूंढ रहा हूँ। (Main apne sabse acche dost ki shaadi ke liye ek anokha uphaar dhoond raha hoon.)
Day 60,Intermediate,It's important to have a backup plan in case things go wrong.,காரியங்கள் தவறாகப் போனால் மாற்றுத் திட்டம் (backup plan) வைத்திருப்பது முக்கியம். (Kaariyangal thavaraga ponaal maatru thittam vaithiruppadhu mukkiyam.),चीजें गलत होने की स्थिति में बैकअप प्लान होना महत्वपूर्ण है। (Cheezein galat hone ki sthiti mein backup plan hona mahatvapoorn hai.)
Day 60,Intermediate,I haven't had the chance to visit the new shopping center yet.,புதிய வணிக வளாகத்திற்கு (shopping center) செல்ல எனக்கு இன்னும் வாய்ப்பு கிடைக்கவில்லை. (Pudhiya vaniga valaagathirku sella enakku innum vaaippu kidaikkavillai.),मुझे अभी तक नए शॉपिंग सेंटर जाने का मौका नहीं मिला है। (मुझे अभी तक नए शॉपिंग सेंटर जाने का मौका नहीं मिला है।)
Day 61,Intermediate,I was just wondering if you had any time to look at my draft.,எனது வரைவை (draft) பார்க்க உங்களுக்கு நேரம் இருக்குமா என்று அறிய விரும்பினேன். (Enadhu varaivai paarkka ungalukku neram irukkuma endru ariya virumbinen.),मैं बस यह सोच रहा था कि क्या आपके पास मेरा ड्राफ्ट देखने का समय है। (Main bas yeh soch raha tha ki kya aapke paas mera draft dekhne ka samay hai.)
Day 61,Intermediate,Could you please let me know if there are any updates regarding the project?,திட்டம் குறித்த ஏதேனும் புதிய தகவல்கள் இருந்தால் எனக்குத் தெரிவிக்க முடியுமா? (Thittam kuritha edhenum pudhiya thagavalgal irundhaal enakkuth therivikka mudiyuma?),क्या आप कृपया मुझे बता सकते हैं कि प्रोजेक्ट के बारे में कोई अपडेट है या नहीं? (Kya aap kripya mujhe bata sakte hain ki project ke baare mein koi update hai ya nahi?)
Day 61,Intermediate,I have been trying to improve my cooking skills by watching online videos.,ஆன்லைன் வீடியோக்களைப் பார்த்து எனது சமையல் திறனை மேம்படுத்த முயற்சி செய்கிறேன். (Online videos-ai paarthu enadhu samaiyal thiranai mempaduththa muyarchi seigiren.),मैं ऑनलाइन वीडियो देखकर अपने खाना बनाने के कौशल को सुधारने की कोशिश कर रहा हूँ। (Main online video dekhkar apne khaana banaane ke kaushal ko sudhaarne ki koshish kar raha hoon.)
Day 61,Intermediate,It is much better to ask for help than to struggle on your own.,நீங்களே சிரமப்படுவதை விட உதவி கேட்பது மிகவும் நல்லது. (Neengalay siramappadhuvadhai vida udhavi ketpadhu migavum nalladhu.),अकेले संघर्ष करने से बेहतर है कि मदद मांग ली जाए। (Akele sangharsh karne se behtar hai ki madad maang lee jaye.)
Day 61,Intermediate,We should take a short break to refresh our minds before continuing.,தொடருவதற்கு முன் நம் மனதைப் புத்துணர்ச்சியாக்க ஒரு சிறிய இடைவெளி எடுக்க வேண்டும். (Thodaruvadharku mun nam manadhaip puthunarchiyaakka oru siriya idaiveli edukka vendum.),जारी रखने से पहले हमें दिमाग को तरोताजा करने के लिए एक छोटा ब्रेक लेना चाहिए। (Jaari rakhne se pehle humein dimaag ko taro-taaza karne ke liye ek chhota break lena chahiye.)
Day 62,Intermediate,I am not sure if I can make it to the dinner party on Friday.,வெள்ளிக்கிழமை இரவு விருந்துக்கு என்னால் வர முடியுமா என்று தெரியவில்லை. (Vellikilamai iravu virundhukku ennaal vara mudiyuma endru theriyavillai.),मुझे यकीन नहीं है कि मैं शुक्रवार को डिनर पार्टी में आ पाऊंगा या नहीं। (Mujhe yakeen nahi hai ki main shukravaar ko dinner party mein aa paunga ya nahi.)
Day 62,Intermediate,Do you have any advice for someone starting a new business?,புதிய தொழில் தொடங்குபவர்களுக்கு உங்களிடம் ஏதேனும் ஆலோசனை உள்ளதா? (Pudhiya thozhil thodangubavar-galukku ungalidam edhenum aaloasanai ulladha?),क्या आपके पास नया व्यवसाय शुरू करने वाले किसी व्यक्ति के लिए कोई सलाह है? (Kya aapke pas naya vyavsay shuru karne wale kisi vyakti ke liye koi salah hai?)
Day 62,Intermediate,I prefer to read a physical book rather than an e-book.,நான் இ-புத்தகத்தை விட காகிதப் புத்தகத்தைப் படிக்கவே விரும்புகிறேன். (Naan e-puthagathai vida kaagidha puthagathai padikkavae virumbugiren.),मैं ई-बुक के बजाय असली किताब पढ़ना पसंद करता हूँ। (Main e-book ke bajaye asli kitaab padhna pasand karta hoon.)
Day 62,Intermediate,We need to make sure we have all the necessary documents for the visa.,விசாவிற்குத் தேவையான அனைத்து ஆவணங்களும் நம்மிடம் இருப்பதை உறுதி செய்ய வேண்டும். (Visa-vukku thevaiyaana anaithu aavanangalum nammidam iruppadhai urudhi seiya vendum.),हमें यह सुनिश्चित करना होगा कि हमारे पास वीजा के लिए सभी आवश्यक दस्तावेज हैं। (Humein yeh sunishchit karna hoga ki humare paas visa ke liye sabhi aavashyak dastawez hain.)
Day 62,Intermediate,He has been feeling much more energetic since he started eating healthy.,ஆரோக்கியமான உணவைச் சாப்பிடத் தொடங்கியதிலிருந்து அவர் அதிக ஆற்றலுடன் உணர்கிறார். (Aarokkiyamaana unavais saappida thodangiyadhilirundhu avar adhiga aatraludan unargiraar.),"जब से उन्होंने स्वस्थ खाना शुरू किया है, वह काफी ऊर्जावान महसूस कर रहे हैं। (Jab se unhone swasth khaana shuru kiya hai, wah kaafi oorjawaan mehsoos kar rahe hain.)"
Day 63,Intermediate,I am thinking of learning a new language like French or German.,பிரெஞ்சு அல்லது ஜெர்மன் போன்ற புதிய மொழியைக் கற்கலாம் என்று நினைக்கிறேன். (French alladhu German poandra pudhiya mozhiyaik karkkalaam endru ninaikkiren.),मैं फ्रेंच या जर्मन जैसी कोई नई भाषा सीखने की सोच रहा हूँ। (Main French ya German jaisi koi nayi bhasha seekhne ki soch raha hoon.)
Day 63,Intermediate,Could you please show me how to format this document?,இந்த ஆவணத்தை எப்படி வடிவமைப்பது (format) என்று எனக்குக் காட்ட முடியுமா? (Indha aavanathai eppadi vadivamippadhu endru enakkuk kaatta mudiyuma?),क्या आप कृपया मुझे दिखा सकते हैं कि इस दस्तावेज़ को फॉर्मेट कैसे करें? (Kya aap kripya mujhe dikha sakte hain ki is dastawez ko format kaise karen?)
Day 63,Intermediate,It has been a very productive day for the entire team.,ஒட்டுமொத்த குழுவிற்கும் இது ஒரு பயனுள்ள நாளாக அமைந்தது. (Ottumoththa kuzhuvirkum idhu oru payanulla naalaaga amaindhadhu.),पूरी टीम के लिए आज का दिन बहुत ही फलदायी रहा। (Poori team ke liye aaj ka din bahut hi phaldayi raha.)
Day 63,Intermediate,Please remind me to call the bank before they close.,வங்கி மூடப்படுவதற்கு முன் அவர்களை அழைக்க எனக்கு நினைவுபடுத்துங்கள். (Bank moodappadvadharku mun avargalai azhaikka enakku ninaivupaduthungal.),कृपया मुझे बैंक बंद होने से पहले उन्हें फोन करने की याद दिलाना। (Kripya mujhe bank band hone se pehle unhein phone karne ki yaad dilana.)
Day 63,Intermediate,I think it's better to wait for the official announcement.,அதிகாரப்பூர்வ அறிவிப்பு வரும் வரை காத்திருப்பது நல்லது என்று நினைக்கிறேன். (Adhigaarappoorva arivippu varum varai kaathiruppadhu nalladhu endru ninaikkiren.),मुझे लगता है कि आधिकारिक घोषणा का इंतज़ार करना बेहतर है। (Mujhe lagta hai ki aadhikaarik ghoshna ka intezaar karna behtar hai.)
Day 64,Intermediate,I didn't mean to interrupt you; please go on.,நான் உங்களைக் குறுக்கிட விரும்பவில்லை; தயவுசெய்து தொடருங்கள். (Naan ungalai kurukkida virumbavillai; thayavuseidhu thodarungal.),मेरा इरादा आपको बीच में रोकने का नहीं था; कृपया जारी रखें। (Mera irada aapko beech mein rokne ka nahi tha; kripya jaari rakhein.)
Day 64,Intermediate,She is very good at multitasking and staying organized.,அவர் ஒரே நேரத்தில் பல வேலைகளைச் செய்வதிலும் ஒழுங்காகவும் இருப்பதிலும் சிறந்தவர். (Avar oray nerathil pala velaigalaich seivadhilum ozhungagavum iruppadhilum sirandhavar.),वह एक साथ कई काम करने और व्यवस्थित रहने में बहुत अच्छी है। (Wah ek saath kai kaam karne aur vyavasthit rehne mein bahut acchi hai.)
Day 64,Intermediate,I'll be waiting for you near the exit of the station.,ரயில் நிலையத்தின் வெளியேறும் பகுதிக்கு அருகில் நான் காத்திருப்பேன். (Rail nilaiyathin veliyerum pagudhikkku arugil naan kaathiruppen.),मैं स्टेशन के निकास द्वार (exit) के पास आपका इंतज़ार करूँगा। (Main station ke nikaas dwar ke paas aapka intezaar karunga.)
Day 64,Intermediate,Could you please tell me where I can find a good tailor?,ஒரு நல்ல தையல்காரரை எங்கே காணலாம் என்று சொல்ல முடியுமா? (Oru nalla thaiyal-kaararai engay kaanalaam endru solla mudiyuma?),क्या आप कृपया मुझे बता सकते हैं कि मुझे एक अच्छा दर्जी कहाँ मिल सकता है? (Kya aap kripya mujhe bata sakte hain ki mujhe ek accha darzi kahan mil sakta hai?)
Day 64,Intermediate,I think we should discuss the budget before making a final decision.,இறுதி முடிவை எடுப்பதற்கு முன் பட்ஜெட்டைப் பற்றி விவாதிக்க வேண்டும் என்று நினைக்கிறேன். (Irudhi mudivai eduppadharku mun budget-ai pattri vivaadhikka vendum endru ninaikkiren.),मुझे लगता है कि अंतिम फैसला लेने से पहले हमें बजट पर चर्चा करनी चाहिए। (Mujhe lagta hai ki antim faisla lene se pehle humein budget par charcha karni chahiye.)
Day 65,Intermediate,I was just about to send the report when the power went out.,மின்சாரம் தடைப்பட்டபோது நான் அறிக்கையை அனுப்பத் தயாராக இருந்தேன். (Minsaaram thadaippattapodhu naan arikkaiyai anuppath thayaaraaga irundhen.),"जब बिजली चली गई, मैं बस रिपोर्ट भेजने ही वाला था। (Jab bijli chali gayi, main bas report bhejne hi wala tha.)"
Day 65,Intermediate,It takes about an hour to get used to the cold weather here.,இங்குள்ள குளிரான வானிலைக்குப் பழக்கப்பட சுமார் ஒரு மணி நேரம் ஆகும். (Ingulla kuliraana vaanilaikkup palakkappada sumaar oru mani neram aagum.),यहाँ के ठंडे मौसम की आदत डालने में लगभग एक घंटा लगता है। (Yahan ke thande mausam ki aadat daalne mein lagbhag ek ghanta lagta hai.)
Day 65,Intermediate,"I have already seen this movie twice, but it’s still enjoyable.","நான் ஏற்கனவே இந்தப் படத்தை இரண்டு முறை பார்த்துவிட்டேன், ஆனாலும் இது ரசிக்க வைக்கிறது. (Naan erkanave indha padathai irandu murai paarthuvitten, aanaalum idhu rasikka vaikkiradhu.)","मैंने यह फिल्म पहले ही दो बार देखी है, लेकिन यह अभी भी मजेदार है। (Maine yeh film pehle hi do baar dekhi hai, lekin yeh abhi bhi mazedaar hai.)"
Day 65,Intermediate,She has been working as a volunteer at the local animal shelter.,அவர் உள்ளூர் விலங்குகள் காப்பகத்தில் தன்னார்வலராகப் பணியாற்றி வருகிறார். (Avar ullur vilangugal kaappagathil thannarvalaraagap paniyaattri varugiraar.),वह स्थानीय पशु आश्रय में एक स्वयंसेवक (volunteer) के रूप में काम कर रही हैं। (Wah sthaaniya pashu aashray mein ek swayamsevak ke roop mein kaam kar rahi hain.)
Day 65,Intermediate,I'll let you know as soon as I have more information about the trip.,பயணம் குறித்த கூடுதல் தகவல்கள் கிடைத்தவுடன் உங்களுக்குத் தெரிவிக்கிறேன். (Payanam kuritha koodudhal thagavalgal kidaithavudan ungalukkuth therivikkiren.),यात्रा के बारे में और जानकारी मिलते ही मैं आपको बताऊंगा। (Yaatra ke baare mein aur jaankari milte hi main aapko bataunga.)
Day 66,Intermediate,I don't think it's a good idea to stay up so late every night.,தினமும் இரவு இவ்வளவு நேரம் விழித்திருப்பது நல்லது என்று நான் நினைக்கவில்லை. (Dhinamum iravu ivvalavu neram vizhithiruppadhu nalladhu endru naan ninaikkavillai.),मुझे नहीं लगता कि हर रात इतनी देर तक जागना एक अच्छा विचार है। (Mujhe nahi lagta ki har raat itni der tak jaagna ek accha vichaar hai.)
Day 66,Intermediate,How much does it cost to renew a driving license?,ஓட்டுநர் உரிமத்தைப் புதுப்பிக்க எவ்வளவு செலவாகும்? (Ottunar urimaththaip pudhuppikka evvalavu selavaagum?),ड्राइविंग लाइसेंस रिन्यू कराने में कितना खर्च आता है? (Driving license renew karane mein kitna kharch aata hai?)
Day 66,Intermediate,"I forgot to bring my ID card, so I can't enter the building.","நான் எனது அடையாள அட்டையை எடுத்து வர மறந்துவிட்டேன், எனவே கட்டிடத்திற்குள் நுழைய முடியாது. (Naan enadhu adaiyaala attaiyai eduthu vara marandhuvitten, enavae kattidathirkul nuzhaiya mudiyaadhu.)","मैं अपना आईडी कार्ड लाना भूल गया, इसलिए मैं इमारत में प्रवेश नहीं कर सकता। (Main apna ID card laana bhool gaya, isliye main imaarat mein pravesh nahi kar sakta.)"
Day 66,Intermediate,We should definitely check the online reviews before buying this.,இதை வாங்குவதற்கு முன் ஆன்லைன் விமர்சனங்களைக் கண்டிப்பாகச் சரிபார்க்க வேண்டும். (Idhai vaanguvadharku mun online vimarsanangalaik kandippaagas saripaarkka vendum.),इसे खरीदने से पहले हमें ऑनलाइन समीक्षाएं (reviews) जरूर देखनी चाहिए। (Ise khareedne se pehle humein online sameekshayein zaroor dekhni chahiye.)
Day 66,Intermediate,He is very interested in learning about space exploration.,விண்வெளி ஆய்வு பற்றி அறிந்துகொள்வதில் அவர் மிகுந்த ஆர்வம் கொண்டுள்ளார். (Vinveli aayvu pattri arindhukolvadhil avar migundha aarvam kondullar.),उनकी अंतरिक्ष अन्वेषण (space exploration) के बारे में जानने में बहुत रुचि है। (Unki space exploration ke baare mein jaane mein bahut ruchi hai.)
Day 67,Intermediate,I'm not sure if I'll be able to make it on time for the meeting.,கூட்டத்திற்குச் சரியான நேரத்திற்கு என்னால் வர முடியுமா என்று தெரியவில்லை. (Koottathirku sariyaana nerathirkku ennaal vara mudiyuma endru theriyavillai.),मुझे यकीन नहीं है कि मैं मीटिंग के लिए समय पर पहुँच पाऊंगा या नहीं। (Mujhe yakeen nahi hai ki main meeting ke liye samay par pahunch paunga ya nahi.)
Day 67,Intermediate,Could you please tell me where the nearest train station is?,அருகிலுள்ள ரயில் நிலையம் எங்கே இருக்கிறது என்று தயவுசெய்து சொல்ல முடியுமா? (Arugilulla rail nilaiyam engay irukkiradhu endru thayavuseidhu solla mudiyuma?),क्या आप कृपया मुझे बता सकते हैं कि पास का रेलवे स्टेशन कहाँ है? (Kya aap kripya mujhe bata sakte hain ki paas ka railway station kahan hai?)
Day 67,Intermediate,I've been meaning to start learning a musical instrument for a long time.,நீண்ட காலமாக ஒரு இசைக் கருவியைக் கற்க வேண்டும் என்று நினைத்துக் கொண்டிருந்தேன். (Neenda kaalamaaga oru isaik karuviyaik karkka vendum endru ninaithuk kondirundhen.),मैं काफी समय से कोई वाद्य यंत्र (musical instrument) सीखना शुरू करने की सोच रहा था। (Main kaafi samay se koi vadya yantra seekhna shuru karne ki soch raha tha.)
Day 67,Intermediate,Please make sure that you have turned off all the appliances.,அனைத்து மின் சாதனங்களையும் அணைத்துவிட்டதை உறுதி செய்யவும். (Anaithu min saadhangalaiyum anaithuvittadhai urudhi seiyavum.),कृपया सुनिश्चित करें कि आपने सभी उपकरणों (appliances) को बंद कर दिया है। (Kripya sunishchit karen ki aapne sabhi upkarnon ko band kar diya hai.)
Day 67,Intermediate,I think it's better to stay home tonight as the weather is bad.,வானிலை மோசமாக இருப்பதால் இன்று இரவு வீட்டிலேயே இருப்பது நல்லது என்று நினைக்கிறேன். (Vaanilai moasamaga iruppadhaal indru iravu veettilayay iruppadhu nalladhu endru ninaikkiren.),मुझे लगता है कि आज रात घर पर रहना बेहतर है क्योंकि मौसम खराब है। (Mujhe lagta hai ki aaj raat ghar par rehna behtar hai kyunki mausam kharab hai.)
Day 68,Intermediate,I really appreciate all the hard work you have put in.,நீங்கள் செய்த அனைத்து கடின உழைப்பையும் நான் உண்மையிலேயே பாராட்டுகிறேன். (Neengal seidha anaithu kadina uzhaippaiyum naan unmaiyilaeyae paarattugiren.),"आपने जो भी कड़ी मेहनत की है, मैं वास्तव में उसकी सराहना करता हूँ। (Aapne jo bhi kadi mehnat ki hai, main vaastav mein uski saraahna karta hoon.)"
Day 68,Intermediate,What do you think is the best way to maintain work-life balance?,வேலை மற்றும் வாழ்க்கை சமநிலையைப் பேண சிறந்த வழி எது என்று நினைக்கிறீர்கள்? (Velai matrum vaazhkkai samanilaiyaip pena sirandha vazhi edhu endru ninaikkireergal?),आपके अनुसार वर्क-लाइफ बैलेंस बनाए रखने का सबसे अच्छा तरीका क्या है? (Aapke anusar work-life balance banaye rakhne ka sabse accha tareeka kya hai?)
Day 68,Intermediate,I prefer to exercise in the morning before I start my day.,நாளைத் தொடங்குவதற்கு முன் காலையில் உடற்பயிற்சி செய்யவே விரும்புகிறேன். (Naalaith thodanguvadharku mun kaalaiyil udarpayirchi seiyavae virumbugiren.),मैं अपना दिन शुरू करने से पहले सुबह व्यायाम करना पसंद करता हूँ। (Main apna din shuru karne se pehle subah vyayam karna पसंद karta hoon.)
Day 68,Intermediate,She’s been feeling a bit overwhelmed with her new responsibilities.,புதிய பொறுப்புகளால் அவர் சற்று மன அழுத்தமாக உணர்கிறார். (Pudhiya poruppugalaal avar satru mana azhuththamaaga unargiraar.),वह अपनी नई जिम्मेदारियों से थोड़ा परेशान (overwhelmed) महसूस कर रही हैं। (Wah apni nayi zimmedariyon se thoda pareshan mehsoos kar rahi hain.)
Day 68,Intermediate,"I’ll be there in about ten minutes, depending on the traffic.",போக்குவரத்தைப் பொறுத்து நான் சுமார் பத்து நிமிடங்களில் அங்கு வந்துவிடுவேன். (Pokkuvaraththaip poruththu naan sumaar pathu nimidangalil angu vandhuviduven.),"ट्रैफिक के आधार पर, मैं लगभग दस मिनट में वहां पहुंच जाऊंगा। (Traffic ke aadhar par, main lagbhag das minute mein wahan pahunch jaunga.)"
Day 69,Intermediate,I'm planning to go for a run in the park this evening.,இன்று மாலை பூங்காவில் ஓட்டப்பயிற்சி செய்யத் திட்டமிட்டுள்ளேன். (Indru maalai poongaavil ottappayirchi seiya thittamittullen.),मैं आज शाम पार्क में दौड़ने जाने की योजना बना रहा हूँ। (Main aaj shaam park mein daudne jaane ki yojna bana raha hoon.)
Day 69,Intermediate,Have you ever tried any meditation or yoga before?,இதற்கு முன்பு எப்போதாவது தியானம் அல்லது யோகா முயற்சி செய்துள்ளீர்களா? (Idharku munbu eppozhudhavadhu dhiyaanam alladhu yoga muyarchi seidhulleergala?),क्या आपने पहले कभी ध्यान (meditation) या योग आज़माया है? (Kya aapne pehle kabhi dhyan ya yoga aajmaya hai?)
